@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.801613,20.937419,3.568935
30.978929,19.669286,3.929037
32.325806,21.199355,3.727632
31.632903,21.234839,3.876905
31.551071,19.833571,3.968124
29.919032,19.724839,3.520294
32.605484,21.223871,4.102944
32.631379,21.486207,3.889353
29.677097,20.17871,3.41073
32.794516,21.776452,4.137533
29655,19.460714,3.741609
31.511935,20.750645,3.880668
32.290323,20.998387,4.049016
31.312857,21.541429,3.874396
31.590968,19.722581,3.853991
29.553871,21.788387,3.424378
30395,21.489643,3.734979
31.240968,20.484839,3.911299
30.408065,21.586774,3.571465
30.062759,21.164483,3.675044
29.826774,20.705161,3.663318
29.331935,21.276774,3.4373
30.002143,21.2625,3.681983
29.636774,19.370968,3.76893
32.935484,22.408387,4.056913
32.066786,22.566071,3.884516
30.503871,21.569032,3.75222
30.290968,21.568387,3.633778
31.042857,21.693571,3.908787
30.639032,21.43,3.759466
33.706129,21.978387,4.091166
31.631034,21.589655,3.812336
29.290968,20.663226,3.525682
30.604839,21.455806,3.643485
29.805357,21.519643,3.552706
29.937419,20.897742,3.712228
30.825484,20.471935,3.65032
30.825714,20.36,3.855768
31.819032,21.650645,3.940577
30.359355,22.372258,3.294428
30.178929,21.586786,3.626132
30.202903,20.577419,3.743273
32.743226,21.324194,3.882039
33.384138,20.994483,4.182812
33.737419,20.102581,4.363517
29.595484,22.123548,3.131098
32.353929,20.637857,4.111478
33.760323,20.589677,4.356609
31.109355,21.493871,3.544327
30.900357,20.980357,3.742095
30.645161,21.088065,3.762304
29.175484,22.310645,2.840895
29675,21.563929,3.398667
30.747742,20.083548,4.036026
30.59129,21.686774,3.122766
30.678966,20.78069,3.603942
29.512258,19.572903,3.756731
31.293226,20.916774,3.226505
31.533929,21.7375,3.727294
31.802581,21.176774,4.032427
29.62871,21.899677,2.841489
30.138571,22.197857,3.306964
30.70871,20.536774,3.717466
30.101613,21.680968,2.942899
28.988929,21.502857,3.127915
28.605806,20.899355,3.297921
31.788387,21.171935,3.071603
31.91931,21.426207,3.663537
32.279355,19.685806,4.066879
33.290968,21.433548,3.071521
32.911071,21.959286,3.546984
32.205806,21.099355,3.785908
30.86871,21.232581,2.825745
33.403571,22.040357,3.54341
29.984516,20.552581,3.516231
31.826129,22.310323,2.812332
31.098214,21.860714,3.245797
32.255806,20.58871,3.954785
30.526774,21.975806,2.46363
31.245862,22.68931,3.040099
30.715161,20.01,3.667418
30.042581,21.532903,3.60508
30.099286,21.645714,3.664022
30.156774,20.979355,3.644049
