MES,ANO,TMAX,TMIN,ETP
1,1990,29.6906451612903,20.4374193548387,3.6025735188903
2,1990,30035,18.9382142857143,3.77662450323748
3,1990,30.9396774193548,20.148064516129,3.49751683635285
4,1990,28.3873333333333,19.2076666666667,2.68411435647758
5,1990,23.611935483871,13.4151612903226,1.79278565853966
6,1990,22.6223333333333,12.2226666666667,1.53685437511196
7,1990,20.8164516129032,8.84258064516129,1.28614437738335
8,1990,26.0229032258064,13.1645161290323,1.80667667612413
9,1990,25.9916666666667,12.3496666666667,2.24326611685474
10,1990,30.1287096774193,18.5754838709677,3.19261463107348
11,1990,29.7816666666667,19.6986666666667,3.42432274723453
12,1990,30.5325806451613,20.3490322580645,3.76836975295397
1,1991,32.1612903225806,20.6393548387097,4.01458119301606
2,1991,30.5246428571429,18.9321428571429,3.81235962352676
3,1991,29.5503225806452,19.4003225806452,3.41485733527754
4,1991,28808,17294,2.93877486100863
5,1991,25.5406451612903,13.9690322580645,2.14298260856341
6,1991,24.0566666666667,13.4736666666667,1.56691536193265
7,1991,24.2451612903226,10.9077419354839,1.43285735076397
8,1991,27.9270967741935,13.8367741935484,1.74577308815627
9,1991,31724,17239,2.46464931192252
10,1991,30.5522580645161,17.3509677419355,3.12288430104888
11,1991,31.7463333333333,19228,3.69530532983803
12,1991,30.0977419354839,20.7341935483871,3.46778352990143
1,1992,31.9496774193548,20.9325806451613,4.06266437371714
2,1992,32.471724137931,21.5537931034483,3.87541481784205
3,1992,27.8983870967742,19.2241935483871,3.1999891889483
4,1992,26.4823333333333,16576,2.7315570616823
5,1992,24.7312903225806,16.1274193548387,2.0221484706462
6,1992,24438,15.0123333333333,1.58603611313583
7,1992,20.92,9.41,1.31552645523423
8,1992,24.3590322580645,11.9058064516129,1.64740416270702
9,1992,24.7243333333333,13.6903333333333,2.05392839881513
10,1992,28.1538709677419,18.1245161290323,2.76818530800214
11,1992,27995,17575,3.22712421601171
12,1992,29.5912903225806,19.9332258064516,3.73618191382629
1,1993,29.6038709677419,20.681935483871,3.62520523728413
2,1993,28.3775,18.2957142857143,3.6606105956254
3,1993,30.2751612903226,19.9325806451613,3.66304811718844
4,1993,29.1456666666667,17.9826666666667,3.18245707206483
5,1993,25.7122580645161,14.2367741935484,2.1946770685643
6,1993,23.8786666666667,12.1753333333333,1.70188750385478
