@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

20.816452,8.842581,1.286144
26.022903,13.164516,1.806677
25.991667,12.349667,2.243266
24.245161,10.907742,1.432857
27.927097,13.836774,1.745773
31724,17239,2.464649
20.92,9.41,1.315526
24.359032,11.905806,1.647404
24.724333,13.690333,2.053928
22.885161,10.667742,1.362127
25.754194,12.217097,1.628791
28656,15697,2.130648
24.132581,11.53871,1.431447
28.611935,12.799032,1.65682
32674,17.435667,2.272142
26.320323,14.251613,1.556712
30.357419,14.436129,1.646277
33119,17478,2.07156
23.98871,9.469355,1.568214
29.090968,15.10129,1.700594
28.327667,13586,1.893786
24.964194,13.100968,1.63735
26.179032,13.06871,1.523681
32.322667,17.828667,2.101508
26.541613,13.946452,1.808215
26.368387,14.977742,1.639527
26.098333,14.832333,1.722135
25.039677,12.688065,1.790356
28.459032,12.504194,1.525777
31053,15.753333,1.76762
21.135806,7.539032,1.532824
27.264516,14.042581,1.600562
26.451333,15.190667,1.572927
24.924194,12.03,1.8647
29.590645,14.789355,1.738746
30179,16.460333,1.759386
25.996452,12.172258,1.950162
30.737097,15.408387,1.737692
31.127333,15.273667,1.587527
25.635806,12.930323,2.046948
24.99,9.509677,1.570981
28.760333,14.852333,1.656889
22.699355,11.845484,1.969396
26.17,12.204194,1.810036
30.779667,15.738333,1.757693
23.745806,10.252581,2.085907
30.031935,13.444839,1.814569
26.477333,12775,1.502457
28.096129,13.96129,2.372942
28.441935,13.103548,1.842815
28572,14483,1.636259
23.263548,9.848065,2.189423
27.462581,12.437419,1.965201
33.805333,17.577333,1.789958
27.477742,13.554194,2.647549
28.025806,14.276452,2.075888
29389,13051,1.635603
22.600968,12.487742,2.242553
25.955484,13.482581,2.026573
28.000333,15.521333,1.749964
24.001935,11.828065,2.459276
27.22129,11.641935,2.222907
30.298667,16544,1.854959
25.40871,13.224839,2.667884
27.321935,13.539355,2.226994
31258,14.685667,1.93762
23.273226,10.86871,2.680231
29.685806,14.502903,2.560053
32.426667,15847,1.978706
23.743548,11.43871,2.719349
25.427419,10.471613,2.310934
30.166333,14.936667,2.01657
23.930968,12.134839,2.745144
28.735161,14.504194,2.6862
32.321333,18.420667,2.257873
24.360968,13.268387,2.808629
31.423548,15.358387,2.87171
31.089333,17.204667,2.308648
24.235161,11.388065,3.049366
26.899677,13.321935,2.681507
27235,12.267333,2.275459
25.674516,10.909677,3.366391
28.759355,14.774839,3.586288
34.672333,18.110333,4.167416
