MES,ANO,TMAX,TMIN,ETP
1,1990,30.1196774193548,21.1554838709677,3.6104761424786
2,1990,31.5728571428571,19.7996428571429,4.01944922740069
3,1990,33.041935483871,21.3103225806452,3.81772428685617
4,1990,30.6933333333333,20.2433333333333,3.00521743903016
5,1990,25.1906451612903,14.1261290322581,1.99658670871045
6,1990,24572,12.9983333333333,1.76355638955531
7,1990,22.8196774193548,9.70161290322581,1.4419811378315
8,1990,28.1909677419355,13.6725806451613,2.05383299132262
9,1990,27.8763333333333,13.0593333333333,2.47872015123708
10,1990,32.1093548387097,19.1277419354839,3.52326671222351
11,1990,31092,20.7293333333333,3.62272636393426
12,1990,31.881935483871,21.398064516129,3.89437058845615
1,1991,32.9522580645161,21.4829032258065,4.10538340903202
2,1991,32.7989285714286,19.8360714285714,4.20948396406028
3,1991,30.7793548387097,20.0661290322581,3.64979655818197
4,1991,30.2396666666667,18303,3.11213982494371
5,1991,27.6012903225806,14.6674193548387,2.41361178908294
6,1991,26.1483333333333,14.2143333333333,1.78101709060756
7,1991,26.0525806451613,11.5287096774194,1.61689165631913
8,1991,30.0961290322581,14.748064516129,1.95087270206795
9,1991,33.9446666666667,18328,2.70712129666184
10,1991,32.4196774193548,18.3912903225806,3.39133176369024
11,1991,34.1313333333333,20.3566666666667,4.05131442195983
12,1991,32.0025806451613,21.7138709677419,3.7899485804627
1,1992,33.3564516129032,21.6738709677419,4.26390173493763
2,1992,34.1468965517241,22.0886206896552,4.10678316788521
3,1992,29.6654838709677,20.2893548387097,3.40953228084071
4,1992,28002,17.6633333333333,2.92629443811398
5,1992,26.051935483871,16.8364516129032,2.19644248938532
6,1992,26.0056666666667,15.4983333333333,1.81313299848
7,1992,22.991935483871,10.6454838709677,1.47733138821407
8,1992,27.3232258064516,12.8145161290323,1.8902606849073
9,1992,26.4376666666667,14.8073333333333,2.24807476400034
10,1992,29.7132258064516,19.1670967741935,2.97855441950327
11,1992,30.23,18.8116666666667,3.52215388451531
12,1992,33.3177419354839,21.2077419354839,4.25095778395729
1,1993,33.3170967741935,21.9648387096774,4.15147397754428
2,1993,30.0282142857143,19.4271428571429,3.85717043256332
3,1993,32.3177419354839,21.0167741935484,3.97375097784276
4,1993,31008,18.77,3.47182688128139
5,1993,27.8758064516129,14.9609677419355,2.4728074900136
6,1993,25.5483333333333,12.5766666666667,1.93978949089581
7,1993,25.5870967741935,11.7935483870968,1.60278414328963
8,1993,28.29,13.0996774193548,1.85098454816979
9,1993,31.8726666666667,17.2046666666667,2.42881283536408
10,1993,33.6364516129032,20.0493548387097,3.22210798651592
11,1993,34.5146666666667,19.1793333333333,3.86568032532077
12,1993,31.6612903225806,21.8448387096774,3.80129247144675
1,1994,32.3051612903226,20.9254838709677,4.08631078610652
2,1994,31.4678571428571,21.6764285714286,3.92048400170303
3,1994,32.1077419354839,19.7716129032258,3.93142083782682
4,1994,31489,18.52,3.55042094389147
5,1994,29.2087096774194,16.6706451612903,2.7465723603583
6,1994,25.5523333333333,13.2346666666667,1.97224190020206
7,1994,27.1174193548387,12.3538709677419,1.65764095641538
8,1994,32.11,14.2654838709677,1.90415990994659
9,1994,35658,19.0743333333333,2.45571215895162
10,1994,33.3848387096774,20.7745161290323,3.06479192559146
11,1994,32743,20.6603333333333,3.75127367689254
12,1994,31.9396774193548,21.8841935483871,3.73168796074703
1,1995,29.6161290322581,22.0170967741935,3.43526877730857
2,1995,30.5285714285714,21.5689285714286,3.76389302347632
3,1995,31.5138709677419,20.5077419354839,3.92389980779838
4,1995,29.3693333333333,16.0266666666667,3.48814200788494
5,1995,28.5587096774194,14.1861290322581,2.86498683243117
6,1995,29.4026666666667,14.5683333333333,2.16110554075699
7,1995,30.0770967741935,15.7170967741935,1.76796874324476
8,1995,33.8693548387097,16.8374193548387,1.7455199556099
9,1995,35.5616666666667,19.3076666666667,2.18740368949463
10,1995,30.6554838709677,16.9793548387097,2.79538121322484
11,1995,31.7956666666667,19.2023333333333,3.51802440359546
12,1995,32.9812903225806,21.0841935483871,3.99897432124331
1,1996,30.8996774193548,21.9425806451613,3.60739679295957
2,1996,30.16,21.3303448275862,3.73117124129053
3,1996,29.7022580645161,20.6003225806452,3.67507663568472
4,1996,28.5553333333333,18.2146666666667,3.33738439382927
5,1996,26.9867741935484,15.9832258064516,2.82045442590305
6,1996,24.12,11.6946666666667,2.06869147914699
7,1996,26.6258064516129,10.2606451612903,1.84041785716953
8,1996,32.4377419354839,16.52,1.88052651301201
9,1996,31.0516666666667,15.4583333333333,2.11553693665816
10,1996,32.3867741935484,19.5441935483871,2.85638457082442
11,1996,30.4536666666667,20.2626666666667,3.25441167461612
12,1996,31.2106451612903,21.5509677419355,3.52945256927647
1,1997,29.7335483870968,21.5770967741935,3.55074849211248
2,1997,29.9703571428571,21.6182142857143,3.63028755339942
3,1997,29.7429032258065,19.4367741935484,3.81401065774097
4,1997,28697,16453,3.49016250124402
5,1997,26.9748387096774,14.2135483870968,2.97089101782057
6,1997,23.7013333333333,13399,1.93096373255208
7,1997,26.7525806451613,13.491935483871,1.86729925876814
8,1997,28.6922580645161,13.7738709677419,1.73144355388071
9,1997,35.6653333333333,19.3423333333333,2.3400988988202
10,1997,34.6864516129032,20.5232258064516,2.77830286869333
11,1997,32113,21.9963333333333,3.23823044670676
12,1997,30.5725806451613,21.2929032258064,3.45523896644988
1,1998,33.77,22.6874193548387,4.16705686819411
2,1998,32.9125,22.8614285714286,3.98218202114989
3,1998,30.4958064516129,21.5741935483871,3.72432686448778
4,1998,28432,18.6276666666667,3.26462758008333
5,1998,24.4758064516129,13.6832258064516,2.77657373682776
6,1998,25.4313333333333,12734,2.30369538222176
7,1998,28.9890322580645,14.521935483871,2.03945792006382
8,1998,28.6322580645161,15.9670967741935,1.8368085713624
9,1998,28.35,15.9393333333333,1.96556098049522
10,1998,30.4541935483871,18.8196774193548,2.51866218732541
11,1998,32.5373333333333,20.1623333333333,3.35876197524563
12,1998,32.0764516129032,20.3035483870968,3.73372190407729
1,1999,30.7464516129032,21.7458064516129,3.69464355879579
2,1999,31395,21.8914285714286,3.95283195331448
3,1999,31.801935483871,21.7764516129032,3.96551441840494
4,1999,29.6526666666667,17.0046666666667,3.71568875551465
5,1999,27.7048387096774,13.3883870967742,3.08035253189581
6,1999,26.5426666666667,13.0463333333333,2.5439124382586
7,1999,27.5977419354839,13.8945161290323,2.02957855792568
8,1999,31.4209677419355,13.6738709677419,1.70006725312684
9,1999,33.7973333333333,17.0873333333333,1.95359761508648
10,1999,36.0496774193548,20.1841935483871,2.51719363767755
11,1999,34.14,18174,3.23364577403342
12,1999,34.6193548387097,21.8841935483871,3.88912654852567
1,2000,34.5341935483871,22.3761290322581,4.17053318445084
2,2000,32.3127586206897,21.7803448275862,3.89568529530421
3,2000,29.7412903225806,20.8161290322581,3.6188191427621
4,2000,31.7423333333333,18.0823333333333,4.02062753824497
5,2000,27.7845161290323,13.7422580645161,3.22390604514125
6,2000,27.1513333333333,14.7836666666667,2.45807842665284
7,2000,24.0438709677419,8.81451612903226,1.75883234786035
8,2000,29.5564516129032,14.9577419354839,1.81470263785455
9,2000,28356,16162,1.79236498413709
10,2000,33.7383870967742,19.4738709677419,2.63504574167837
11,2000,32.2046666666667,20.1663333333333,3.09210246534853
12,2000,31.2745161290323,20.2116129032258,3.46976197880468
1,2001,30.8003225806452,21.631935483871,3.61929625648655
2,2001,29.76,21.6753571428571,3.51564792545974
3,2001,29.7777419354839,21.03,3.70399106893673
4,2001,29.7353333333333,19.5143333333333,3.68364088134853
5,2001,24.91,13.971935483871,2.96368719404658
6,2001,23316,11.4643333333333,2.47480315235895
7,2001,27.8229032258065,12.5954838709677,2.1406163864817
8,2001,32.4277419354839,15.3396774193548,1.9414369209959
9,2001,32.2376666666667,17163,1.96432273993871
10,2001,31.7232258064516,18.5093548387097,2.40035186195649
11,2001,31.0796666666667,21231,2.77970182049319
12,2001,29.2741935483871,19.4922580645161,3.24736007830982
1,2002,31.7041935483871,20.6945161290323,3.73373959203895
2,2002,31.1175,20.3128571428571,3.90436832027885
3,2002,32.3748387096774,21.938064516129,4.01856250554007
4,2002,34.8186666666667,21.16,4.39752799875912
5,2002,29.5822580645161,17.6245161290323,3.36034630795019
6,2002,30702,15.3153333333333,3.024879153602
7,2002,28.3587096774194,13.1609677419355,2.16389140859822
8,2002,32.7341935483871,16.2193548387097,1.9147467757626
9,2002,32.6443333333333,16275,1.7329961123129
10,2002,37.3038709677419,22.5951612903226,2.51853325721346
11,2002,33385,20.7933333333333,2.7852127972889
12,2002,32.3838709677419,22.4606451612903,3.28468318759234
1,2003,30.6854838709677,22.3745161290323,3.41946850106755
2,2003,30.1767857142857,21.8153571428571,3.56931624303373
3,2003,30.6290322580645,20.7216129032258,3.82650942552328
4,2003,28221,16.9966666666667,3.69005491169201
5,2003,26.2245161290323,12.6903225806452,3.35032844936584
6,2003,27.8426666666667,14325,3.08436649334349
7,2003,28.3106451612903,13.5025806451613,2.38817159372764
8,2003,26.8651612903226,10.468064516129,1.71482089895244
9,2003,30415,15.6176666666667,1.82525611674933
10,2003,32.1793548387097,18.7964516129032,2.13059115442628
11,2003,32.7316666666667,19.1813333333333,2.70367498792152
12,2003,31.0196774193548,21.4925806451613,2.95758362606178
1,2004,33.5154838709677,21.2967741935484,4.03056641522888
2,2004,34.4596551724138,21.19,4.31088201611487
3,2004,34.1496774193548,20.0825806451613,4.45537378437763
4,2004,32.2116666666667,20.5016666666667,3.98120920720026
5,2004,23.1638709677419,13.3112903225806,2.91469165053906
6,2004,23.9333333333333,12.8583333333333,2.7748106198108
7,2004,24.0864516129032,12.4874193548387,2.16974038337245
8,2004,28.4841935483871,12.4996774193548,2.05996856353693
9,2004,34.5726666666667,17.1003333333333,1.96685785068063
10,2004,31.6212903225806,18.1877419354839,2.02086874700192
11,2004,31052,18.9703333333333,2.60873874604333
12,2004,31.6906451612903,20.4461290322581,3.16561745181215
1,2005,29.8893548387097,22.1687096774194,3.21961620723288
2,2005,33.2507142857143,20.9603571428571,4.2641698376658
3,2005,35.8522580645161,21.1032258064516,4.63900679365595
4,2005,33.5063333333333,20.5186666666667,4.16118612712839
5,2005,28.8748387096774,15.2487096774194,3.63337617656215
6,2005,28104,15.4336666666667,3.09833002376697
7,2005,25.4554838709677,11.1564516129032,2.30116969030379
8,2005,31.7496774193548,14.2577419354839,1.99235614813424
9,2005,28.7546666666667,14.1216666666667,1.72990316817919
10,2005,30.811935483871,20.0822580645161,1.99799165347205
11,2005,31.0106666666667,19.7263333333333,2.45897634532718
12,2005,30.8625806451613,20.9432258064516,2.96719686408436
1,2006,32.6767741935484,21.868064516129,3.72791724054714
2,2006,31.3932142857143,21.0271428571429,3.87025561258947
3,2006,31.6593548387097,21.318064516129,3.94486974537507
4,2006,29613,18.6253333333333,3.86336541329097
5,2006,27.3025806451613,11.8116129032258,3.7200925176445
6,2006,28.5433333333333,14383,3.27962307361262
7,2006,29.9903225806452,14.4248387096774,2.6485423772196
8,2006,31.2441935483871,14.471935483871,2.03551379419446
9,2006,30.3023333333333,15.4236666666667,1.76967963718433
10,2006,32.6012903225806,21.1796774193548,2.06996164700744
11,2006,33.3316666666667,20686,2.5069644996341
12,2006,30.8029032258064,22.4090322580645,2.67525578946641
1,2007,29.6377419354839,22.5735483870968,2.93101898395014
2,2007,29.59,21.8014285714286,3.39489803059166
3,2007,30.7435483870968,20.1112903225806,4.05101091807894
4,2007,30.5783333333333,19.0153333333333,3.9243230696234
5,2007,26.7648387096774,13.5270967741935,3.37850893076384
6,2007,28932,12.8163333333333,3.3845818772257
7,2007,26.7054838709677,11.4922580645161,2.46561509648763
8,2007,30.1683870967742,13.4564516129032,2.18221924780462
