@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30.693333,20.243333,3.005217
25.190645,14.126129,1.996587
24572,12.998333,1.763556
30.239667,18303,3.11214
27.60129,14.667419,2.413612
26.148333,14.214333,1.781017
28002,17.663333,2.926294
26.051935,16.836452,2.196442
26.005667,15.498333,1.813133
31008,18.77,3.471827
27.875806,14.960968,2.472807
25.548333,12.576667,1.939789
31489,18.52,3.550421
29.20871,16.670645,2.746572
25.552333,13.234667,1.972242
29.369333,16.026667,3.488142
28.55871,14.186129,2.864987
29.402667,14.568333,2.161106
28.555333,18.214667,3.337384
26.986774,15.983226,2.820454
24.12,11.694667,2.068691
28697,16453,3.490163
26.974839,14.213548,2.970891
23.701333,13399,1.930964
28432,18.627667,3.264628
24.475806,13.683226,2.776574
25.431333,12734,2.303695
29.652667,17.004667,3.715689
27.704839,13.388387,3.080353
26.542667,13.046333,2.543912
31.742333,18.082333,4.020628
27.784516,13.742258,3.223906
27.151333,14.783667,2.458078
29.735333,19.514333,3.683641
24.91,13.971935,2.963687
23316,11.464333,2.474803
34.818667,21.16,4.397528
29.582258,17.624516,3.360346
30702,15.315333,3.024879
28221,16.996667,3.690055
26.224516,12.690323,3.350328
27.842667,14325,3.084366
32.211667,20.501667,3.981209
23.163871,13.31129,2.914692
23.933333,12.858333,2.774811
33.506333,20.518667,4.161186
28.874839,15.24871,3.633376
28104,15.433667,3.09833
29613,18.625333,3.863365
27.302581,11.811613,3.720093
28.543333,14383,3.279623
30.578333,19.015333,3.924323
26.764839,13.527097,3.378509
28932,12.816333,3.384582
28.465667,17.612333,3.639379
26.072258,13.725806,3.464579
26052,12968,3.100112
33.568667,18.730667,4.446465
29.685484,16.48129,3.759001
24.938333,11.829667,3.206945
29853,17838,3.918996
25.29871,13.442258,3.407789
27.333667,13.829667,3.425687
28.498333,18.433667,3.678676
25.916774,13.953871,3.560535
25.399333,11.716333,3.313621
31.258667,19.07,3.90462
27.284516,15.055484,3.582425
25.488667,14066,3.135788
27.987333,17074,3.672976
28.669677,15.574839,3.581635
26338,15.841333,3.314016
30.073333,19.187333,3.84908
26.388065,15.343226,3.430035
26.303333,14.546333,3.281596
32.228333,19908,4.135325
28.461613,16.214194,3.671672
28428,14.899667,3.614602
32645,19.264333,4.059538
25.949677,14.531613,3.437843
23.227667,11.3,3.20898
28.119333,17.523333,3.59719
27.314839,18.202903,3.413039
24.888333,13.221333,3.362156
