@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30.119677,21.155484,3.610476
31.572857,19.799643,4.019449
33.041935,21.310323,3.817724
32.952258,21.482903,4.105383
32.798929,19.836071,4.209484
30.779355,20.066129,3.649797
33.356452,21.673871,4.263902
34.146897,22.088621,4.106783
29.665484,20.289355,3.409532
33.317097,21.964839,4.151474
30.028214,19.427143,3.85717
32.317742,21.016774,3.973751
32.305161,20.925484,4.086311
31.467857,21.676429,3.920484
32.107742,19.771613,3.931421
29.616129,22.017097,3.435269
30.528571,21.568929,3.763893
31.513871,20.507742,3.9239
30.899677,21.942581,3.607397
30.16,21.330345,3.731171
29.702258,20.600323,3.675077
29.733548,21.577097,3.550748
29.970357,21.618214,3.630288
29.742903,19.436774,3.814011
33.77,22.687419,4.167057
32.9125,22.861429,3.982182
30.495806,21.574194,3.724327
30.746452,21.745806,3.694644
31395,21.891429,3.952832
31.801935,21.776452,3.965514
34.534194,22.376129,4.170533
32.312759,21.780345,3.895685
29.74129,20.816129,3.618819
30.800323,21.631935,3.619296
29.76,21.675357,3.515648
29.777742,21.03,3.703991
31.704194,20.694516,3.73374
31.1175,20.312857,3.904368
32.374839,21.938065,4.018563
30.685484,22.374516,3.419469
30.176786,21.815357,3.569316
30.629032,20.721613,3.826509
33.515484,21.296774,4.030566
34.459655,21.19,4.310882
34.149677,20.082581,4.455374
29.889355,22.16871,3.219616
33.250714,20.960357,4.26417
35.852258,21.103226,4.639007
32.676774,21.868065,3.727917
31.393214,21.027143,3.870256
31.659355,21.318065,3.94487
29.637742,22.573548,2.931019
29.59,21.801429,3.394898
30.743548,20.11129,4.051011
30.744839,21.654194,3.14424
30.467586,20.74931,3.635605
29.584194,19.472258,3.823955
32.183226,21.189032,3.345215
32.07,22.046071,3.771044
32.732581,21.377419,4.22912
29.620645,22.066774,2.829662
30.061429,22.521071,3.26172
30.990968,20.746774,3.806008
31.125806,22.037419,3.091181
29.003929,21.741071,3.068922
28.828065,20.879677,3.358242
32.775806,21.406774,3.183825
33.026552,21.884828,3.760922
32.622581,19.564516,4.119585
33.818387,21.34871,3.188376
33.348214,22.193214,3.63798
32.520323,20.964194,3.924332
31.326129,21.561613,2.810354
33.789286,22.174643,3.628877
29.884516,20.44871,3.553773
33.32129,22.787097,2.908113
33.043929,22.578214,3.434064
33.692903,20.978387,4.106802
30.781613,22.12129,2.481856
32.077241,22.974483,3.102912
31.012581,19.856774,3.705257
30.73129,21.519355,3.828318
30.556429,21.917857,3.688778
30.935484,21.026774,3.811105
