MES,ANO,TMAX,TMIN,ETP
1,1990,29.5806451612903,21.5312903225806,3.39099702860319
2,1990,30.3882142857143,20.6142857142857,3.643896814345
3,1990,31.8338709677419,21.5487096774193,3.61739876556339
4,1990,30587,21067,2.98700166765202
5,1990,26.8712903225806,15.8593548387097,2.17532294716148
6,1990,27693,15728,1.95619171860111
7,1990,26.6441935483871,12.7767741935484,1.64063443525519
8,1990,30.91,17.2874193548387,2.13290155293285
9,1990,29.5703333333333,16.1256666666667,2.59554605327885
10,1990,31.8745161290323,20.9361290322581,3.42345128097071
11,1990,31.7356666666667,21739,3.61608889526588
12,1990,32.2432258064516,22.2687096774194,3.88066295568828
1,1991,30.6141935483871,22.0174193548387,3.56298877357449
2,1991,32.0321428571429,21.4075,3.89950928741496
3,1991,30.3751612903226,20.8032258064516,3.4412589712469
4,1991,30.0363333333333,19367,3.07685106160936
5,1991,29.3809677419355,16.8138709677419,2.59866305917173
6,1991,28.7996666666667,16689,2.02453447240582
7,1991,29.0183870967742,14.7345161290323,1.812433019967
8,1991,32.7738709677419,17.5029032258065,2.15047988803514
9,1991,35.17,20.8276666666667,2.78831974307768
10,1991,33.1464516129032,20.5132258064516,3.36259199397602
11,1991,32598,21748,3.72362745481615
12,1991,30.93,21.7503225806452,3.54455666617704
1,1992,30.4845161290323,21.468064516129,3.68090052614951
2,1992,29.488275862069,21.448275862069,3.35193004834923
3,1992,28.9622580645161,20.8087096774194,3.18636709736588
4,1992,28.3306666666667,18.9916666666667,2.96659157393524
5,1992,28.0551612903226,18.5277419354839,2.44861371405917
6,1992,28458,17212,2.06104310848081
7,1992,27.2645161290323,14.2783870967742,1.69541626763617
8,1992,30.8051612903226,16.3174193548387,2.00207602634489
9,1992,29.3906666666667,17.7823333333333,2.41278601203098
10,1992,30.7654838709677,20.7687096774194,3.04373402946244
11,1992,30.5763333333333,20.3326666666667,3.45391762530775
12,1992,30.5774193548387,21.5554838709677,3.65923563315617
1,1993,30.5412903225806,21.1538709677419,3.68958647033787
2,1993,29.8471428571429,20.2464285714286,3.65238895025933
3,1993,31.4951612903226,21.28,3.87500119607377
4,1993,31.0166666666667,19.8733333333333,3.43698426654633
5,1993,28.9329032258065,16.4332258064516,2.5811679762367
6,1993,27598,15.0836666666667,2.11771076407604
7,1993,28.82,14.6216129032258,1.75285589718019
8,1993,32.2232258064516,17.2593548387097,1.95244166519378
9,1993,34.6223333333333,20.6906666666667,2.60500681055135
10,1993,35.2883870967742,22.2287096774193,3.46506442009019
11,1993,36.0646666666667,22699,3.83990433595825
12,1993,31.8429032258065,22.4483870967742,3.64618122449927
1,1994,31.4029032258064,21.2693548387097,3.88590396422094
2,1994,30.3089285714286,21.6403571428571,3.63244167812325
3,1994,30.6232258064516,20.6829032258065,3.67353720424945
4,1994,30.7536666666667,19648,3.44877264196701
5,1994,29.9122580645161,17.8235483870968,2.89256044091575
6,1994,27618,15396,2.09999810778465
7,1994,28.6493548387097,14.5038709677419,1.84748236462399
8,1994,33.1983870967742,16.7522580645161,2.0571859417153
9,1994,37807,21.8933333333333,2.5282714144943
10,1994,35.261935483871,22.9974193548387,3.17088859959874
11,1994,32875,21932,3.6606518318161
12,1994,29.9593548387097,21.8345161290323,3.30950280713989
1,1995,28.8458064516129,21.7667741935484,3.23308258693046
2,1995,29.2914285714286,21.7346428571429,3.40295951217778
3,1995,30.37,21.1470967741935,3.59149851072973
4,1995,28.8583333333333,17.7513333333333,3.23679808505981
5,1995,28.3783870967742,16.4848387096774,2.82836962986479
6,1995,28.6706666666667,15698,2.26182340975994
7,1995,30.5664516129032,16.9077419354839,1.98679472082397
8,1995,34.1258064516129,17.9896774193548,1.98300764324401
9,1995,36.1156666666667,20.5686666666667,2.45315016981266
10,1995,33.2909677419355,19.7487096774194,3.01853244143728
11,1995,33.7203333333333,21.1766666666667,3.6163985761486
12,1995,32.0861290322581,22.0854838709677,3.65590594929122
1,1996,30.2545161290323,21.8461290322581,3.50004876745514
2,1996,30.6610344827586,21.9089655172414,3.59397035471807
3,1996,30.138064516129,21.7058064516129,3.5763914587221
4,1996,30.5656666666667,19.6853333333333,3.48435317282261
5,1996,29.3870967741935,18.2077419354839,2.91631835239402
6,1996,27.7503333333333,14308,2.31165586288511
7,1996,30.2551612903226,14.2532258064516,1.94939636425147
8,1996,34.4409677419355,19.7022580645161,2.00374235498809
9,1996,32.4083333333333,18.2226666666667,2.25671367678645
10,1996,34.0867741935484,21.8416129032258,2.91719125109976
11,1996,30.4956666666667,21447,3.14921952713455
12,1996,31.1154838709677,22.0416129032258,3.48633953282402
1,1997,28.6154838709677,21.3258064516129,3.22039823708477
2,1997,29.8735714285714,21.6185714285714,3.50694760723537
3,1997,29.9429032258064,20.6254838709677,3.59490823433407
