@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30587,21067,2.987002
26.87129,15.859355,2.175323
27693,15728,1.956192
30.036333,19367,3.076851
29.380968,16.813871,2.598663
28.799667,16689,2.024534
28.330667,18.991667,2.966592
28.055161,18.527742,2.448614
28458,17212,2.061043
31.016667,19.873333,3.436984
28.932903,16.433226,2.581168
27598,15.083667,2.117711
30.753667,19648,3.448773
29.912258,17.823548,2.89256
27618,15396,2.099998
28.858333,17.751333,3.236798
28.378387,16.484839,2.82837
28.670667,15698,2.261823
30.565667,19.685333,3.484353
29.387097,18.207742,2.916318
27.750333,14308,2.311656
28.912333,18778,3.332265
27.860968,16.822258,2.916384
25366,15.567333,2.136642
30.459667,20.554667,3.47529
27.587419,15.628065,2.945267
28343,15.728333,2.461138
29.841333,18253,3.534128
28.494516,15.299032,3.141871
29.292667,16.116667,2.683362
29165,18.496667,3.534073
28.374516,16.269032,3.174048
29879,16.549667,2.78017
31.353333,20.283333,3.881261
28.182903,16.798065,3.150704
26288,13.706333,2.624498
32.231333,20.257667,4.148147
30.402581,18.645161,3.515293
31164,16.71,3.160118
28.526667,18.597333,3.504002
27.751935,15.122581,3.25304
29.604667,16.260667,3.185351
31627,21.121333,3.866205
25.829355,16.082903,3.091899
26055,14.385667,2.804051
33.198333,20.966333,4.157159
31.134194,17.892581,3.651919
29612,17.03,3.184716
30174,20.305333,3.702074
28.147742,14.296129,3.507481
30.534667,16.824333,3.319371
32408,20.610667,4.062035
29.087419,16.354839,3.488258
30773,15.633667,3.387952
29994,19.838667,3.653422
27.672258,16.015484,3.353007
28974,16.113333,3.253458
31.615667,19792,4.049433
31.013226,18.489032,3.764227
28.249333,14.947333,3.320166
30.575667,19.341333,3.751206
28.078387,15.560645,3.51142
30294,15.700667,3.542736
28.7,19.399667,3.508818
26.68,15.810645,3.339062
26442,14232,3.185702
32.277333,21739,3.799331
29.526452,17.401613,3.548773
28.553667,16.507333,3.335727
28749,18.949333,3.491075
30.209677,17.870645,3.762775
28631,18263,3.359523
31878,20.930333,3.816658
28.980323,17.683548,3.543472
29.059667,17.126667,3.403677
32.401333,21.331333,3.998591
29.589677,18.390645,3.667579
29973,17436,3.594978
32971,20.582667,3.98673
28.927097,17.162581,3.605309
26.713333,14.083333,3.283984
30.622333,19.897333,3.668316
30.895161,20.315484,3.635494
29.788667,16243,3.558975
