@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.309355,20.952581,3.361435
29.980357,19.662857,3.644502
31.423548,21.100968,3.526502
30.526774,21.345806,3.564785
30.468929,20.02,3.685773
29.313226,19.834839,3.337204
30.636129,20.901613,3.742875
30.361034,21.232414,3.5219
28.664194,20.132903,3.147765
31.858387,21.442903,3.894259
29.931429,19.5325,3.675942
31.619677,20.920323,3.855421
32.42,21.115484,4.005057
31.288571,21.502143,3.800543
31.216452,20.019032,3.731381
28.709677,21.643871,3.153447
29.678214,21.463929,3.508863
30.483548,20.587742,3.650541
29.89871,21.528387,3.383088
30.064138,21.237931,3.552877
29.804194,20.763548,3.569561
29.019355,21.292581,3.335402
29.621429,21.2925,3.483351
29.696774,19.737097,3.600157
33.640645,22.646774,4.077053
31.8275,22.615714,3.715411
30.458387,21.673871,3.626691
30.179355,21.526129,3.535595
30.941786,21.735357,3.797556
30.007419,21.470968,3.543351
34.135484,22.280645,4.042977
31.094483,21.633448,3.58585
28.725161,20.822903,3.323865
29.936452,21.34,3.464464
29.7325,21.514643,3.452942
29.541613,20.867742,3.524115
30.418065,20.685806,3.496437
30.623571,20.664643,3.676313
30.843226,21.560968,3.678177
29.868387,22.350323,3.145904
29.708571,21.420357,3.444364
29.796129,20.692258,3.533897
31.943548,21.335161,3.684647
32.205172,21.083103,3.825499
33.729032,20.434194,4.162749
29.405161,22.095806,3.003872
32.246071,20.757857,4.038569
32.936774,20.702258,4.123947
30.455806,21.463226,3.354297
30.899286,21.098571,3.642015
30.13,21.084516,3.600144
28.746774,22.370968,2.682581
29.268214,21.598571,3.223612
30.357419,20.266129,3.868838
30.022258,21.812903,2.97282
30.18,20.77931,3.429919
29.220968,19.669677,3.608752
30.626129,20.860968,3.051603
31.106786,21.7325,3.56317
31.566774,21.438065,3.911829
29.28129,21.833548,2.738039
29.757143,22.213929,3.116692
30.603548,20.845484,3.575268
29.722903,21.782581,2.798736
28.442143,21.421429,2.954627
28.282258,21.029355,3.107485
31.741935,21.415806,3.021299
31.146552,21.411034,3.471298
32.037419,20.007742,3.91549
32.727742,21.666774,2.951501
32.359286,21.928571,3.487802
31.351935,21.166129,3.563764
30.157742,21.04871,2.723911
32.9325,21.958214,3.409454
30.304194,20.809355,3.440292
31.015484,22.106129,2.70841
31.001429,21.876071,3.167196
32.147419,20.779677,3.807673
30.02,22.061935,2.357713
30.128276,22.604483,2.819571
30.433226,20.231613,3.490592
30.083226,21.582258,3.497003
29.594643,21.638929,3.49481
29.925484,21.179677,3.474253
