@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

25.538065,13.433871,1.785615
29.597097,17.401935,2.30341
28911,17.432667,2.638298
28.027419,15.437742,1.95669
31.630645,17.050645,2.352175
34.214333,20.4,3.008578
30.925806,16.977419,1.939803
33.693226,18.952258,2.227769
31.790333,19.598333,2.691919
30.478065,16.216774,1.950004
33.679032,18.729032,2.217973
35.684667,21.869667,2.874534
30.564194,16.223226,2.082906
34.980968,18.596129,2.213447
38.993333,23.050667,2.718439
30.83,17.864516,2.162237
34.225161,18.664839,2.198932
36.847333,21.470667,2.674545
30.550968,15.805806,2.123
35.110968,20.727419,2.271143
33.783333,20.065333,2.510816
28.596452,15.902258,2.165509
31.45871,17.304194,2.052776
36.563333,22561,2.627019
32.085806,17.884194,2.352503
33.592258,19.200968,2.229178
35.729667,20.639333,2.492868
31.275806,17.177097,2.438801
33.32871,17.138065,2.0405
35.760667,21372,2.322142
28.423548,14.16871,2.067251
34.484194,19.579355,2.166735
33713,20473,2.253576
32.456129,18.09871,2.456842
35.19129,18.981935,2.143035
35.575333,21245,2.242727
30.502903,17.159355,2.536381
33.935484,19.373226,2.301329
34.191333,19711,2.12338
30.920323,16.408065,2.657688
31.927097,16.921613,2.064583
34.577333,20.530333,2.169379
30.716774,16.838065,2.650465
34.907097,18.63,2.268759
38.142333,22.100333,2.170442
31.852903,17.106774,2.749226
35.754839,19.809677,2.179987
34.092333,19.890333,2.168804
33.126774,18.014194,2.93348
35.674839,19.92871,2.37697
34478,20.966333,2.186836
32.065806,16.708065,2.879527
34.837742,18.010645,2.435107
38463,22.836333,2.091227
32.734516,17.152903,3.116812
35.83871,20.263871,2.618543
36.455667,20.713667,2.170613
31.638387,17.819032,3.18098
33.602903,19.213226,2.728517
34469,22.071667,2.401494
32.2,17.429677,3.223837
35.264516,18.763226,2.749821
38.691333,23.437333,2.242655
31.702903,17.536774,3.377006
34.14129,18.903548,2.830016
37.700333,22.184667,2.446679
32.128065,16.690968,3.399749
35.282581,19.72,2.880429
37.797667,22128,2.496345
30.571935,16.42,3.29621
33.102903,16.986129,2.97372
35.422333,20886,2.578853
29.610645,17.200323,3.28659
33.41129,18.285484,3.203073
36.692667,23.043667,2.860753
31.883548,18.876774,3.568907
36.345161,20.655161,3.375251
37.427667,23175,2.865522
34.083226,18.186452,3.71016
34.916774,20.214194,3.193038
36.204333,20723,2.883612
32.700968,17.057419,3.681102
35.036452,20.168387,3.881964
38.341333,22.657667,4.051298
