@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.098065,21.66,3.257825
28.964286,21.2675,3.288841
30.233548,21.704194,3.405724
29.260968,22.181935,3.181517
30.228571,22.021429,3.428995
29.249032,21.310968,3.194039
31.595484,22.454194,3.75007
30.941379,22.137931,3.423242
30.572258,21.746129,3.343667
30.340323,21.577742,3.492739
29.630714,20.976071,3.440516
30.550968,21.604194,3.61103
31.161935,21.935161,3.692057
30.406786,22.0725,3.524317
30.549355,21.444516,3.637938
29.1,22.083548,3.142027
29265,21.803214,3.324164
30.538387,21.964194,3.542561
29.780968,22.077419,3.347837
30.238621,22.319655,3.504032
29.657742,22.349355,3.386874
28.745484,21.733548,3.065006
29.901071,21.955714,3.459206
30.005161,21.394516,3.51481
32.226774,23.23,3.752744
31.341071,23.517857,3.513218
31.390323,22.960645,3.691903
29.673226,22.303548,3.358514
30.739643,22.352857,3.600379
29.726129,22.086452,3.441946
32.026129,22.57871,3.67283
29.693103,22.098276,3.280047
29.164839,21.857419,3.232951
30.65129,21.841935,3.556216
30.763929,22.180357,3.55745
30.190968,21.836774,3.499345
30.115806,21.777419,3.295593
29.641071,22.276071,3.275965
30.52129,22.02129,3.578206
29.794516,22.775806,3.022721
29.715714,22.046071,3.365383
29.625484,22.053871,3.329282
30.577097,22.75,3.279182
30.033793,22.147586,3.382779
31.290968,21.459677,3.724033
31.432581,23.23,3.240834
33.437857,22.337857,4.044791
33.423226,22.750323,4.014406
30.315806,21.993226,3.200931
31.046429,22.454643,3.506629
30.668065,22.32871,3.540276
29.894194,22.896129,2.902888
30.144286,22.428929,3.217327
32.623548,21.824516,4.042718
29.458387,22.475484,2.842865
30.085862,21.567586,3.357385
30.14129,21.496452,3.470958
31.854194,22.386129,3.238867
30.133214,22.5575,3.268479
30.45129,22.450323,3.525114
29.640968,22.511935,2.753787
30.727143,22.863214,3.306788
30.65,22.590323,3.463244
29.460323,22.188065,2.803666
29.228929,22.087143,3.011553
28.333548,22.160968,2.935932
29.722258,21.906452,2.703744
30.445862,21.739655,3.364082
30.132903,21.464839,3.553573
30.767097,22.966452,2.822255
29.749643,21.986429,3.073123
30.255806,22.2,3.392763
30.753226,21.954194,2.843225
29.8,21.978214,3.066398
29.362581,22.047419,3.153658
30.649677,22.387097,2.778652
30.278214,22.491071,2.99823
30.232258,21.81129,3.389773
30.306129,23.125484,2.428734
33.423103,23.85931,3.366093
33.147097,23.069677,3.782511
32.494516,23.029355,3.812476
32.411786,23.203571,3.753367
34.10871,23.910968,3.989118
