@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

19.990645,8.577097,1.306974
24.492258,12.10871,1.819436
24.722667,11.745667,2.23167
24.139032,10.460968,1.48739
27.512903,13.279032,1.812193
31.009667,16.689667,2.538714
20.126129,9.090645,1.323038
23.22129,11.295484,1.646142
24.12,13.510333,2.091343
22.101613,10.469677,1.381014
25.04871,11.624194,1.649907
27.871667,15225,2.194805
23.522258,11.306774,1.487757
26.97129,12.117419,1.708745
30.894333,16.223667,2.311888
25.376129,13.947097,1.591344
29.192258,13.768065,1.687976
31.310667,16.413667,2.108476
22.43,8.903226,1.561785
27.41,14.030968,1.694618
27.353667,13208,1.939763
24.861935,12.997742,1.703957
25.373226,12.438065,1.568788
30.521333,16885,2.084774
24.700968,13.407419,1.774311
25.119032,14.535161,1.622773
24866,14576,1.70413
23.47871,12.038065,1.770487
26.29871,11.492581,1.550687
29.41,14.858667,1.818705
20.381613,6.966774,1.593358
26.034194,13.426774,1.650293
25.525333,14764,1.603473
24.006452,11.394194,1.887599
28.177742,14.030645,1.773557
28622,15.847667,1.755828
24.317419,11.443871,1.965009
29.466452,14.508387,1.794254
29.822667,13979,1.662526
24.723226,12.474516,2.121584
23.807419,8.887097,1.571609
28105,14179,1.685826
22.184516,11.545484,1.998472
24.966452,11.735806,1.801904
29.204333,15173,1.815554
22.967097,9.823226,2.146306
29.187097,12.77129,1.898928
24.383333,12181,1.499605
27.33129,13.312258,2.518622
27.292258,12.380645,1.895785
27438,13.857667,1.623442
21.88871,9.282258,2.265267
25.979032,11.925484,1.977192
32.527333,16781,1.829025
27.519677,13.355484,2.764425
26.789355,14.024839,2.130642
28.011667,12225,1.675629
21.505806,11.636452,2.32896
25.250968,12.992581,2.122499
27.104333,15.152333,1.787322
23.066129,11.474839,2.564259
25.852903,10.766452,2.276623
29.072667,15434,1.870776
23.929355,12.809355,2.674692
25.10871,12.536129,2.237781
29.23,13.604333,1.983183
22.708387,11.107097,2.777789
28.455484,14.210968,2.605765
31519,15.218667,2.060927
22.931613,11.14129,2.83347
23.840645,10.043226,2.399837
28.375333,14.028333,2.076293
23.220968,11.497742,2.881091
27.630968,13.848387,2.793534
30875,17.772333,2.271728
23.432903,12.862581,2.924764
29.917742,14.753548,2.989477
29.773667,16.55,2.331812
23.381613,11.254194,3.136359
25.386452,12.863548,2.765261
25757,11725,2.296706
23.950968,10.131613,3.49208
26.690968,13.898065,3.588948
32808,16.923667,4.351264
