@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

20.39871,8.804516,1.331907
25.430968,12.850323,1.858
25413,12.141333,2.290543
24.282581,10.820968,1.501341
27.850645,13.616774,1.821844
31.450667,17.183667,2.540864
20.498065,9.177419,1.357365
23.682903,11.699355,1.674803
24.358667,13.549667,2.119928
22.680323,10.636452,1.406615
25.726774,12.082903,1.698428
28.465667,15.571667,2.220545
23.775806,11.543226,1.486959
28.019032,12.566774,1.725037
31989,16996,2.348884
25.762903,14.096452,1.604667
29.674194,14.192903,1.704394
32.181667,17.002333,2.141278
23.422903,9.363548,1.605105
28.44,14.724516,1.739124
27.919333,13.348333,1.968699
24.986452,13.230968,1.70658
25.950968,12.907742,1.579466
31713,17.579333,2.12449
25.745806,13.791935,1.840712
25.688065,14.788065,1.659293
25.494333,14.705333,1.75712
24.186452,12.398387,1.816621
27.434516,12.041613,1.583148
30.119667,15.367667,1.84168
20.620645,7.240323,1.596472
26.721613,13.903871,1.676148
25.938667,14946,1.627373
24.601613,11.866774,1.916841
28.989677,14.550645,1.78529
29.620667,16.328667,1.797498
25.22871,11.944839,1.994325
30.176774,15.172581,1.79025
30.710333,14764,1.667574
25.182581,12.821935,2.128156
24.482258,9.275484,1.614286
28463,14.635333,1.710656
22.43129,11.758065,2.029592
25.75,12.151935,1.855882
30358,15.543333,1.832526
23.204194,10.058065,2.157521
29.638387,13.215806,1.894218
25346,12376,1.545013
27.766129,13.868387,2.492932
27.719032,12.749032,1.909265
28.074333,14.271667,1.684545
22.490968,9.549032,2.278706
26.487097,12.147097,2.016782
32827,17.239333,1.855304
26.94,13.557097,2.720052
27.029677,14.149032,2.141636
28431,12.654667,1.691981
21.948065,12.096774,2.333908
25.532581,13.265806,2.120487
27.577667,15289,1.824326
23.28,11.588387,2.543536
26.357419,11.351935,2.287995
29337,15876,1.910911
24.510323,13.068387,2.724739
26.101935,13.085484,2.275099
30.387333,14.210667,2.009767
22.785806,11.013226,2.77459
28.868387,14.348387,2.627175
31.862333,15.630667,2.060214
23.380645,11.417742,2.828307
24.66129,10.344194,2.405481
29.269333,14.573667,2.096508
23.330323,11.856452,2.840527
27.86871,14.267097,2.760676
31.155667,18118,2.302648
23.673871,13.065161,2.913457
30.476452,15.225161,2.993591
29.946333,16924,2.368399
23.47,11.38871,3.117873
25.74129,13.134839,2.728007
26055,11979,2.329258
25.048065,10.67,3.495453
27.81129,14.477419,3.659
33.799667,17649,4.331093
