@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30.364516,20.780323,3.80918
30595,19.373929,3.922486
31.642903,20.481935,3.684984
33.077419,20.881935,4.266148
30.660357,18.862143,4.000409
30.19871,19.792581,3.58218
33.09,21.385806,4.339943
32.77069,21.852069,4.040797
27.921613,19.412903,3.293187
29.923548,20.998387,3.782488
28.805714,18.424286,3.882518
30.81871,20.177097,3.894742
30.760968,19.88,4.040005
29.963214,20.886786,3.830895
30.127742,18.731935,3.773063
28.444839,21.39,3.359478
28.886786,20.409286,3.665027
29.065484,19.081613,3.707412
29.549677,21.082258,3.574358
29.024138,20.56069,3.669249
28.78129,19.662903,3.710326
29.273871,21.066452,3.620255
29.300357,21345,3.606815
28.623548,18.670645,3.7197
32.308065,21.979032,4.100253
30.412143,21.801786,3.737787
29.341935,20.593226,3.669228
29.996452,20.963871,3.784178
29.936429,21085,3.812349
29.733226,20.877742,3.812411
34.132581,21.997097,4.246338
32.034138,21.295862,4.05401
29.505484,20.277419,3.689792
29.785484,20.936129,3.570015
28.511071,21.207143,3.383117
28.923548,20.207742,3.70527
31.37871,20.162258,3.814428
29.201786,19.61,3.726377
31.42,21.472903,3.998252
29.64,21.611935,3.44542
29.094643,21.344286,3.544321
28.890968,19.814839,3.705998
31.612258,20.28871,3.902408
33.122414,20.120345,4.201013
32.049032,19.272903,4.292094
29.133226,21.414839,3.271351
31.4275,20.433214,4.014923
33.952903,20.213548,4.470928
32.227742,21.215806,3.790876
30.408929,20.066071,3.889799
30.950645,20.710968,3.957641
29.036452,21.996129,2.947469
28.661429,21.016071,3.431276
29.275161,19.70129,3.895443
29.20129,20.802581,3.059657
29.045862,19.856207,3.560344
28.509032,18.669355,3.768884
29.894839,20.228065,3.131389
30.681071,21.581786,3.634545
32.741935,20.839032,4.286535
29.020323,21.430323,2.815393
29.285714,22.1575,3.180403
29.388387,20.29,3.645127
30.782903,21.494516,3.122669
28.820714,21.177857,3.198161
29.420323,20.315484,3.59581
31.139032,20.24871,3.087084
31.547241,21.347931,3.547689
30.361935,18.360323,3.887875
31.957097,20.339032,3.071913
32.03,21.494286,3.590703
30.966129,19.854516,3.783815
29.645806,20.980645,2.663704
31.750714,21.278214,3.498829
28.566452,19.286452,3.447079
30.489677,22.055484,2.59521
30.108214,21.635357,3.122741
31.099677,19.924516,3.842766
29.154516,21.596129,2.391967
29.053448,22.192069,2.791773
28.135161,18.771613,3.361261
29.993226,20.737742,3.819991
29.803214,21.128929,3.75078
30.219032,20.283226,3.859882
