@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29761,20.078667,2.873053
25.782903,14.494839,1.94681
26.389333,14.346667,1.685655
28.291667,18198,2.796995
27.317742,15.273226,2.247112
26.939667,15246,1.727644
27161,18.038667,2.774453
26.871613,17.223226,2.211295
26.379667,15786,1.75022
28.985667,18.47,3.183696
26.491935,14.805484,2.265166
25.690667,13464,1.826543
28.748333,18.319333,3.184569
27.688387,16.163548,2.549798
25.608333,13.959333,1.822206
27465,16.517667,3.082633
26.345161,15.019032,2.550417
26.592667,14.051333,1.95606
28.66,18379,3.281565
26.923871,16.600645,2.617237
25.23,12.930667,2.011867
27.798333,17.416333,3.28651
26.166774,15.329677,2.722529
24.526333,14.355333,1.935805
28984,19229,3.350824
25.44,14.357097,2.693986
26.002667,14.042333,2.17688
28.531333,16.900667,3.485127
26.695484,13.857097,2.927908
27.398667,14.269333,2.443514
28.482333,17.349333,3.573826
26.915806,14.729677,3.001043
28109,15074,2.524412
29856,19.101333,3.746584
26.24871,15.173871,2.9628
24.530333,12148,2.423542
30.313333,18977,3.977466
27.950645,17.064194,3.260395
28855,14.964333,2.913996
27628,17.604333,3.465191
25.529677,13.418065,3.05143
27.251333,14.653667,2.951343
30363,19901,3.83771
24.792581,15.023548,3.007212
25.084667,13198,2.67198
30.907667,19.432667,4.041947
28.959032,15.992581,3.574413
27.587667,15454,2.998409
28566,18892,3.655115
25.536774,12.555806,3.357983
27.641667,14.858333,3.106544
29.955667,19.119667,3.883531
26.559677,14.568065,3.317526
28.567667,13.906667,3.244022
28822,18.570333,3.652655
26.358065,14.777742,3.337557
27.649667,14.829333,3.136411
30.121333,18.432667,4.022093
29.401935,16.787097,3.707964
26.267667,13279,3.175426
28.377333,17.95,3.602568
25.750968,13.996774,3.34616
27.558333,13941,3.3557
27904,18.294333,3.58896
25.525161,14.726774,3.295895
24.549333,12566,3.045042
31.261667,20.3,3.905187
27.645161,15.73129,3.49217
26.679667,15.103667,3.2154
27.749333,17.732333,3.516613
28.761613,16.499355,3.670174
27.139333,16.805333,3.278942
30898,19.719333,3.849675
27.58871,16.236129,3.546356
27.901667,15.642667,3.375638
30166,19.669333,3.896205
27.732258,16.702581,3.592473
27.992333,15.799667,3.49932
31.314333,18974,3.928801
27.145484,15.765484,3.536283
24878,12.472333,3.183082
28.738333,18.352333,3.625605
28.707742,18.767097,3.576055
27.415667,14.375333,3.528205
