@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

31.229032,19.756452,3.310166
30725,20.685333,3.52563
30.908387,21.005484,3.856654
31.383871,18.860323,3.17876
31.843667,20.425667,3.679653
30.302258,20.759032,3.614328
29.415806,19.516129,2.816899
29019,18.892667,3.317658
29.885806,20.255161,3.721011
33.28871,20.423871,3.197765
34825,21.154333,3.710293
30.708065,21.333548,3.591303
33.306129,21.184194,2.937291
31.093333,20.409667,3.473967
29.392581,20.798387,3.331475
31.504839,18.131935,2.746956
32.413667,19.595667,3.490966
31.287097,20.816129,3.60832
31.724516,19.982581,2.67746
29.313667,20.221333,2.967099
29.931613,20.980323,3.42181
33.967419,21.126452,2.683074
32.026667,21759,3.249311
29.922903,21.074194,3.300228
31.002581,19.772258,2.381452
30.818667,20273,3.078958
29.637742,20.203871,3.246787
34.187097,20.243226,2.337449
32.111667,18.918667,2.957276
32.310968,21.357419,3.516117
34.774194,20.523226,2.42814
31.301667,20.52,2.843649
29.467742,20.174516,3.113657
30.924839,19.13871,2.159199
29982,20.934333,2.622616
28.313871,20.04,2.913179
35.657097,22.186452,2.379685
32.327333,20925,2.600528
32.214839,22.312903,3.231602
31.10871,19.289032,1.926255
30.751667,19.610333,2.454826
29.903871,21.247742,2.800882
32.053226,19.284516,1.883068
31309,19793,2.450979
31.020968,20.664839,3.055373
31.735484,20.603548,1.907773
30.883667,20.726333,2.279631
29.145806,20.308065,2.649939
32.127419,21.092258,1.910773
31289,20.481667,2.257312
29.480645,21.631935,2.487952
34.699355,21.993871,1.8568
31.260333,20.818667,2.071214
30.525161,20.725161,2.680703
32.515161,20.602258,1.765338
32.51,20.981667,2.167297
31.847419,20.791935,2.702016
30.707097,20.049677,1.681821
29.751667,21.894333,1.822909
28.569032,21.357097,2.124404
31.016774,18.048387,1.697173
31339,18.466333,1.899224
30.946129,21.109355,2.341104
30.73129,19.319355,1.687391
32.450667,19.13,1.938789
33.02129,21.065161,2.456654
34.703871,21.509677,1.878665
32296,22.067667,1.870588
30.770323,21.783226,2.130601
31.027742,19.378065,1.714377
30.998667,20.424333,1.823412
31.115484,21.909355,2.134003
36.229355,21.814194,1.913733
31692,21091,1.778704
29.475806,21.335161,1.903296
34.971613,21.783871,2.008273
32277,21.959667,1.817526
30.680645,21.854516,1.946974
32.953226,19.64,1.993693
33.031333,20.655333,1.790251
30.132903,21.179355,1.788195
32.987742,20.212581,3.961224
31.252333,20.489667,3.773207
30.05129,21.427419,3.572849
