@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30.118387,21.055484,3.574837
31.143214,19.789643,3.825025
32.662903,21.051613,3.680247
33.474839,21.252581,4.148574
32.151786,19.2275,4.115611
31.320645,20.234516,3.566931
34.084839,21.882258,4.335186
33.881379,21.99931,4.039494
28.38129,19.958387,3.193203
31.240968,21.47129,3.827191
29.4475,19.049286,3.815766
31.240968,20.566774,3.788674
30.693548,20.192258,3.817264
30.32,21.390714,3.728098
30.456774,18.847742,3.671678
29.474839,21.882258,3.443154
29.8275,21.138571,3.663413
29.722581,19.927097,3.613043
30.36129,21.68871,3.556171
29.59069,21.116897,3.625811
28.987419,20.179032,3.594874
29.459032,21.465484,3.44881
29.516429,21.663571,3.493055
28.54129,18.963226,3.56645
32.288387,22.17129,3.901841
31.123214,22.238214,3.689145
29.843871,20.979355,3.612416
30.666774,21.445806,3.676945
30.744643,21.626429,3.822327
30.83871,21.36,3.819412
34.478065,22.272581,4.089482
32.048966,21.543793,3.939497
29.673548,20.468065,3.567937
30.466774,21.211613,3.538763
29.101429,21.504286,3.384982
29.413226,20.715806,3.654305
30.652258,20.247419,3.544254
29.807143,19.670714,3.678692
32.409355,21.83871,4.01556
30.560968,22.060968,3.471763
29.88,21.650714,3.494765
29.718387,20.226452,3.698166
32.575161,20.742581,3.87712
33.973793,20.701379,4.206849
33.344516,19.517097,4.31247
29.544194,21.757419,3.221685
32.0425,20.648214,3.961862
35.279032,20.999355,4.417211
33.444516,21.847097,3.80441
31.314286,20.7425,3.860146
31.629032,21.177419,3.949779
29.40871,22.27129,2.89859
29.365714,21.415714,3.369746
30.098387,20.068065,3.887355
30.301613,20.996452,3.181079
30.361034,20.595517,3.599328
29.503548,19.202903,3.723162
31.799355,21.05129,3.219222
31.876071,21.944286,3.657814
33.122258,21.202903,4.181595
29.544194,21.985484,2.76818
29635,22.326071,3.182334
30.08871,20.477742,3.687569
30.81,21.871935,2.990472
28.906786,21.732857,3.023904
28.926129,20.452258,3.371721
32.167742,20.532581,3.066679
33.35931,21.78931,3.697308
31.820645,18.876774,3.94243
32.877419,20.820645,3.035879
32.187857,21.737143,3.455238
30.884516,20.173871,3.686683
31.078387,21.525484,2.6944
33295,21.862143,3.539371
29.470645,19.66,3.450298
33.317419,22.989355,2.771025
32.545714,22.368571,3.291002
32.909032,20.663871,3.936254
29.919032,21.908065,2.380974
31.035172,22.658966,2.963762
30.689677,19.346129,3.607796
30.860323,21.324194,3.804808
30.937857,21.715714,3.718411
30.794516,20.674839,3.744805
