@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

28.971613,20.590968,3.347486
29.771786,19.326786,3.691657
31.22129,20.593226,3.617111
29.897419,21.109032,3.493912
30.3525,20.133571,3.677294
29.033548,19.562581,3.353644
29.803548,20.385806,3.673301
28.877931,20.498966,3.341481
27.999355,19.768065,3.130925
29.459677,20.303548,3.639704
28.397857,19.034286,3.458455
29.718387,20.106452,3.702114
30.770968,20.405161,3.873634
29.292857,20.716429,3.522306
29.065161,19.31871,3.534538
28.45129,20.980645,3.271334
28.877857,21.002857,3.432627
29.363871,20.152581,3.542413
29.21,20.815806,3.396092
29.49,20.864138,3.519388
29.097097,20.642581,3.483969
28.135806,20.522258,3.254296
29.212143,20.686786,3.537666
29.064839,19.571935,3.529663
31.542258,21.756452,3.855284
30.481786,21.983929,3.646554
30.293871,21.31871,3.691983
29.265161,21.00129,3.418688
30.000714,20.926429,3.701764
29.262258,20.853226,3.50538
32.561613,21.511613,3.993697
29.676552,21.047586,3.446293
27.955484,20.389355,3.272926
29.255806,20.596452,3.500825
29.1425,20.92,3.4698
29.179355,20.331613,3.542427
29.317742,20.124839,3.362233
28.875714,20.236071,3.451862
29.617742,20.883548,3.554913
29.272258,21.717419,3.125764
29.025714,20.818214,3.403413
28.85,20.351613,3.403684
30.062903,20.849032,3.405658
29.845517,20.4,3.531244
31.643871,19.598065,4.03077
28.959677,21.526452,3.002686
31.053214,19.906786,3.896193
30.891935,20.245161,3.869687
28.990968,20.82,3.130963
29.505714,20.558214,3.52161
29.410645,20.642903,3.53939
28.16871,21.610645,2.75193
28.722143,20.89,3.212008
29.904839,19.762903,3.813533
28.984839,21.339677,2.854625
30.23931,20.484138,3.524492
29.765806,19.662581,3.704656
30.401613,20.544516,3.113036
30.138214,21.118214,3.477705
30.656452,21.030645,3.734146
28.628065,21.392258,2.662345
29.369286,21.540714,3.196249
30.012258,20.423871,3.557844
28.786129,21.226129,2.759226
28.206429,20.81,3.00645
27.590645,20.786129,3.006927
30.432903,20.560968,3.012664
30.651379,20.73069,3.490506
31.435484,20.075484,3.798054
31.024516,21.211935,2.875121
29.663214,20.956429,3.181852
29.597097,20.515806,3.425358
30.46,20.853871,2.841358
32.246786,21.556429,3.370899
30.167097,20.762903,3.476209
30.487742,21.416452,2.772262
29.736071,21.235714,3.074402
30.170645,20.182258,3.588178
29.333871,21.688387,2.407287
29.688276,21.971034,2.931702
30.422258,20.388387,3.56079
29.488387,21.12129,3.450779
29.7675,21.223571,3.588257
29.853226,20.871613,3.564784
