@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30273,20.578667,2.984553
26.137419,15.05,2.063955
26.574333,14655,1.842798
28.775667,18.656667,2.905354
27.798065,15.628387,2.400223
27378,15684,1.872028
27765,18.407667,2.871358
27.059355,17.600968,2.312729
26.812667,16468,1.895998
31.012667,19.272333,3.481145
28.331613,15.830323,2.499747
27055,14.143333,2.010619
30415,18997,3.413638
29.227097,17.120323,2.753737
26.507667,14607,1.982577
28.706667,17.015333,3.29076
28.244516,15.541613,2.762609
28.978333,15253,2.196764
29.975333,19.076333,3.440319
28.169355,17.166129,2.829641
26.066333,13.395333,2.182046
29012,17819,3.423426
27.513871,15.713226,2.909138
25.231333,14.908333,2.061461
29.774333,19.713333,3.383034
26.101935,14.780645,2.814647
26847,14.623333,2.31486
30252,17.745667,3.697586
28.454194,14.643871,3.101944
28.780667,15.087333,2.620332
29.625333,18117,3.679676
28.062903,15.34871,3.134137
29021,15.939667,2.615229
30.867333,19.892667,3.821215
26.928387,15.642903,3.014044
25437,12.802333,2.573305
33047,20.361667,4.276489
29.983871,18.270323,3.476428
31124,16.270333,3.0887
28.458333,18005,3.580616
27.22129,14.153871,3.242403
28.818667,15645,3.088594
31.845667,20818,3.889033
24.836774,14.99871,3.019574
25.35,13.803667,2.731628
32.299667,20.274667,4.096095
29.950323,16.725161,3.678459
28384,16.444667,3.071297
29.811333,19516,3.739519
27.224516,13.255484,3.468243
29.278333,15.915333,3.258009
31335,19753,3.956022
27.606452,15.01871,3.409889
29.516333,14.526667,3.339673
29.333667,18.732333,3.649656
26.657419,15.080968,3.364754
27.714333,14.915333,3.137633
31705,19117,4.091723
30.288387,17.519677,3.72106
26.818333,13.687333,3.216163
29658,18496,3.733902
26.688387,14.396452,3.429282
28.814333,15.01,3.423411
28457,18.922667,3.550752
25.857097,15.039032,3.286043
25125,13031,3.136387
31.733333,20586,3.782928
28.293226,16.324516,3.495892
26712,15.601667,3.156014
28.040667,18.13,3.437118
28.790968,16.690323,3.515488
27.331333,17.097333,3.320467
31311,20.213667,3.855052
27.198387,16.488387,3.388874
27.605333,15.887333,3.311037
31708,20.520667,3.977109
28.994194,17.449355,3.593907
28.832667,16526,3.458684
31798,19.446333,3.906138
27.366129,15.925806,3.478199
24.985667,12.820333,3.148944
28.455333,18.374667,3.497027
28.440645,19.05871,3.448347
26.905667,14585,3.390665
