@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

23.707742,11.447097,1.640344
26.918387,14.423226,2.080245
27.066667,14.758333,2.476289
25.168065,12.634516,1.727875
27.404516,14.202581,2.007667
30.176667,17.125667,2.547828
26.02,13.377742,1.73537
28.541935,14.799355,1.986659
27.339667,16.585667,2.34994
25.289032,12.472258,1.749738
27.37129,14.311613,1.921705
29.952667,18.176667,2.449947
25.096129,12.063548,1.75647
28.200968,14.209677,1.945798
32038,17.936667,2.455256
26.564516,14.654194,1.927769
29.245161,15.227097,1.968013
30749,17084,2.265123
25.35,12.409677,1.867571
29.176452,16.128387,1.957333
28.297333,16.456333,2.130193
25.405806,13.080645,1.95283
27.200323,13.977097,1.806555
30986,18.810667,2.228787
26.502258,13.807742,1.973292
28.70871,15.807742,1.924512
29.993333,17.071667,2.11679
26.58129,14.567097,2.051687
27.382903,12.917419,1.718636
29846,16.781667,2.018734
23.491935,10.242903,1.908265
28.148387,14.673871,1.878571
28.487667,17.225333,1.94196
27.196774,13.737097,2.210043
29.790968,14.509032,1.931083
31516,17928,1.971475
25.831935,13.034839,2.214669
29.485161,15.710323,1.997021
29.153667,15.772333,1.871445
26.04,12.764516,2.368667
26.52,12.432258,1.845482
30.6,17.065667,1.912393
25.754516,13.293871,2.279907
29.39871,14.490645,2.070477
34.309333,18.029667,2.016111
26.256452,12.828387,2.419234
30.662258,14.986452,2.143639
30.682333,17.445667,1.944802
27.17871,13.441935,2.685595
29.892903,15.064194,2.20119
29.951667,17.013667,1.918037
25.579355,12.254839,2.587687
28.595161,13.315484,2.201646
32.898333,17.590333,2.004791
28.838387,13.601935,2.88027
32.012258,16.65871,2.442437
33.235667,17.141333,2.008731
29.142581,15.024194,2.978349
31.053871,16.664839,2.510722
31119,19.437333,2.137559
29.08129,14.717097,3.016894
31.620323,14.69,2.56286
35323,19.29,2.115036
26.888065,14.029355,2.988909
29.250323,14.937419,2.585189
32.983333,17.657333,2.232415
27.190968,12.92871,3.114626
30.383871,15.43,2.609267
33.641667,18.182333,2.314227
27.699677,13.54871,2.968288
30.543548,14.304839,2.738632
33075,18.320333,2.263316
27.812903,14.879355,3.120368
30.281613,15.30871,2.909225
33.521667,20.317333,2.469916
27.306774,15.526129,3.137896
31.619677,16.242581,3.092689
33.615667,19.471667,2.577887
29.376774,13.992903,3.422095
30.772258,15.903548,3.015608
32581,16.954667,2.654106
28.208387,12.888387,3.325041
31.909355,16.536774,3.745711
35.180333,19131,3.892842
