@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

27.893333,19179,2.836176
25.047097,14.040968,2.185723
24989,13541,1.891113
26.797667,17.780667,2.769678
25.623548,14.886452,2.328217
25.205667,14.82,1.901597
27133,18102,2.858208
26.900645,17.053226,2.397712
26.464333,15.292333,1.98431
27597,18.133667,3.063902
25.337419,14.353871,2.324762
24686,13.266333,1.977764
27.270667,17.96,3.085221
26.322258,15.736452,2.625074
24.795333,13.255667,2.043567
26.875333,16598,3.090273
25.281935,15.399032,2.571704
25064,13.589333,2.118938
27.467333,17.854667,3.220509
25.808387,16.254839,2.677365
24085,12.803667,2.148838
26.761667,17.180667,3.182129
25.087742,14.906774,2.773282
23991,13.789667,2.086216
28.328667,19.318333,3.307246
24.979677,14.175484,2.79007
25.020667,13.720333,2.300528
26.872333,16.478667,3.265188
24.573548,13.373548,2.80263
25.226667,13.645667,2.404848
27105,16.904333,3.390945
25.196129,14.28129,3.011259
25.708667,13.914667,2.595726
28.462667,18235,3.561789
25.563226,14.900323,2.976068
24.055667,11.876667,2.560343
28.49,17.930667,3.651747
26.538065,16.299677,3.13662
26.16,14.096333,2.830567
26.885667,17604,3.276803
24.643871,13.276452,3.038124
25.916667,13.979667,2.911741
27881,18.878333,3.396855
24.877742,15.36871,2.983855
24534,13039,2.730738
28.581667,18.591667,3.630946
26.615484,15.091613,3.225893
26.397333,14.498667,2.943067
27.417333,18.453667,3.379498
24.296129,12.250968,3.240241
25.608667,13.342333,3.060716
28.245333,18605,3.609475
24.991935,14.035806,3.17999
26.03,13.382333,3.150429
27.498667,18.554333,3.372453
25.872903,14.670968,3.331198
27.088667,14.566333,3.275141
28551,17.915667,3.69053
29.279355,16.321935,3.712029
27.036333,13807,3.303719
27584,17.399667,3.424222
26.486774,14.468065,3.441937
28.008667,13.608333,3.482743
27424,17.731333,3.497536
25.393226,14.505484,3.275211
24.876333,12645,3.098838
28.348333,19.220667,3.438616
25.84129,15.052258,3.24996
25642,14.847667,3.085327
27275,17495,3.393364
29.20871,16.490968,3.721643
28.386333,17.259667,3.341307
27.788667,18.778667,3.357604
27.387419,15.590968,3.485095
28.046667,15.455667,3.37237
28.016667,18.968667,3.552658
25.984839,16.135161,3.290166
26.513667,15.17,3.295726
30113,18403,3.800351
27.566129,15.936452,3.473885
25.363667,12.9,3.148841
29.372333,18.61,3.675146
29.356774,18.380645,3.585503
28.118667,14.646667,3.48509
