@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.883226,19.188065,3.245855
29141,20047,3.399288
28.576129,20.015161,3.405065
29.625484,18.707742,3.078768
29.969333,19.709667,3.409287
28.336452,19.613871,3.283184
28.836129,19.050645,2.98777
27.990667,18651,3.208625
28.499032,19.463871,3.379937
30.310968,19.264194,3.060622
31.219667,19.924333,3.421421
28.297742,20.537097,3.136169
31.488387,20.309677,2.988371
29341,19.928667,3.177979
28.297419,20.052258,3.162851
29.66871,17.921613,2.813379
29132,18.361333,3.191386
28.604839,19.550645,3.308513
29.846129,19.27871,2.711348
27.637333,19.635667,2.848901
27.720968,20.105806,3.086788
31.101935,20.075161,2.660042
29.656333,21.055333,3.058935
28.642258,20.377097,3.146149
29.289032,19.10871,2.4402
28997,19.732667,2.975723
27.942581,19.832258,2.987119
30.92129,18.954194,2.445277
28.756333,18.442333,2.834241
28.669032,20.07129,3.080587
31.062258,19.43129,2.490184
28.709333,19594,2.699059
27.731935,19.574516,2.954228
30.215161,18.836774,2.326404
29249,20.412667,2.655077
27.430968,20.016129,2.784447
32.928387,21.221935,2.488771
29514,20117,2.616894
28.995806,20.727742,2.993219
30.123226,18.948387,2.156545
29.155667,19.321667,2.494441
29.02871,20.708065,2.83956
30.674194,18.957419,2.100016
28.961667,19039,2.450517
28.512581,19.559032,2.889585
31.870968,20.824516,2.156824
29.759667,20.139333,2.382614
27.78871,19.670323,2.57633
29.956774,20.191613,2.065746
28.665333,19.198667,2.321201
27.91,20.49,2.541735
32.780968,20.566774,2.112322
29.657667,19.971333,2.194424
29.022581,19.935806,2.672537
31.492258,20.307742,1.997098
29.738667,19.830667,2.276063
29.200645,19.765161,2.669209
31.159355,20.253871,2.004959
29114,21.236667,1.991221
27.792258,20.456129,2.192739
30.646774,18.663226,1.975384
29829,18718,2.152339
28.641613,20.132581,2.361919
29.903871,19.411935,1.927398
30.028667,18.186667,2.071517
30.365806,19.999032,2.509029
34.429677,21.32871,2.138257
30.742333,21.033667,2.073211
29.747419,20.915806,2.333857
31.14871,19.640323,2.024157
30411,20.23,2.046139
29.308387,20.839677,2.168416
34.313226,20.61129,2.21129
30249,20311,1.968489
28.067419,20.387097,2.029042
34.432903,22.077097,2.255491
30.148667,21.025667,1.999706
28.939032,20.672258,2.119027
32.868065,19.624194,2.268475
31.302667,20.372333,2.013709
29.947419,20.567419,2.06378
33.161613,20.405806,3.744004
29.661667,20.259333,3.456761
28.517419,20.654194,3.289214
