@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

27.927097,20.007742,3.235695
28.224643,19.255714,3.390105
28.97,19.914839,3.303517
28.480323,20.551613,3.231833
28.867143,20.075714,3.397367
27.91871,19.472903,3.095046
28.961613,19.920968,3.503331
28.218621,19.878276,3.195408
27.590968,19.611613,2.971045
28.09129,19.723871,3.294971
27.459286,19.235714,3.236388
28.77129,19.682903,3.479012
28.592581,19.766774,3.503459
28.360357,20.212143,3.336494
28.053226,19.331613,3.349202
27.985806,20.534516,3.173713
27.667143,20.593571,3.103355
28.853871,19.819677,3.453975
28.257419,20.240968,3.298288
28.611379,20.57069,3.398417
28.376774,20.658065,3.264509
26.918387,19.99129,2.990842
28.465357,19.989286,3.400181
28.37871,19.394194,3.390648
29.765806,21.163871,3.531844
29.4475,21.781071,3.413893
29.570323,21.150323,3.491019
28.021935,20.372903,3.198731
29.0425,20.356786,3.494861
28.393871,20.341935,3.355033
28.925484,20.332903,3.418888
28.028966,20.356207,3.126232
27.212258,20.086129,3.128655
28.16871,20.020645,3.347427
28.351071,20.2375,3.388167
28.553871,19.803548,3.453381
28.309677,19.754839,3.132683
28.070714,19.963929,3.244289
29.031935,20.409355,3.514599
28.029677,21.126129,2.882071
28435,20.373571,3.290718
28.248065,20.169355,3.276885
28.6,20.572258,3.117425
28.375862,19.986207,3.292737
29.306129,19.073226,3.595843
27.865484,20.958065,2.83616
29.876429,19.6875,3.627714
29.378387,20.142903,3.549775
28.253548,20.065161,3.048604
28.594643,20.464286,3.289897
28.477419,20.469355,3.330289
27.859677,20.944516,2.736613
28.265357,20.248214,3.16095
29.275161,19.445806,3.63147
28.038065,20.699677,2.743658
28.544483,19.874138,3.293253
28.363548,19.226452,3.480363
29.162903,20.158065,2.901191
28.350714,20.539286,3.158923
29.112903,20.463548,3.454365
28.32,20.775161,2.68864
29.373929,20.950357,3.328554
29.438387,20.407742,3.353342
27.817419,20.55,2.663018
27.886786,20.348571,2.990725
26.866452,20.482581,2.877621
28.009677,19.999032,2.573398
28.48,19.834828,3.234866
28.612903,19.553226,3.39326
28.928065,20.77,2.655532
28.162143,20.249286,3.013952
28.77,20.418065,3.246435
29.305806,19.895484,2.761449
29.456071,20.412143,3.114246
28.053548,20.159677,3.125828
29.906129,20.751935,2.731289
28.486071,20.642143,2.872147
28.119355,19.696452,3.252363
28.535161,21.394516,2.268977
29.227931,21.140345,2.984106
29.638387,20.620323,3.311697
29.152258,20.886774,3.381606
29.308571,20.782857,3.44635
29.788387,20.891935,3.535868
