@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

31.313871,18.712581,3.407821
30.745667,20.507667,3.565205
31.968387,21.2,3.913759
32.053226,18.084194,3.334047
33.859333,20.050667,3.984702
31.82871,21.527742,3.790607
29.18871,18.682581,2.900433
29467,18.447667,3.43844
32.402258,20.780323,4.124261
32.497097,19.486129,3.107408
33.212333,18.395333,3.788585
31.314839,21.489355,3.778421
32.300323,20.199032,2.957906
31.606333,20.178667,3.644685
31.863548,21.738065,3.752145
29.742581,16.527419,2.702639
31.391333,19.074333,3.458985
32.664516,20.859355,4.012836
31.579355,18.974194,2.789935
30.118667,19.984333,3.207984
30.648065,21.279355,3.4742
33.074194,19.652903,2.678013
31.186333,21658,3.093774
30.294194,20.99871,3.428841
29.579032,18.421613,2.413406
31.713333,19.6,3.261851
31.414516,19.91871,3.641961
35.268065,19.325161,2.441191
33.708667,17.869333,3.126019
34.467419,21.804194,3.835401
32.275161,18.916774,2.512897
31.232333,19.551333,3.015008
30.84871,19.93129,3.421151
31.445484,18.069677,2.360477
30.792333,20991,2.697539
29.189032,19.166129,3.229751
36.809032,22.105806,2.478285
32869,20402,2.745079
31.833548,22.117742,3.251498
31.833226,18.416129,2.076681
32.616333,18.891667,2.669837
30.762903,21.292581,2.954981
30.509032,17.544516,1.96661
30128,18.513667,2.526322
30.769677,19.964839,3.075025
29.975484,19.634194,1.939717
30713,19.320333,2.43605
30.932903,20.722581,2.958569
32.009677,20.844516,1.985581
32797,20.290667,2.461626
30.501935,22.277419,2.66361
36.033871,21.39129,2.054572
31.532333,19.114333,2.197198
32.474516,21.260323,2.966112
33.913548,20.146774,1.920662
32.152667,20471,2.224155
35.153871,20.993226,3.034045
30.194839,18.742581,1.80783
30.611667,22.473333,1.962126
29.254516,21.785806,2.321704
29.170645,16.22129,1.716161
30.560667,17.160667,2.036477
31.492258,21.364194,2.463955
31.929032,18.600645,1.850754
31.410333,18.546667,2.011524
35.215484,20.696452,2.714911
33.202903,19.814839,1.95755
33887,21.510333,2.158137
33.687419,22.862258,2.46106
31.329032,18.316129,1.866543
32.919667,20.186667,1.991774
33.878065,22.491935,2.4048
35.975806,20.625484,2.180438
33.283333,21.144333,1.938016
32.812581,21.961613,2.22621
32.925484,20.532581,2.071154
32.516667,21.768667,1.914966
30.33871,22.403548,1.958128
31.818387,18.139677,2.024775
33.769667,19486,1.88242
31.481935,21.095806,2.004039
33.827419,19.560323,4.025405
32553,19011,4.09833
31.847742,21.782581,3.882247
