@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30.197419,21.093871,3.624252
31.6425,19.790357,3.99922
33.056774,21.165161,3.814024
33.487097,21.377097,4.216503
32.8075,19.523214,4.252281
31.386129,20.158387,3.698447
33.914839,21.750968,4.379994
34.278966,22.076552,4.154497
29.020645,20.120323,3.336096
32.382581,21.699355,3.999851
29.773929,19.237857,3.878902
31.755806,20.744194,3.906504
31.505161,20.550645,3.995027
30.836786,21.494286,3.857245
31.337742,19.293548,3.854752
29.65129,21.950968,3.495641
30.324643,21.367143,3.776295
30.719032,20.242258,3.806473
30.719677,21.820645,3.599836
29.930345,21.248966,3.713928
29.385806,20.396452,3.656682
29.634516,21.57129,3.530928
29.837143,21.652857,3.614127
29.29,19.226774,3.733018
33.224516,22.445806,4.098354
32.106429,22.531071,3.890978
30.253548,21.273548,3.694863
30.962581,21.618387,3.735322
31.254286,21.751786,3.955364
31.606452,21.587419,3.97882
34.584194,22.310323,4.169486
32.298621,21.656897,3.951895
29.750645,20.623548,3.620265
30.900645,21.439677,3.629465
29.481786,21.586786,3.490792
29.667419,20.885484,3.722441
31.367097,20.471613,3.68665
30.4725,19.941071,3.822834
32.502258,21.858065,4.088833
30.783226,22.181613,3.506852
30.125714,21.756071,3.549722
30.422258,20.512903,3.82577
33.270968,21.023226,4.008673
34.54069,20.994138,4.325703
33.807419,19.727097,4.450133
29.743226,21.924194,3.27254
32.942143,20.801786,4.188806
35.970645,21.150968,4.587953
33.241613,21.889355,3.807443
31.372143,20.8,3.924404
31.934194,21.279355,4.01833
29.676774,22.447097,2.973523
29.559643,21.574286,3.439487
30.587742,20.030323,4.021494
30.40871,21.267419,3.199913
30.365862,20.60931,3.66219
29.570323,19.300968,3.828993
32.189677,21.130645,3.318074
32.047857,22015,3.738592
32.924839,21.189032,4.243264
29.624839,22.045484,2.826942
29.9175,22.441429,3.247037
30.744194,20.602903,3.808238
31.147097,21.96871,3.079555
28.951071,21.748571,3.062499
28.94871,20.642258,3.416523
32.538387,20.917419,3.150638
33.362069,21.826897,3.795355
32.304839,19.19,4.059455
33.422903,21.052258,3.16207
32.736429,21.896071,3.577764
31.800645,20.504516,3.882521
31.447419,21.576774,2.802124
33.618571,21.998929,3.643569
29.565806,20.039032,3.517257
33.478065,22.896129,2.874641
32.955357,22.487143,3.402294
33.432258,20.814839,4.0551
30.581613,22.034516,2.481395
32.164828,22.891379,3.134829
31.478387,19.731613,3.774732
30.969032,21.373871,3.895442
31.046071,21.849643,3.784042
31.178065,20.851613,3.873574
