@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30.296333,19.962667,2.925862
24.499677,13.793226,1.923772
23.513667,12.506333,1.656095
30.623333,18.099667,3.160229
27.286774,14.529355,2.333484
25.563667,13901,1.707149
27.558667,17.256333,2.889871
25.597419,16.618065,2.152276
25.355333,15.249333,1.722218
30597,18599,3.372606
26.989677,14.539032,2.360359
24.573333,12.175667,1.837056
30.333667,18.161667,3.411688
28.327097,16.354194,2.646311
24.600333,12.736667,1.885482
28.456667,15.545333,3.375639
27.137742,13.635161,2.731745
28.234333,13.953667,2.093146
28.102667,18.043333,3.2395
26.371613,15.595161,2.745971
23.138333,11.248667,1.956537
27.909667,15.958667,3.403663
26.323548,13.949355,2.859079
23.114333,13.041333,1.852104
27.922667,18.355333,3.178909
23.916774,13.405484,2.692929
24.355333,12.327667,2.192915
28.918667,16.862333,3.5845
26.635484,13.041935,2.964996
25.106333,12.556333,2.401868
31.303333,17.841667,3.946963
26.683226,13.223548,3.117511
25937,14347,2.343317
29315,19.348333,3.610446
24.132258,13.569355,2.868647
22557,11.152667,2.374132
34573,20892,4.342418
28.588387,17.30129,3.25482
28.960333,14681,2.906884
27.785667,16.605667,3.634967
25.432903,12.295161,3.261043
27.121333,13.982667,2.971627
31448,20.129333,3.877901
22.548065,12.834194,2.8398
23.215667,12572,2.646589
33134,20.331667,4.119909
28.300968,14.886129,3.50308
27.740333,15.311667,3.012599
29.067667,18.125333,3.834142
26.357419,11.333548,3.641892
27.663667,13.937667,3.160308
29.957333,18.818333,3.836091
25.790968,13.19129,3.252521
27.801333,12.251667,3.281654
28291,17.383667,3.644668
25.513226,13.280645,3.374302
24.818667,12.321333,2.977846
33.951333,18.745667,4.458283
29.102581,16.175806,3.685278
23929,11.276667,3.094556
29184,17.560667,3.84146
24.414839,13.164839,3.299334
26237,13.432667,3.301481
28.402667,18.330333,3.665647
25.684516,13.862581,3.532071
25011,11.466333,3.22496
30372,18.507333,3.828119
26.657742,14.812903,3.483442
24.81,13.612333,3.088637
27.715333,16706,3.702267
27.74,15.11,3.539752
25.337667,15378,3.223278
29.584667,18889,3.793126
25.940968,15.042581,3.352911
25804,14.328333,3.213168
31.466333,19.515333,4.03045
27.709677,15.920645,3.562789
27.879667,14368,3.570348
33.042667,19.558333,4.046051
25.32871,14.182581,3.390713
22.628333,10.886667,3.162208
27.910333,17.217333,3.595129
26.67,17.929355,3.334945
24353,12.965333,3.315153
