@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30.197419,21.093871,3.620267
31.6425,19.790357,3.993589
33.056774,21.165161,3.808088
33.487097,21.377097,4.211066
32.8075,19.523214,4.246097
31.386129,20.158387,3.692638
33.914839,21.750968,4.374157
34.278966,22.076552,4.148952
29.020645,20.120323,3.331486
32.382581,21.699355,3.995089
29.773929,19.237857,3.873764
31.755806,20.744194,3.9009
31.505161,20.550645,3.989923
30.836786,21.494286,3.8529
31.337742,19.293548,3.84884
29.65129,21.950968,3.491991
30.324643,21.367143,3.772134
30.719032,20.242258,3.80141
30.719677,21.820645,3.595834
29.930345,21.248966,3.709892
29.385806,20.396452,3.652306
29.634516,21.57129,3.527111
29.837143,21.652857,3.610379
29.29,19.226774,3.728147
33.224516,22.445806,4.093588
32.106429,22.531071,3.886875
30.253548,21.273548,3.6908
30.962581,21.618387,3.730942
31.254286,21.751786,3.951071
31.606452,21.587419,3.974228
34.584194,22.310323,4.16373
32.298621,21.656897,3.947252
29.750645,20.623548,3.616126
30.900645,21.439677,3.624921
29.481786,21.586786,3.487133
29.667419,20.885484,3.718371
31.367097,20.471613,3.681548
30.4725,19.941071,3.818188
32.502258,21.858065,4.084201
30.783226,22.181613,3.502662
30.125714,21.756071,3.545949
30.422258,20.512903,3.821354
33.270968,21.023226,4.00265
34.54069,20.994138,4.319142
33.807419,19.727097,4.443704
29.743226,21.924194,3.268438
32.942143,20.801786,4.183119
35.970645,21.150968,4.580885
33.241613,21.889355,3.801664
31.372143,20.8,3.919377
31.934194,21.279355,4.013775
29.676774,22.447097,2.969724
29.559643,21.574286,3.435615
30.587742,20.030323,4.016734
30.40871,21.267419,3.195046
30.365862,20.60931,3.657405
29.570323,19.300968,3.824294
32.189677,21.130645,3.31225
32.047857,22015,3.7337
32.924839,21.189032,4.23773
29.624839,22.045484,2.822744
29.9175,22.441429,3.243265
30.744194,20.602903,3.803785
31.147097,21.96871,3.074311
28.951071,21.748571,3.05861
28.94871,20.642258,3.412628
32.538387,20.917419,3.144114
33.362069,21.826897,3.789401
32.304839,19.19,4.053238
33.422903,21.052258,3.155204
32.736429,21.896071,3.572129
31.800645,20.504516,3.877311
31.447419,21.576774,2.79646
33.618571,21.998929,3.637497
29.565806,20.039032,3.512749
33.478065,22.896129,2.86836
32.955357,22.487143,3.396714
33.432258,20.814839,4.04896
30.581613,22.034516,2.476379
32.164828,22.891379,3.129967
31.478387,19.731613,3.769221
30.969032,21.373871,3.891101
31.046071,21.849643,3.779951
31.178065,20.851613,3.869152
