@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

20.398065,8.905484,1.260409
24.874839,12.285484,1.78088
25.147667,12.16,2.210305
24.953871,10.856452,1.454702
28.240968,13.97,1.767334
32088,16.960667,2.47495
20.695806,9.873548,1.289224
23.763226,11.813871,1.602332
24.779333,14071,2.04568
22.693226,10.893548,1.377419
25.74129,12.129355,1.613084
28.846333,15856,2.151508
24.240968,11.560645,1.480564
28.070968,12.591613,1.690433
32716,16.717333,2.286979
27.507419,14.932903,1.602506
31.74871,14.91871,1.675223
32.742333,17.560333,2.013773
22.845484,9.337419,1.52429
28.265484,14.197419,1.675127
28.508333,14283,1.9061
24.992903,12.998065,1.680592
25.900323,12.720645,1.537187
31.057333,17175,2.061779
24.991935,13.519677,1.732786
25.911613,15.176774,1.590145
25.575667,15371,1.664747
24.256452,12.640645,1.752361
27.897742,12.07871,1.521697
31449,15.364667,1.767307
21.398065,7.58,1.563314
26.96129,13.621935,1.610262
26.017667,15.482667,1.564574
24.717419,11.566774,1.868539
29.336452,14.21871,1.784475
29.368667,16.050333,1.705603
24.246129,11.554194,1.893171
29.689032,14.744516,1.763104
29.735667,14.266667,1.623806
25.870645,12.713226,2.147697
24.566774,9.345806,1.541607
29.089333,14.561333,1.642398
22.282258,11.868387,1.924356
24.971613,11.707097,1.718294
29.480333,15.532333,1.773526
23.906774,10.287419,2.119807
29.587097,13.016452,1.843138
25.435333,13116,1.47844
27.994194,13.316774,2.505196
28.783871,13.212903,1.88681
28.167667,14244,1.563623
23.146452,10.11,2.22437
27.374194,12.691935,1.988889
33.924333,17359,1.80058
29.180323,13.463226,2.837661
27.282581,14.568387,2.089952
27926,12.439667,1.639354
21.88129,12.287742,2.230945
25.536774,13.436452,2.065625
27051,15.836333,1.708393
24.453226,12.295161,2.592631
27.209032,11.224194,2.289921
30.760333,16.281667,1.861383
24.076129,12.825161,2.633061
25.087742,12.815806,2.174859
28.573333,13.940333,1.918429
23.305806,11.611935,2.787568
28.944839,14.612581,2.58656
32246,15.615667,2.026871
23.083226,11.080968,2.801185
24.506452,10.554839,2.395656
29.090333,14531,2.009441
24.047742,11.899032,2.884849
28.966774,13.956452,2.8281
32.550667,18.138667,2.293421
24.277742,13.457742,2.911836
30.680968,14.743548,3.035178
31125,16.772667,2.340199
24.182258,11.525806,3.147075
26.338065,13.111935,2.812843
26967,12.459667,2.281998
24.113871,10.36129,3.428702
26.887742,14.158065,3.503148
33.221667,17.050667,4.288816
