@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.541613,18.145484,3.137899
29.785333,19.832333,3.421433
30.801935,20.447419,3.757929
30.707097,17.334516,3.183447
32.736333,19.258333,3.856078
30.890968,21.003548,3.642572
28.07129,17.797097,2.825352
28.119667,17.567667,3.252325
30.06,19.967742,3.802746
30.407419,18.625161,2.897483
30.348333,17225,3.486564
30.032581,20.660645,3.54208
30.22,19.265161,2.741278
29.778667,19.269333,3.361525
30.617742,21.055806,3.591742
28.137419,15.727742,2.558632
30.14,18632,3.273487
31.266774,20.258387,3.784835
29.909032,18.087742,2.5979
29.292333,19.465333,3.089085
29.709677,20.759677,3.348741
30.228387,18.572258,2.435203
30.014333,21.072333,2.910986
29.652258,20.45129,3.319687
28.254194,17.723226,2.262047
29.568333,18.691667,3.023925
29.059032,18.873871,3.326506
33.026452,17.860645,2.309039
31804,16.879667,2.956128
33.465484,21.216129,3.695599
30.440645,18.188065,2.354357
29.36,18.599333,2.807579
29.474516,19.324194,3.243451
29.689355,17.174839,2.218815
29.669333,20.371333,2.59994
28.40129,18.675806,3.118493
35.092258,21.357097,2.320159
31007,19.590667,2.566924
31.03,21.539677,3.153664
30.248065,17.48,1.960925
31.067333,18.130333,2.527388
29.476452,20.64129,2.80007
28.639677,16.499355,1.844317
28647,17.758667,2.363393
29.127742,19.289032,2.874322
28.994839,18.832258,1.873324
29.427333,18687,2.302489
29.702258,19.919677,2.825172
30.702903,20.156774,1.872004
31266,19.407333,2.321951
29.846774,21.794839,2.572847
34.458065,20.333548,1.966858
30.221667,18.094667,2.09093
31.779355,20.846774,2.873947
32.395484,19.304516,1.825325
30.792333,19.776333,2.096492
33.804516,20.37,2.890669
29.183548,18.05129,1.710902
30.313667,22197,1.937577
28.699355,21.393871,2.242235
27.824516,15.414194,1.616188
28.917333,16.314333,1.908041
30.614194,20.822903,2.362603
30.400323,17.773871,1.744336
30.038333,17.912333,1.884422
34.56871,20.210968,2.623269
31.507419,19.205161,1.817704
32.672333,20.763333,2.055097
32.420323,22.457419,2.328669
29.008065,17.467419,1.714776
30.482667,19.205333,1.821354
32.798387,21.897097,2.2903
34.281935,20.203548,2.053552
31.231333,20.065667,1.813154
31.386452,21.30129,2.12632
31.200323,19.751613,1.930834
30.706333,20984,1.781689
29.376774,21.98,1.827444
29.449032,17.234194,1.865167
31.470333,18207,1.790663
29.796774,20.33871,1.883198
32.015484,18.723226,3.83556
30.068667,17.950667,3.833374
30.400968,21.159032,3.656397
