@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.52,19.790333,2.828558
24.573548,14.037742,1.897338
23.934333,12.821333,1.677111
29.252667,17.914667,2.963327
26.559677,14.356129,2.287738
25.196667,13996,1.690997
27.184667,17.2,2.795673
25.427742,16.592581,2.105305
25.280667,15373,1.713383
30438,18.482333,3.367613
27.303871,14.874194,2.373107
24.915667,12509,1.849121
30161,17996,3.3727
28.123871,16.186774,2.619324
24.661667,13.081333,1.873749
28184,15.532667,3.28268
27.092258,13.65,2.736331
28.089667,14.141667,2.060151
28085,17.926667,3.218672
26.585806,15.750645,2.704051
23.455333,11438,1.980136
27.622333,16.222333,3.280871
25.846774,14.00871,2.794772
23.257333,13382,1.863211
27828,18.269667,3.127538
24.054194,13.376129,2.672761
24.937667,12.670333,2.208568
28895,16.700333,3.57321
27.11871,13.128387,2.967068
25911,12.837333,2.432541
30.957333,17.876333,3.859253
26.506774,13.449677,3.026233
26.076333,14.602667,2.290885
29124,19133,3.538726
24.539032,13.835161,2.857031
22688,11.27,2.3417
33.610333,20574,4.224717
28.539032,17.326129,3.214568
29.726667,15158,2.853296
27611,16.728667,3.540513
25.650323,12.587097,3.193033
27.149333,14094,2.929097
31.251333,20042,3.781598
22.544839,12.763871,2.829686
23.536333,12699,2.630823
32.832667,20.086667,4.01044
28.460968,15.305806,3.470743
27.495333,15407,2.95633
29.055333,18375,3.740668
26.676129,11.668065,3.55274
27933,14308,3.151985
29773,18721,3.731929
25.818065,13.17871,3.232507
27827,12534,3.178425
27557,17.182333,3.467882
25.317742,13.420645,3.285225
25.046333,12.558333,2.915955
33.115333,18.557333,4.316774
29.097419,16.345161,3.613571
24558,11.692667,3.091437
29.251333,17.592667,3.792146
24.371935,13.174516,3.21472
26501,13.817667,3.201572
28.290667,18.283667,3.56348
25.983871,13.922258,3.534547
25.640667,11844,3.257845
30.341667,18656,3.745911
26.889355,14.956774,3.41749
24.836667,13.854667,2.962936
27.291333,16.862667,3.518959
27.301613,15.259677,3.369863
25.328333,15503,3.090971
29.544333,18.908667,3.704589
25.574839,15.187419,3.244735
25.448667,14415,3.11193
31.306667,19551,3.930052
27.212903,15.969355,3.431208
27.262667,14.71,3.36685
31.085333,18.826333,3.778021
25.034839,14.138387,3.268999
22631,11.092667,3.038269
27.631667,17.308333,3.437836
26.807742,17.983548,3.290611
24.600333,13.156667,3.258708
