@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30.366129,21.407097,3.657691
31.6125,20.306071,3.906978
33.028387,21.478065,3.713251
34.189032,21.413226,4.251742
33.062857,19.666071,4.237706
32.184516,20.683871,3.713254
35.004516,22.296774,4.396187
34.467931,22.340345,4.118835
28.634516,20.329677,3.222572
31.583548,21.846129,3.899938
29.955357,19.471786,3.891614
31.831935,20.816129,3.913001
31.743871,20.45871,3.952312
31.129286,21.936429,3.875142
31.557419,19.121935,3.84502
30.130968,22.224516,3.589994
30.270714,21.591429,3.712932
29.994516,20.244516,3.650927
30.855161,21.985484,3.703365
29.841034,21.457931,3.656671
29.117742,20.474839,3.596318
29.930323,21.702581,3.550445
29.793571,22.0225,3.541146
28.540645,19.089355,3.58868
32.537419,22.542258,3.923986
31.239286,22.511786,3.73563
30.05129,21.126774,3.674012
31.236774,21.946774,3.760872
31.050357,21.998929,3.92557
31.309677,21.600645,3.904634
34.953226,22.676452,4.192337
31.769655,21.681034,3.930082
30.192258,20.697097,3.677643
30.594516,21.37871,3.582033
29.3275,21.743929,3.475252
29.824839,20.977742,3.759375
31.286452,20.472258,3.665849
30.560714,19.878214,3.827131
34.086774,22.474516,4.290801
31.312903,22.485161,3.594863
30.312143,21.938929,3.576004
29.790323,20.456452,3.774457
32.555161,21.100968,3.855859
33.780345,20.811379,4.202216
33.667097,19.734194,4.409629
30.066774,22.07,3.313437
33.247857,21.026429,4.157704
35.759677,21.527742,4.449141
34.47,22.400323,3.92054
32.6275,21.437143,4.028666
32.043871,21.668065,4.030529
29.602581,22.401613,2.943758
29.848214,21735,3.461597
30.404839,20.569032,3.946726
31.84871,21.451613,3.375923
32.105517,21.394828,3.780919
31.284839,19.771935,3.963243
32.345161,21.337419,3.333173
32.416786,22.213571,3.74717
33.81871,21.527419,4.305412
30.04,22.32129,2.863219
29.854643,22.613929,3.226341
30.194194,20.776774,3.753542
30.925806,22.242581,2.977487
29.192143,22.1625,3.066008
29.051613,20.63871,3.364635
32.940645,20.796452,3.091115
34.151379,22.205862,3.810537
32.20129,18.934839,4.035731
33.504839,21.152903,3.072954
32.098929,22.059643,3.419665
30.484194,20.207742,3.672339
31.767097,21.845161,2.785891
33.983929,22.119643,3.612098
30.538387,20.05129,3.587645
33.870968,23.413226,2.823674
33.382143,22.693571,3.420791
33.433226,21.184516,4.032713
29.906452,22.144839,2.36473
30.448276,22.762414,2.888132
29.795484,19.376129,3.543884
31.466452,21.765161,3.939742
31.435357,22.087857,3.820522
31.078387,20.865484,3.839018
