@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

28.387333,19.207667,2.684114
23.611935,13.415161,1.792786
22.622333,12.222667,1.536854
28808,17294,2.938775
25.540645,13.969032,2.142983
24.056667,13.473667,1.566915
26.482333,16576,2.731557
24.73129,16.127419,2.022148
24438,15.012333,1.586036
29.145667,17.982667,3.182457
25.712258,14.236774,2.194677
23.878667,12.175333,1.701888
28.148333,17.127333,3.130769
26.439355,15.587097,2.418318
23573,12.565667,1.740366
26422,14.644667,3.071495
24.464194,12.530968,2.48334
25.368667,13.053333,1.858801
27.602333,17515,3.10311
25.735484,15.083548,2.627137
22.058667,10.882667,1.833813
26.323333,15.444333,3.145098
24.289355,13.526774,2.575231
22.407667,13.052333,1.750988
26.901667,17.734667,3.022047
23.361935,12.829355,2.552759
23.502667,12.243667,2.043983
27.313667,16171,3.367891
24.739032,12.124516,2.719539
23.926667,12.210333,2.24839
29968,17411,3.70968
24.437097,12.751613,2.797154
23.949333,13955,2.093993
28.384667,18.661333,3.408304
23.416452,13.279677,2.716123
21627,10.812333,2.190421
32.304667,20.026333,3.997783
26.680968,16.763871,3.016317
27.153333,14.526333,2.640655
26601,16.021667,3.406728
24.226452,12.192903,2.998296
25579,13.493333,2.723378
29303,19.199333,3.525268
21.416452,11.744516,2.743634
22.822333,12.397333,2.496064
31.323333,19.242667,3.864599
27.304516,15.043226,3.275608
26405,15.301667,2.777531
28.237667,17.754667,3.661423
25.269355,10.974194,3.424993
26311,13721,2.936713
28.099333,18.273333,3.479241
23.615161,12.372258,2.981008
25.289333,11.881667,2.966573
26.533667,16.559667,3.37729
23.742581,12.808387,3.089436
22.714667,11.442667,2.75284
32832,18.229333,4.320213
27.676452,15.865161,3.424998
23.129667,10937,2.929535
27.359667,17013,3.52569
22.590323,12.652581,2.969298
24627,13.419667,2.967136
28255,18.008667,3.568788
25.57,13.775806,3.492528
24.558667,11.594667,3.073694
28231,17.704333,3.541189
25.535484,14.49871,3.220608
23.521667,13.215667,2.862229
26.971333,16.406333,3.535544
25.934194,14.789355,3.283183
23781,14.691667,2.966363
28308,18.385333,3.509377
24.24871,14.69,3.096984
24.119667,14033,2.958235
29.020667,18.687667,3.624387
25.227742,15.393548,3.139556
25662,14.038333,3.164004
28.489667,18.207667,3.505486
23.134516,13.34,3.047791
21.317667,10323,2.922293
26968,16.79,3.394917
25.797742,17.45129,3.175715
23.867333,12.782667,3.19593
