@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30.12871,18.575484,3.192615
29.781667,19.698667,3.424323
30.532581,20.349032,3.76837
30.552258,17.350968,3.122884
31.746333,19228,3.695305
30.097742,20.734194,3.467784
28.153871,18.124516,2.768185
27995,17575,3.227124
29.59129,19.933226,3.736182
30.649032,18.945806,2.850178
30.624333,17741,3.457157
30.178387,20.709355,3.556667
30.512581,19.500645,2.744349
30.321333,19.450667,3.368043
30.47129,20.977419,3.51958
28.995161,16.075484,2.574404
30373,18594,3.281783
30.848065,20.064516,3.706254
30.580968,18.407419,2.599149
29818,19.536667,3.139109
30.037419,20.807742,3.35667
30.954839,18.841935,2.467616
30.840333,21.302333,2.986582
29.341935,20.310323,3.225617
28.769677,17.880968,2.285359
30053,18.997667,3.010297
28.886129,18.772903,3.334732
33.880645,18.633548,2.305078
31.777333,16.862667,2.965102
33.191935,21.095161,3.659419
31.495161,18.628387,2.366415
29.693667,18.756667,2.80152
29.371935,19.204839,3.216485
30.022903,17.676452,2.211741
29698,20.408333,2.551623
28.368065,18.604194,3.091828
35.307419,21.947742,2.283394
31.387667,19.885667,2.533589
31.412258,21.549032,3.151028
30.130645,17.722903,1.941436
30.446667,18.085667,2.480357
28.946452,20.530323,2.697599
28.930645,16.843548,1.833849
28674,17.689667,2.349375
29.428065,19.333226,2.874498
29.589677,19.083548,1.862285
29552,18.924667,2.30078
29.485161,19.962258,2.816165
30.750968,20.276452,1.867245
31.054667,19395,2.271531
29.501935,21.569355,2.498365
34.500645,20.684516,1.909179
30064,18.249667,2.073626
31.104839,20.716774,2.777049
32.386129,19.491613,1.798985
30.632333,19.811667,2.045834
33.068387,20.136129,2.846385
29.595484,18.450968,1.698187
30.179667,22088,1.900632
28.356129,21.216452,2.17818
28.004516,15.433548,1.618124
29063,16109,1.90623
31.469032,20.793871,2.440219
31.279355,18.188065,1.728301
31073,18.096333,1.926013
34.556774,20.42129,2.571383
32.243871,19.579032,1.831599
33.039333,20.935667,2.075546
32.805161,22.419355,2.329893
29.299355,17.608065,1.701576
30.186333,19.198667,1.788316
32.082903,21.726452,2.264211
34.670645,20.456774,2.030709
30.699333,20.014667,1.776312
31.382258,21.242903,2.109948
31.572258,19.771935,1.923677
31326,21079,1.758598
29.267419,21.727419,1.810045
29.552581,17.231613,1.875166
31566,18434,1.773268
29.453871,20.252903,1.835266
32.346774,18.957097,3.805504
30.185333,18.357667,3.808161
30.034516,21.078065,3.579382
