@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

22.819677,9.701613,1.441981
28.190968,13.672581,2.053833
27.876333,13.059333,2.47872
26.052581,11.52871,1.616892
30.096129,14.748065,1.950873
33.944667,18328,2.707121
22.991935,10.645484,1.477331
27.323226,12.814516,1.890261
26.437667,14.807333,2.248075
25.587097,11.793548,1.602784
28.29,13.099677,1.850985
31.872667,17.204667,2.428813
27.117419,12.353871,1.657641
32.11,14.265484,1.90416
35658,19.074333,2.455712
30.077097,15.717097,1.767969
33.869355,16.837419,1.74552
35.561667,19.307667,2.187404
26.625806,10.260645,1.840418
32.437742,16.52,1.880527
31.051667,15.458333,2.115537
26.752581,13.491935,1.867299
28.692258,13.773871,1.731444
35.665333,19.342333,2.340099
28.989032,14.521935,2.039458
28.632258,15.967097,1.836809
28.35,15.939333,1.965561
27.597742,13.894516,2.029579
31.420968,13.673871,1.700067
33.797333,17.087333,1.953598
24.043871,8.814516,1.758832
29.556452,14.957742,1.814703
28356,16162,1.792365
27.822903,12.595484,2.140616
32.427742,15.339677,1.941437
32.237667,17163,1.964323
28.35871,13.160968,2.163891
32.734194,16.219355,1.914747
32.644333,16275,1.732996
28.310645,13.502581,2.388172
26.865161,10.468065,1.714821
30415,15.617667,1.825256
24.086452,12.487419,2.16974
28.484194,12.499677,2.059969
34.572667,17.100333,1.966858
25.455484,11.156452,2.30117
31.749677,14.257742,1.992356
28.754667,14.121667,1.729903
29.990323,14.424839,2.648542
31.244194,14.471935,2.035514
30.302333,15.423667,1.76968
26.705484,11.492258,2.465615
30.168387,13.456452,2.182219
36768,19057,1.919006
30.894194,14.459677,2.967128
31.377742,15.420968,2.31754
31.929333,14.379667,1.824467
24.537419,13.377419,2.506012
27.673871,14.407419,2.262607
29404,16.769333,1.940138
28.053871,13.297742,2.879649
30.790323,12.819677,2.52259
33262,18.358333,2.017807
26.893226,13.480645,2.952908
29.785806,14.539677,2.493897
33322,15.547667,2.184285
24.896129,11.726452,2.986777
31.917742,15.23,2.818773
34.606333,17088,2.152358
25.590323,11.749677,3.022553
28.648387,11.784194,2.637584
32.454667,16072,2.182746
26.393871,12.978387,3.09721
31.124194,15.117419,2.998006
34.796667,19.570333,2.415239
27.357097,14.59,3.170954
34.449355,16.558387,3.170427
33.872333,18.558667,2.535717
27.83129,12.276774,3.461951
30.465161,14.250323,3.065628
30.386667,13.529667,2.517317
27.04871,11.088387,3.682601
30.650645,15.390645,3.86612
36.641333,18.72,4.441888
