@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

32.109355,19.127742,3.523267
31092,20.729333,3.622726
31.881935,21.398065,3.894371
32.419677,18.39129,3.391332
34.131333,20.356667,4.051314
32.002581,21.713871,3.789949
29.713226,19.167097,2.978554
30.23,18.811667,3.522154
33.317742,21.207742,4.250958
33.636452,20.049355,3.222108
34.514667,19.179333,3.86568
31.66129,21.844839,3.801292
33.384839,20.774516,3.064792
32743,20.660333,3.751274
31.939677,21.884194,3.731688
30.655484,16.979355,2.795381
31.795667,19.202333,3.518024
32.98129,21.084194,3.998974
32.386774,19.544194,2.856385
30.453667,20.262667,3.254412
31.210645,21.550968,3.529453
34.686452,20.523226,2.778303
32113,21.996333,3.23823
30.572581,21.292903,3.455239
30.454194,18.819677,2.518662
32.537333,20.162333,3.358762
32.076452,20.303548,3.733722
36.049677,20.184194,2.517194
34.14,18174,3.233646
34.619355,21.884194,3.889127
33.738387,19.473871,2.635046
32.204667,20.166333,3.092102
31.274516,20.211613,3.469762
31.723226,18.509355,2.400352
31.079667,21231,2.779702
29.274194,19.492258,3.24736
37.303871,22.595161,2.518533
33385,20.793333,2.785213
32.383871,22.460645,3.284683
32.179355,18.796452,2.130591
32.731667,19.181333,2.703675
31.019677,21.492581,2.957584
31.62129,18.187742,2.020869
31052,18.970333,2.608739
31.690645,20.446129,3.165617
30.811935,20.082258,1.997992
31.010667,19.726333,2.458976
30.862581,20.943226,2.967197
32.60129,21.179677,2.069962
33.331667,20686,2.506964
30.802903,22.409032,2.675256
36.456452,21.883226,2.107414
32.002333,19.563333,2.269647
32.506452,21.417742,2.969856
34.452581,20.692581,1.96496
33006,20844,2.305648
35.07129,21.177742,3.077434
30.835806,19.287742,1.874168
30769,22616,1.988624
29.318387,21.925161,2.313111
29.665806,16.530968,1.778265
30941,17416,2.081128
31.984516,21.599355,2.529444
32.969032,19.223226,1.903602
32.439333,18.836667,2.112149
35.497419,21.078387,2.791645
33.825161,20.35,2.033438
34.080667,21.842333,2.212948
34.149032,23.007097,2.498656
32.319677,18.775806,1.926654
33.574333,20.575667,2.062842
33.715484,22.652903,2.433218
36.257419,20.951935,2.217105
33.310667,21406,1.993769
32.332903,21.954516,2.2054
34.008387,21.055161,2.160342
33.688333,22.266333,1.976927
31.082903,22.629032,2.043524
32.655806,18.534839,2.110678
34.332333,20.052667,1.930741
31.972581,21.396774,2.034059
34.480323,20.030645,4.08564
33.085667,19.694667,4.113723
31.82,21.882258,3.862975
