@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

31.874516,20.936129,3.423451
31.735667,21739,3.616089
32.243226,22.26871,3.880663
33.146452,20.513226,3.362592
32598,21748,3.723627
30.93,21.750323,3.544557
30.765484,20.76871,3.043734
30.576333,20.332667,3.453918
30.577419,21.555484,3.659236
35.288387,22.22871,3.465064
36.064667,22699,3.839904
31.842903,22.448387,3.646181
35.261935,22.997419,3.170889
32875,21932,3.660652
29.959355,21.834516,3.309503
33.290968,19.74871,3.018532
33.720333,21.176667,3.616399
32.086129,22.085484,3.655906
34.086774,21.841613,2.917191
30.495667,21447,3.14922
31.115484,22.041613,3.48634
35.668065,22.65871,2.999528
33.570667,22.980333,3.491971
30.47,22.003871,3.294922
33.449355,21.490323,2.742934
32.03,21.852333,3.211595
29.699032,21.290645,3.143803
35.824516,22.002903,2.651799
33.380333,20.541667,3.181407
33.314516,22.676129,3.624645
36.455806,22.005161,2.772823
32.461333,21.800667,3.02123
30.12871,21.178065,3.182461
32.42129,20.546129,2.467131
31.034333,22.103333,2.830421
28.947742,21.135161,2.973376
37.390323,23.92871,2.652053
34.178333,22493,2.88771
33.277742,23.402903,3.399006
32.504516,20.730323,2.228851
32.067667,20.948667,2.715044
30.243548,22.201613,2.876447
33.925806,20.931613,2.189293
32812,21.17,2.716282
32.374194,21.826129,3.240155
33.857097,22.194194,2.243113
32319,22.195667,2.569194
30.11871,21.343548,2.87833
33.882581,22.654516,2.205963
32363,21.668333,2.514227
29.790645,22.458387,2.606926
35.925806,23.378387,2.16586
32213,22.101667,2.349452
30.941613,21.659355,2.822044
33.454839,21.843871,2.062151
33.770667,22.359667,2.434635
33.429677,22.203871,2.972834
32.192581,21.472258,2.006369
31076,22961,2.119038
29.065806,22.195806,2.298588
33.06129,19.849032,2.005758
32.86,20.180333,2.191327
31.806452,22.183226,2.553327
32.456129,20.894194,2.002472
34.696667,21.038667,2.248669
34.306452,22.594194,2.718444
36.782258,23.427419,2.205938
33.159667,23.310667,2.159893
31.432258,22.717419,2.354153
32.989677,21.061613,2.053896
32.928333,21995,2.157348
32.463548,23.189032,2.386767
37.321935,23.520645,2.212849
32671,22.382667,2.037007
29.829355,22.200968,2.075346
36.012903,23.025806,2.296818
33.578667,23.285333,2.128474
31.978065,22.935806,2.218468
34.460323,21.027097,2.29756
33918,22.137333,2.09876
31.341613,22.247419,2.064084
34.835806,21.854516,3.966852
32.473667,21.884333,3.723055
30.868387,22.515161,3.467502
