@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.644667,20236,2.86033
25.476129,14.680323,1.961346
25546,14.026667,1.740339
28.191667,18312,2.783751
26.968387,15.112258,2.273334
26355,15.125667,1.767414
27482,18.091667,2.777841
26.383226,17.27,2.183505
26.316667,16176,1.796056
30.79,19046,3.399014
28.036774,15.602581,2.423738
26528,13.631667,1.929539
30617,18.786667,3.367734
29.022581,16.999355,2.674452
26.112667,14.261333,1.903088
28.562667,16.684333,3.235018
28.35129,15.069677,2.722413
29.005667,15.052667,2.110593
29.194667,18.702667,3.304488
27.525806,16.701613,2.747383
25.200667,12882,2.083706
28.353667,17.295333,3.281949
26.813226,15.080968,2.823128
24.504333,14.353333,1.959815
28.965667,19.232333,3.212296
25.174516,14.389677,2.684533
26.166667,14.043667,2.215492
29.521333,17.372333,3.576891
27.71129,14.185806,2.97312
27797,14364,2.507985
30.255667,18.088333,3.703487
28.071935,14.864839,3.102779
28.413667,15716,2.495343
30.236333,19726,3.668039
26.081935,15.052258,2.902153
24.658333,12.334667,2.467883
33296,20524,4.197677
29.416774,18.015484,3.32506
30849,16.082667,2.97215
28.124667,17.641333,3.496431
26.695161,13.777097,3.145588
28121,15217,2.980272
31.597333,20.611333,3.774965
23.989032,14.303226,2.880244
24.837667,13579,2.642256
32118,20.134667,3.963636
29.239355,16.27129,3.553088
27.854333,16.160667,2.960474
29.415667,19193,3.65145
26.946774,12.783871,3.418174
28.663667,15499,3.157403
30694,19.409333,3.811302
27.000323,14.438065,3.295781
28927,14015,3.224401
28.527333,18.1,3.486746
25.947419,14.578387,3.259326
26.898333,14.197667,3.003449
31.843667,18839,4.09807
29.755484,17.17,3.587724
25.946667,13.130667,3.10581
29.115667,18127,3.624332
25.794839,13.974839,3.253771
28.02,14.636667,3.280383
28117,18.717333,3.438984
25.362581,14.590323,3.224521
24742,12497,3.076413
31.171667,19.984333,3.665005
27.545161,15.843548,3.381825
25.870667,15.060667,2.988458
27678,17.717333,3.347949
28.371613,16.320968,3.378746
26.673333,16625,3.189795
30.333667,19.745667,3.687674
26.304516,15.998387,3.234731
26554,15.244333,3.167585
31.638333,20.266333,3.911415
28.500968,16.997097,3.470349
28.370667,15989,3.353688
31.186667,19.074333,3.764542
26.506452,15.319355,3.338152
24.081333,12.343333,3.011615
27.927333,18.007667,3.360827
27.576452,18.649355,3.27944
25.779667,14.1,3.201075
