@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

25.538065,13.433871,1.785615
29.597097,17.401935,2.30341
28911,17.432667,2.638298
28.027419,15.437742,1.95669
31.630645,17.050645,2.352175
34.214333,20.4,3.008578
30.925806,16.977419,1.939803
33.693226,18.952258,2.227769
31.790333,19.598333,2.691919
30.478065,16.216774,1.950004
33.679032,18.729032,2.217973
35.684667,21.869667,2.874534
30.564194,16.223226,2.082906
34.980968,18.596129,2.213447
38.993333,23.050667,2.718439
30.83,17.864516,2.162237
34.225161,18.664839,2.198932
36.847333,21.470667,2.674545
30.550968,15.805806,2.123
35.110968,20.727419,2.271143
33.783333,20.065333,2.510816
28.596452,15.902258,2.165509
31.45871,17.304194,2.052776
36.563333,22561,2.627019
32.085806,17.884194,2.352503
33.592258,19.200968,2.229178
35.729667,20.639333,2.492868
31.275806,17.177097,2.438801
33.32871,17.138065,2.0405
35.760667,21372,2.322142
28.423548,14.16871,2.067251
34.484194,19.579355,2.166735
33713,20473,2.253576
32.456129,18.09871,2.456842
35.19129,18.981935,2.143035
35.575333,21245,2.242727
30.502903,17.159355,2.536381
33.935484,19.373226,2.301329
34.191333,19711,2.12338
30.920323,16.408065,2.657688
31.927097,16.921613,2.064583
34.577333,20.530333,2.169379
30.716774,16.838065,2.650465
34.907097,18.63,2.268759
38.142333,22.100333,2.170442
31.852903,17.106774,2.749226
35.754839,19.809677,2.179987
34.092333,19.890333,2.168804
33.126774,18.014194,2.93348
35.674839,19.92871,2.37697
34478,20.966333,2.186836
32.065806,16.708065,2.879527
34.837742,18.010645,2.435107
38463,22.836333,2.091227
32.734516,17.152903,3.116812
35.83871,20.263871,2.618543
36.455667,20.713667,2.170613
31.638387,17.819032,3.18098
33.602903,19.213226,2.728517
34469,22.071667,2.401494
32.2,17.429677,3.223837
35.264516,18.763226,2.749821
38.691333,23.437333,2.242655
31.702903,17.536774,3.377006
34.14129,18.903548,2.830016
37.700333,22.184667,2.446679
32.128065,16.690968,3.399749
35.282581,19.72,2.880429
37.797667,22128,2.496345
30.571935,16.42,3.29621
33.102903,16.986129,2.97372
35.422333,20886,2.578853
29.610645,17.200323,3.28659
33.41129,18.285484,3.203073
36.692667,23.043667,2.860753
31.883548,18.876774,3.568907
36.345161,20.655161,3.375251
37.427667,23175,2.865522
34.083226,18.186452,3.71016
34.916774,20.214194,3.193038
36.204333,20723,2.883612
32.700968,17.057419,3.681102
35.036452,20.168387,3.881964
38.341333,22.657667,4.051298
24.045806,10.825161,1.443085
28.9,15.034839,2.013521
27.757667,13.934333,2.429227
26.377097,12.715484,1.604513
30.714194,15.824839,1.929029
33.760333,19.285333,2.577211
24.089355,11.987097,1.469611
28.281935,14.402258,1.829653
27081,15.784333,2.210378
27.039032,13.182581,1.596388
29.793548,14.94871,1.805674
32673,18288,2.387634
27.336129,13.236129,1.658621
32.213226,15.429677,1.864314
36.056333,20.336667,2.378514
30.031613,16.369677,1.792736
33.790645,17.51,1.755907
35.437333,19.811333,2.193689
27.625161,11.644516,1.784951
32.88129,17.954194,1.83528
30621,16262,2.070776
27.64129,14.379032,1.884919
29.332903,15.08129,1.719938
35.532667,20.428333,2.266802
29.264839,15.268065,1.996898
29.176452,16.772581,1.829618
30069,17.026667,2.0351
29.814194,15.416452,2.070003
32.158065,15.406452,1.651813
33976,18.376333,1.908725
25.70871,10.527419,1.762768
30.629032,16.314839,1.772332
29.967667,17.457667,1.86253
28.964516,14.284516,2.105056
32.656129,16.811613,1.874247
32.524333,18272,1.911301
28.761613,14.589677,2.131708
33.010645,17.359355,1.942468
32.219333,17.166667,1.751417
28.570645,14.694839,2.289393
27.350968,12.147419,1.636169
30.701333,16.82,1.793638
25.632903,13.640323,2.148459
31.451935,14.60129,1.993918
35.930667,18724,1.902791
25.547742,12.309355,2.214428
31.650323,15.45,1.937607
30.038667,15521,1.696572
30.408065,15.773871,2.586843
31.931935,15.949677,2.017813
30396,16.514333,1.775006
27.671613,12.984516,2.441385
31.419355,14.809355,2.15993
36.774333,20335,1.834198
30.959355,15.519032,2.806187
32.43871,16.67871,2.249814
32068,15.845667,1.754688
26.912258,14.733548,2.540652
29.067742,15.605484,2.26745
30.542333,17.898667,1.94434
28.91,14.413871,2.847924
31.726452,14.567097,2.38835
34.134333,19.314667,2.029404
27.46129,14.406452,2.898745
30.159355,15.365161,2.439572
33.717667,17.007333,2.120461
26.468065,12.772903,2.869237
32.89,16.812903,2.665209
34.485667,18055,2.079862
25.982581,12.727742,2.822918
29.12129,12.979355,2.535929
32474,17.31,2.118117
27.379355,14.335806,3.023449
31.209032,16.022903,2.838568
34.538333,20381,2.386666
27.764516,15.887742,3.045109
34.557742,17.892903,3.049777
33.804333,19461,2.504639
28.590968,13.449032,3.262642
30.899677,15.389355,2.964054
31.143667,15.031667,2.456863
27.572903,12.633548,3.452631
30.775484,16.354839,3.666989
36.422667,19.759333,4.131745
26.644194,12.776774,1.640634
30.91,17.287419,2.132902
29.570333,16.125667,2.595546
29.018387,14.734516,1.812433
32.773871,17.502903,2.15048
35.17,20.827667,2.78832
27.264516,14.278387,1.695416
30.805161,16.317419,2.002076
29.390667,17.782333,2.412786
28.82,14.621613,1.752856
32.223226,17.259355,1.952442
34.622333,20.690667,2.605007
28.649355,14.503871,1.847482
33.198387,16.752258,2.057186
37807,21.893333,2.528271
30.566452,16.907742,1.986795
34.125806,17.989677,1.983008
36.115667,20.568667,2.45315
30.255161,14.253226,1.949396
34.440968,19.702258,2.003742
32.408333,18.222667,2.256714
28.332903,14.959355,2.045892
30.965161,16.453871,1.879146
36.463333,21772,2.445394
31.326452,16.668387,2.173204
32.143871,18.179677,2.066038
34282,19.104333,2.2793
31.24129,16.685806,2.244308
32.908387,16.475484,1.834093
35.455333,20.091333,2.125553
27.643548,12.570968,1.917416
32.77129,18.040645,1.965298
31.829667,19.030667,2.012593
30.823871,16.036774,2.287456
33.931935,17.827419,1.983361
34.268667,19.935333,2.084392
30.548065,16.183871,2.345547
34.362903,18.802258,2.109616
33.867333,18803,1.896785
30.408065,15.73129,2.478294
30.271613,14.683871,1.842337
33631,19.095333,1.969584
28.224194,15.067097,2.380249
33.043548,16.38871,2.12008
36.991667,20.457333,1.992731
28.067419,14.161613,2.423887
33.23,16.911935,2.054384
32.737333,18.1,1.876235
32.049032,16.788065,2.766772
34.047097,18.038387,2.184896
32.356667,18.753667,1.952622
30.031613,14.818387,2.677175
33.168065,16.43,2.279541
37.497333,21.322667,1.94789
32.075484,16.376774,2.936461
34.47,18.490645,2.391104
34887,18.907667,1.886435
29.624516,16.363226,2.838663
31.247419,17.368065,2.45022
32.738333,20.186333,2.157355
30.96871,16.133871,2.980709
33.898065,16.658387,2.504561
36.934333,21.569667,2.078237
29.481935,15.755806,3.156073
31.735806,16.768065,2.598005
35.961333,19856,2.237059
30.107097,14.903226,3.189808
34.192903,18.382581,2.724734
36449,20.201333,2.282477
28.516452,14.362581,3.054586
31.213548,14.954194,2.706815
34.456333,19.363333,2.350578
29.458387,16.306774,3.21501
32.722903,17.216452,3.038808
36091,22.068333,2.611644
29.936129,17.68129,3.278634
35.457742,19.303548,3.199467
35.775667,21417,2.6755
31.11871,15.397742,3.446398
32.620645,17.553548,3.064583
33.299667,17.765333,2.628674
30.712581,15.189032,3.519778
33.129032,18.246129,3.826293
37.330667,21.099667,4.074963
22.819677,9.701613,1.441981
28.190968,13.672581,2.053833
27.876333,13.059333,2.47872
26.052581,11.52871,1.616892
30.096129,14.748065,1.950873
33.944667,18328,2.707121
22.991935,10.645484,1.477331
27.323226,12.814516,1.890261
26.437667,14.807333,2.248075
