DATA,TMAX,TMIN,ETP
1/11/2000,26.2,16.8,3.4998117420708
2/11/2000,26.2,17.6,3.56924912694667
3/11/2000,25.6,15.1,3.32051457073584
4/11/2000,25.7,17.8,3.55296205652243
5/11/2000,21.6,16.4,3.10711796292401
6/11/2000,24.8,12,3.01215766137298
7/11/2000,25.2,12.8,3.1135261833088
8/11/2000,25.4,12.1,3.07555114334395
9/11/2000,25.4,13,3.15231634191661
10/11/2000,28.2,17,3.71388472624243
11/11/2000,28.6,15.5,3.62664404308467
12/11/2000,26.8,17.3,3.62966578770834
13/11/2000,27.6,18.4,3.78907623214558
14/11/2000,28.4,19,3.90739644443159
15/11/2000,25.6,18.6,3.64629324202765
16/11/2000,28,11.8,3.28563674095581
17/11/2000,24.3,12.5,3.04003653260926
18/11/2000,28.2,16.5,3.69505380567932
19/11/2000,28,16.5,3.68081212193403
20/11/2000,25.6,16.2,3.45954380542221
21/11/2000,27.2,15.4,3.52776750623016
22/11/2000,28.8,15.8,3.69540701495798
23/11/2000,29.2,15.6,3.71391634977752
24/11/2000,28.7,14.4,3.57476938660983
25/11/2000,28.8,14.8,3.61796384499457
26/11/2000,28.2,14.8,3.56979942200914
27/11/2000,28.1,12,3.33049155496935
28/11/2000,25,17,3.48974066703845
29/11/2000,26.2,17.2,3.60748965547456
30/11/2000,27,17.6,3.70863096812475
1/11/2001,27.9,17.6,3.70328916893538
2/11/2001,25.4,16.8,3.4388655971952
3/11/2001,24.5,17.2,3.40209969532394
4/11/2001,28,11.8,3.25075608849638
5/11/2001,29.1,17.4,3.8021311914728
6/11/2001,30,16,3.76519707671623
7/11/2001,27.4,17.4,3.67068350032195
8/11/2001,27.8,18.4,3.78907900859975
9/11/2001,28.8,17.6,3.80904891314924
10/11/2001,29,15.6,3.6645853714693
11/11/2001,28.4,18.4,3.84868347429394
12/11/2001,28.8,16.2,3.70374059970238
13/11/2001,30.4,17.8,3.97029292150906
14/11/2001,27,18.4,3.74252739614333
15/11/2001,27,17.2,3.64629324202765
16/11/2001,29,15.6,3.68189443835751
17/11/2001,29.2,18.8,3.96526504253382
18/11/2001,24.6,18.4,3.55452603230896
19/11/2001,26.2,18.5,3.69735509776295
20/11/2001,26,18.5,3.68300716127484
21/11/2001,23.3,17.8,3.40355034051783
22/11/2001,24.3,16.9,3.41369437256208
23/11/2001,27.4,16,3.59785646384697
24/11/2001,27.4,16.4,3.63282828616034
25/11/2001,24.8,15.8,3.36902137859586
26/11/2001,26.9,16.4,3.59470499937199
27/11/2001,28.2,16.1,3.67932109439257
28/11/2001,27.8,14.1,3.48143176068836
29/11/2001,26.4,14.2,3.37474838737943
30/11/2001,24.4,17.6,3.49243275025201
1/11/2002,26,17.6,3.5486463245183
2/11/2002,29.2,17.6,3.81371824523069
3/11/2002,29,15.4,3.62237953171182
4/11/2002,23.6,17.6,3.36510429261434
5/11/2002,27.2,16.6,3.58136228358083
6/11/2002,26,17.5,3.56056680080774
7/11/2002,23.4,16.8,3.29378296234246
8/11/2002,25.6,17,4.19915249437894
9/11/2002,27,16.8,3.59561082749863
10/11/2002,29.9,16.4,3.80426687665983
11/11/2002,28.4,16.8,3.71710455209585
12/11/2002,28,18.7,3.84365968902447
13/11/2002,29,17.4,3.82202472112076
14/11/2002,29.5,15.3,3.69306668165686
15/11/2002,30,15.8,3.77828575757616
16/11/2002,31.2,16,3.8965340244501
17/11/2002,31,17.6,4.01483085556549
18/11/2002,29.6,17.3,3.87691327709978
19/11/2002,24.4,16.3,3.36649558118461
20/11/2002,29.2,14.2,3.59196653481636
21/11/2002,31.6,16.1,3.95010586965208
22/11/2002,29.6,18.9,4.01854798711798
23/11/2002,22.8,18.7,3.44034661865551
24/11/2002,28.2,16.9,3.74065195675414
25/11/2002,31,17.1,3.99137754459263
26/11/2002,30,16,3.81885519563768
27/11/2002,30.8,16.4,3.92017958589908
28/11/2002,30,15.1,3.74731676389129
29/11/2002,31.4,19,4.1893428257124
30/11/2002,31,16.8,3.97472108242967
1/11/2003,26.2,16.6,3.47916311000628
2/11/2003,28.2,17.8,3.74398465430829
3/11/2003,29,17.6,3.79742030401176
4/11/2003,27.4,17.2,3.63869655662944
5/11/2003,26,17.2,3.52845886992572
6/11/2003,23.1,15.6,3.16435434645156
7/11/2003,27,15.4,3.470529479408
8/11/2003,25.6,14.6,3.29378296234246
9/11/2003,29.7,14.8,3.64965402343482
10/11/2003,30.2,16,3.79263059886842
11/11/2003,29.6,16.2,3.76318408101556
12/11/2003,30,15.8,3.76644664792013
13/11/2003,29.8,17.4,3.8848123623545
14/11/2003,27.2,15.8,3.54196256483174
15/11/2003,28.4,17.6,3.79198811062981
16/11/2003,27.4,18.4,3.77828575757616
