@relation RONCADOR-DF-ENVIADO-CHIQUITTO-3.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

25.7,17.6,3.422244
25,17.2,3.32748
27,17.8,3.52399
26.1,17.2,3.397594
27,17.6,3.490751
27.8,16,3.419258
28.2,15.4,3.394621
26.2,14.6,3.168
25.2,17.2,3.283102
24.8,16.4,3.181138
26.3,17,3.333598
25.7,17.4,3.308385
25.2,18.5,3.344314
25.8,18.8,3.402679
26.6,15.7,3.217071
25.2,19,3.350815
24.2,17.1,3.120759
26.7,16.4,3.245964
24.4,17.6,3.152437
25.4,17.2,3.186487
27.2,17.3,3.316981
27.3,17.8,3.349771
27.2,14.8,3.108273
27.9,15,3.163257
28.6,17.4,3.379237
28.4,16,3.249407
29.7,18.4,3.506742
27.7,15.4,3.130049
28,16.6,3.226281
27.2,16.8,3.170238
27.6,15.1,3.064208
27.8,14.4,3.335305
27.8,12,3.13824
26.6,17.8,3.492526
27.2,12.6,3.122962
27.6,17,3.490751
27.4,17.3,3.489517
26.3,18.4,3.480265
29,15.8,3.478588
27.7,16.4,3.414736
27.2,13.2,3.119368
25.4,18.4,3.372092
25.2,18.3,3.339089
24.6,17,3.183604
23,18.3,3.150911
26.4,15.1,3.156228
27.8,16.6,3.365978
28.6,15.4,3.32478
28.9,17.5,3.494495
27.6,16.4,3.302553
26.6,17,3.979369
27.8,16.6,3.309527
28.6,14.6,3.20865
28.8,15,3.241485
28,16.8,3.303355
29.7,14.4,3.23966
27,15.1,3.081082
27.7,14.5,3.076601
27.2,14.1,2.999328
28,17.2,3.269683
26.2,16.5,3.076572
28.2,15.8,3.157498
26.4,17,3.430148
29.6,14,3.437871
29.2,16,3.555454
29,16.2,3.546681
28.4,14.1,3.326389
29.2,15.5,3.489517
29.2,16.9,3.589266
29.4,15.4,3.478588
29.3,17.3,3.608315
28.9,17.6,3.590362
28.8,17.1,3.533768
29,16.8,3.515639
29.4,17.1,3.558596
30.4,16.3,3.562895
28.3,17.5,3.483259
27.7,15.4,3.267424
26.6,18.3,3.392787
29.2,16.5,3.441777
28.7,17.8,3.490198
28.2,18.3,3.478208
26.9,17,3.272258
26.2,18.4,3.312634
25,17.2,3.123075
27.3,18.6,3.384464
27.2,17.3,3.269044
28.4,16.5,3.286
25.6,17.8,3.164087
28.9,15.8,3.246246
