TMAX,TMIN,ETP
27.6,11.4,2.16808256406132
27.8,12.9,2.25711738570881
27.6,11.2,2.14678323346908
25.8,13.9,2.1917588946649
24.6,12.3,2.03293893156384
24.8,8.6,1.83649946927725
24.5,11.6,1.98129587681999
25.6,10.9,1.99979238438662
25.5,10.6,1.97470366376023
25.6,11.1,2.00454984319508
26,8.6,1.88728245152569
26.2,8.9,1.91219590426015
27.6,10.4,2.06789388939212
27.5,13.8,2.24527442103971
26,13.2,2.12929518194025
25.1,10,1.90521225523312
24.8,8.4,1.80101388502441
26.6,9,1.93031504709381
27.9,9.3,2.0164014984211
28.3,10.1,2.08102802619018
25.9,7.7,1.82077142509904
26.1,12.3,2.08100746480002
26.6,10.4,2.00552076824505
26.2,9.8,1.95194522381902
26.4,10.6,2.00707239951403
27.3,12.4,2.15478679605775
26.7,7.9,1.87930996527519
27.5,8.9,1.97873640428851
27.7,10.9,2.10035869322953
27.4,9.3,1.99915644495991
26.8,13.6,2.24591116892506
26.6,13.4,2.2182971849718
26.4,9.2,1.96972894617266
25.8,15.4,2.27457094358171
25,11.8,2.02742961196611
27.9,11.8,2.18290505779361
27,13.2,2.20631840022614
26.1,12.2,2.09841228279472
25.2,12.2,2.0458148760286
25.4,15.8,2.25033933350511
25,10,1.90910074576298
24.4,11.8,1.97212227163013
24.8,12.3,2.01891745516967
26,15.3,2.24527442103971
26,10.8,1.99893017080105
25.8,16.5,2.29602502553735
27.2,10.8,2.0614014346665
27.2,10.4,2.03875971266087
26.4,11.9,2.07602627391205
25.9,11,1.99973786891713
23,11.6,1.87496105084603
25.6,10.4,1.95094449825002
26.6,11.6,2.07056468505299
26.2,17.2,2.35317840871516
26.4,14.1,2.19693059946806
26.6,12.1,2.10051005056512
24.6,13.2,2.05311897940468
26.1,6.9,1.79390937751431
26.4,8.8,1.91535300522486
25.8,4.7,1.6614242934953
27.1,11.6,2.15140500587623
25.8,11.8,2.08519935387349
26,9.8,1.98079483912869
26.9,9.8,2.02613479683128
27.2,11.3,2.12108804512758
26.7,10.8,2.06193802688314
26.8,13.2,2.1953416917673
26.6,11.6,2.09293339954983
25,14.2,2.14427655455404
27.2,13.6,2.22849137881088
26.8,13.2,2.18182942372912
27,8,1.90674805268106
27.9,9.5,2.03524293324382
28,14.8,2.3268219181719
27.9,17,3.03098650898637
25.2,12.6,2.05176704409721
25.6,12.2,2.05055195343141
25.7,13.2,2.10924874527947
25.7,12.5,2.07060583977651
24.7,12.6,2.02141524418994
26,10.2,1.96166445204122
24.6,13.4,2.05933030370835
25.2,13.6,2.10308664345697
25.3,10.8,1.95736729388519
25.7,13.5,2.12641183948514
26.2,12.6,2.10593772511438
26.2,12.1,2.08027663786242
26,11.3,2.02766120549344
25.6,9.8,1.92623569275454
26.2,11.8,2.06997125091217
25.7,14,2.20699686649319
26.8,14.1,2.26820887163367
28.4,15,2.40129877145769
27.6,14.3,2.31321656640955
27.4,13.7,2.26433035466867
26.3,13.6,2.19390206060366
25.8,13.2,2.14045814947312
26.3,12,2.09841228279472
25.7,12.8,2.10598590179415
25,14.1,2.13563757136043
26,12.3,2.08910167322063
27.2,11.1,2.08652715479099
27.1,11.8,2.11687032361456
26.6,11.5,2.0713064271577
26.8,12,2.10756768008371
26.2,9.5,1.93777998609181
26.2,13.6,2.15904676578228
26.4,10,1.97369291332063
26.2,9.8,1.95135628879462
26,13,2.1135440890994
27,8.6,1.92915067659303
25.8,7.7,1.8154622414271
27.6,7.2,1.88627358743048
26.1,8.5,1.87603624289273
25,11.2,1.96367623952454
26.9,9.8,1.99195655957984
26.8,12,2.10743429632015
25.6,11,1.98960858233405
25.6,12.8,2.08947600569985
25.7,7.4,1.80305390539981
26.2,11.2,2.08440251578183
26.3,11.6,2.10693151738267
25.5,11.4,2.04637915313649
26.1,12.9,2.15784912642511
23.4,11,1.8991563218255
26.6,8.6,1.93928049840236
26.3,9.6,1.97396200440279
26.8,9.8,2.00873764796708
25.8,12.2,2.08197563306004
25.6,14.2,2.17709711406252
26.4,10.8,2.03185978656286
26.2,10.3,1.99091934915282
24.2,13.8,2.07018360005373
24.2,12,1.96994102094723
23.7,12.6,1.97344943059907
23,12.1,1.90658828791078
25,10.5,1.92692407580558
24.8,9,1.83356232872967
22.8,11.8,1.87609271431027
24.1,11.8,1.94593585465908
23,10.4,1.81006083528
24,8.8,1.77741972450144
25.5,9.8,1.9130094663396
25.4,11,1.97299880984107
24.4,11.5,1.94652315375286
24.6,9.6,1.85518583955081
26.4,13.4,2.16021447060702
30,10.8,1.1732108453741
26.1,10.6,1.99504467135682
24.8,10.2,1.90447031769517
23.4,16,2.20770929033818
24.6,14.6,2.19048960052765
24.7,14.1,2.16242827840468
24.4,15.2,2.20143768043149
24.8,12,2.04083341017406
24.6,9.8,1.90333358843651
25.6,8.5,1.88259391204214
24.8,12.8,2.07150416874798
24.8,11.8,2.01245151423794
25,11.6,2.00873764796708
25.6,11.6,2.03814456710088
25.7,12.6,2.09504571529132
25.8,10.7,1.99362586584797
26,12.4,2.09455624677996
26.3,14,2.19548418637277
26.8,12.1,2.11687032361456
27.8,12.2,2.17459992352514
27.8,11.6,2.14015893286851
27.5,12.5,2.17118205724573
28.8,11.1,2.16447150639982
26.2,14.3,2.19600447773312
25.7,12.4,2.06518540564097
22.2,14.5,1.98889918128072
24.6,10.8,1.91831275144363
24.6,8.8,1.81004295115418
26.6,9,1.92963619863577
26.4,15,2.24473700739188
26.3,15.1,2.24575127945624
25.8,15.2,2.22534656519818
25,12.7,2.04768744771314
26.1,9.8,2.01732110936774
26,12.6,2.16288270576278
24.5,11.2,1.99491017190911
24,8.8,1.82803215287818
24.2,9.6,1.87900488885314
24.6,8.4,1.83009517760174
24.5,8.4,1.82033939126631
23.9,9.1,1.82186507616981
24.2,8.2,1.78501954966581
24.4,9.2,1.84749647208729
24.9,9.6,1.8934822091493
25.4,9.5,1.9121302524683
25.6,11.8,2.0458148760286
25,12.1,2.02639779788931
24.8,14.1,2.12182911457657
26.3,9.2,1.93398731057651
26.2,16.2,2.30733423447962
25.4,10.6,1.95713993117263
23.6,8.4,1.73820014852265
23,7.5,1.65552631864987
24.2,9,1.80101388502441
24.8,8.7,1.81644814824839
23.8,12.8,1.98387889360786
24.2,5.7,1.62038380164288
22.2,12.2,1.86412312569663
25.5,9.8,1.9130094663396
26.9,11.2,2.06514435865233
25.8,10.8,1.98447764421601
25.4,13.2,2.09386471949302
25,11.2,1.96481818683352
26.8,12.4,2.2027573116216
28.2,10.1,2.14607273654701
28.6,11.6,2.2463694372758
25.6,15.6,2.29618672861528
27.4,10.1,2.08469477313588
27.3,12.4,2.20165995608451
27.4,14,2.29063984189742
27,10.2,2.05373881313688
25.6,11.2,2.02742961196611
26,11,2.03444551985803
27.2,14.4,2.283155359438
27,8,1.91760913571319
27.8,10.6,2.10051580854273
29,10.5,2.15748552605465
27.8,11.8,2.16001112949183
25.9,8.6,1.87950879478562
26.7,10.6,2.0298011072191
27.2,11.7,2.1147984256282
26,12.3,2.08040830276305
25.4,11.5,2.00291544780918
25.6,9.8,1.92035817861037
25.6,11.8,2.02791524610417
25.9,7,1.78332283059286
27.4,10.8,2.07018933855377
25,11.4,1.97250237719062
25.1,12.6,2.0430724328896
25,11.4,1.97299880984107
26.5,8,1.87061417282656
26.6,9.6,1.96367623952454
26.8,9,1.94310748863646
25,12.6,2.10684947504354
24.6,11.5,2.01726210660837
24.9,10.2,1.95621733433001
25.2,9.7,1.9401559355318
26.4,7.4,1.87446112130117
26,9.1,1.9420642137826
25.8,10.4,1.99853078052567
26.2,12.6,2.13761600392079
25.6,9.5,1.92997399316262
27,7.9,1.91543562606697
26.2,9,1.92856690220298
26.7,9.5,1.98017375701164
27.4,5.4,1.7915322849264
26.1,7.8,1.84910043661043
26.6,6.2,1.78689531794111
26.9,6.2,1.80124441418103
26.8,12.1,2.1147984256282
26.2,7.8,1.84683765780532
26.4,8.8,1.91064021037624
26.2,7.2,1.8118633662595
26.4,7,1.81102591497003
26.8,7,1.83210673781272
26.8,6.8,1.82089952291641
26.1,8.5,1.87496105084603
25.2,8,1.79920437060835
25,8.4,1.8103890178212
24.1,9.2,1.8055493320326
23.6,9.4,1.79009159956657
25.6,13.2,2.10593772511438
25.7,11,1.99337213079767
26.4,15.3,2.34323928302604
25.2,14.9,2.24693255184165
21.6,7.6,1.6316912330461
26,6.3,1.80016580908431
26,7.3,1.85120895854467
