DATA,TMAX,TMIN,ETP
22/6/2000,"26,1","12,3","2,0810074648"
23/6/2000,"26,6","10,4","2,0055207682"
24/6/2000,"26,2","9,8","1,9519452238"
25/6/2000,"26,4","10,6","2,0070723995"
26/6/2000,"27,3","12,4","2,1547867961"
27/6/2000,"26,7","7,9","1,8793099653"
28/6/2000,"27,5","8,9","1,9787364043"
29/6/2000,"27,7","10,9","2,1003586932"
30/6/2000,"27,4","9,3","1,999156445"
1/7/2000,"27,9",10,"2,0670404175"
2/7/2000,"26,4","12,6","2,129891038"
3/7/2000,"25,9","11,6","2,0509755806"
4/7/2000,"23,5",11,"1,889894577"
5/7/2000,"22,6","10,8","1,8327633148"
6/7/2000,21,11,"1,7591497298"
7/7/2000,"23,6","10,5","1,8782390298"
8/7/2000,"25,5","9,8","1,9483402746"
9/7/2000,"25,6","10,2","1,9802312018"
10/7/2000,"26,1","12,6","2,1455315299"
11/7/2000,"27,6","10,1","2,0950951436"
12/7/2000,"24,4","11,7","2,0111966508"
13/7/2000,"23,8",11,"1,9438243695"
14/7/2000,"25,6","11,6","2,0835104067"
15/7/2000,"26,4","11,6","2,1342965947"
16/7/2000,"25,1","12,2","2,1010717142"
17/7/2000,23,"7,7","1,7344933284"
18/7/2000,"27,9",3,"1,7511977308"
19/7/2000,"27,5","7,1","1,9671358484"
20/7/2000,"27,8","9,4","2,1218793386"
21/7/2000,30,"10,2","2,3007003106"
22/7/2000,"29,2",13,"2,423473468"
23/7/2000,"29,4",13,"2,4435309661"
24/7/2000,"24,5","11,9","2,1052935834"
25/7/2000,"29,4",11,"2,3452212289"
26/7/2000,28,"15,5","2,5346237245"
27/7/2000,"27,2","15,2","2,4799403378"
28/7/2000,"26,1",12,"2,2370699424"
29/7/2000,"25,2","9,8","2,0631396749"
30/7/2000,"26,7","9,2","2,1246457688"
31/7/2000,27,"8,3","2,0975991135"
1/8/2000,"25,6","9,8","2,1121738168"
2/8/2000,27,"10,3","2,2347834111"
3/8/2000,"28,2","9,9","2,2923034391"
4/8/2000,"28,2","11,7","2,4107909979"
5/8/2000,"26,9",14,"2,4818025515"
6/8/2000,"26,2","11,5","2,2975181509"
7/8/2000,"28,6","10,3","2,3809815478"
8/8/2000,"28,6",11,"2,4344693474"
9/8/2000,"29,6","10,8","2,4946279671"
10/8/2000,31,"10,7","2,5863489273"
11/8/2000,"30,2","13,8","2,7411984015"
12/8/2000,"29,8","15,8","2,853633707"
13/8/2000,"28,5","14,2","2,684197593"
14/8/2000,"28,6","13,6","2,664763718"
15/8/2000,"27,8","11,4","2,4865500189"
16/8/2000,"29,2",11,"2,5615693191"
17/8/2000,"27,3","13,5","2,6116323349"
18/8/2000,"28,6","10,4","2,507783479"
19/8/2000,"28,7","11,8","2,6161017063"
20/8/2000,"28,2","13,1","2,6799292588"
21/8/2000,"27,2","13,8","2,672570877"
22/8/2000,"28,6","12,2","2,6716218383"
23/8/2000,"29,2","10,6","2,6179638431"
24/8/2000,30,"12,2","2,7883934357"
25/8/2000,"30,4","13,8","2,9337234586"
26/8/2000,"33,6","17,1","3,3802861139"
