TMAX,TMIN,ETP
"26,1","12,3","2,0810074648"
"26,6","10,4","2,0055207682"
"26,2","9,8","1,9519452238"
"26,4","10,6","2,0070723995"
"27,3","12,4","2,1547867961"
"26,7","7,9","1,8793099653"
"27,5","8,9","1,9787364043"
"27,7","10,9","2,1003586932"
"27,4","9,3","1,999156445"
"27,9",10,"2,0670404175"
"26,4","12,6","2,129891038"
"25,9","11,6","2,0509755806"
"23,5",11,"1,889894577"
"22,6","10,8","1,8327633148"
21,11,"1,7591497298"
"23,6","10,5","1,8782390298"
"25,5","9,8","1,9483402746"
"25,6","10,2","1,9802312018"
"26,1","12,6","2,1455315299"
"27,6","10,1","2,0950951436"
"24,4","11,7","2,0111966508"
"23,8",11,"1,9438243695"
"25,6","11,6","2,0835104067"
"26,4","11,6","2,1342965947"
"25,1","12,2","2,1010717142"
23,"7,7","1,7344933284"
"27,9",3,"1,7511977308"
"27,5","7,1","1,9671358484"
"27,8","9,4","2,1218793386"
30,"10,2","2,3007003106"
"29,2",13,"2,423473468"
"29,4",13,"2,4435309661"
"24,5","11,9","2,1052935834"
"29,4",11,"2,3452212289"
28,"15,5","2,5346237245"
"27,2","15,2","2,4799403378"
"26,1",12,"2,2370699424"
"25,2","9,8","2,0631396749"
"26,7","9,2","2,1246457688"
27,"8,3","2,0975991135"
"25,6","9,8","2,1121738168"
27,"10,3","2,2347834111"
"28,2","9,9","2,2923034391"
"28,2","11,7","2,4107909979"
"26,9",14,"2,4818025515"
"26,2","11,5","2,2975181509"
"28,6","10,3","2,3809815478"
"28,6",11,"2,4344693474"
"29,6","10,8","2,4946279671"
31,"10,7","2,5863489273"
"30,2","13,8","2,7411984015"
"29,8","15,8","2,853633707"
"28,5","14,2","2,684197593"
"28,6","13,6","2,664763718"
"27,8","11,4","2,4865500189"
"29,2",11,"2,5615693191"
"27,3","13,5","2,6116323349"
"28,6","10,4","2,507783479"
"28,7","11,8","2,6161017063"
"28,2","13,1","2,6799292588"
"27,2","13,8","2,672570877"
"28,6","12,2","2,6716218383"
"29,2","10,6","2,6179638431"
30,"12,2","2,7883934357"
"30,4","13,8","2,9337234586"
"33,6","17,1","3,3802861139"
"31,6","14,9","3,1141490103"
"32,6","16,1","3,2760289819"
"22,8","14,4","2,5135327252"
"24,4","13,1","2,5449854802"
29,"14,6","2,9719514707"
"30,5",17,"3,2519055757"
"26,8","17,7","3,0597117873"
"21,4","14,6","2,4859106456"
"25,5","14,4","2,7669669206"
"26,6","14,9","2,8900945122"
26,"14,8","2,8532583694"
26,"15,2","2,8932007546"
24,16,"2,8204898079"
"28,2","15,7","3,1080957987"
"26,5","15,7","2,999778576"
"28,8","17,3","3,2900728003"
"29,6","17,1","3,3460290587"
"28,2","18,3","3,3446749084"
"27,4","16,8","3,1914698622"
"28,8",16,"3,2470795331"
"29,8","16,6","3,3756529848"
"29,8","17,7","3,4684574717"
29,"16,8","3,3565169472"
"28,6","14,8","3,1920595211"
"28,3","15,4","3,2255034611"
28,"11,5","2,9256651248"
"28,6","11,7","2,9951621242"
"25,6","10,4","1,9509444983"
"26,6","11,6","2,0705646851"
"26,2","17,2","2,3531784087"
"26,4","14,1","2,1969305995"
"26,6","12,1","2,1005100506"
"24,6","13,2","2,0531189794"
"26,1","6,9","1,7939093775"
