DATA,TMAX,TMIN,ETP
21/3/2000,"27,2","17,3","3,3169808893"
22/3/2000,"27,3","17,8","3,3497714266"
23/3/2000,"27,2","14,8","3,1082734052"
24/3/2000,"27,9",15,"3,163256984"
25/3/2000,"28,6","17,4","3,3792368092"
26/3/2000,"28,4",16,"3,2494071729"
27/3/2000,"29,7","18,4","3,5067418768"
28/3/2000,"27,7","15,4","3,1300494595"
29/3/2000,28,"16,6","3,2262805402"
30/3/2000,"27,2","16,8","3,1702384683"
31/3/2000,"27,6","15,1","3,0642083987"
1/4/2000,28,"16,2","3,1589562425"
2/4/2000,"27,8","16,6","3,1602072757"
3/4/2000,"27,8","16,3","3,1258159629"
4/4/2000,"26,4","16,6","3,0350586775"
5/4/2000,"26,3","15,8","2,9589445677"
6/4/2000,"24,6","15,2","2,7853314141"
7/4/2000,"24,1","15,8","2,7802859973"
8/4/2000,"27,8","16,4","3,0665218848"
9/4/2000,"27,8","15,6","2,9978229457"
10/4/2000,28,"14,4","2,9158191856"
11/4/2000,"28,6","13,6","2,8891662138"
12/4/2000,"26,9",14,"2,7876384402"
13/4/2000,"27,6","16,1","2,9650787324"
14/4/2000,28,"16,2","2,9854391219"
15/4/2000,"28,1","15,2","2,9113568106"
16/4/2000,"29,4","16,2","3,0520058002"
17/4/2000,29,"14,8","2,918098574"
18/4/2000,27,17,"2,9179458215"
19/4/2000,"25,6","16,8","2,7988749249"
20/4/2000,"25,4","15,6","2,6939529884"
21/4/2000,"27,8","15,7","2,8449879823"
22/4/2000,28,12,"2,6039568615"
23/4/2000,"28,2",13,"2,6696376935"
24/4/2000,"28,3","13,8","2,7153033277"
25/4/2000,"27,7",13,"2,6128398494"
26/4/2000,"26,3","11,8","2,4346000671"
27/4/2000,"27,4","11,2","2,4551473471"
28/4/2000,"25,2",12,"2,3551866553"
29/4/2000,"26,5","15,2","2,6279453582"
30/4/2000,"26,2",13,"2,4590717875"
1/5/2000,"26,9","14,9","2,6102043683"
2/5/2000,"26,6",15,"2,5859143436"
3/5/2000,"26,7","16,6","2,6794276126"
4/5/2000,"25,8","15,6","2,5503502922"
5/5/2000,"27,5","14,4","2,5696395162"
6/5/2000,28,13,"2,5033140827"
7/5/2000,"28,8","12,2","2,4923244319"
8/5/2000,"28,7","14,3","2,6025293852"
9/5/2000,"29,3","12,2","2,5009228885"
10/5/2000,"28,6","15,6","2,6522799324"
11/5/2000,27,"13,5","2,420015705"
12/5/2000,"26,7",13,"2,362339127"
13/5/2000,26,"11,4","2,2163366833"
14/5/2000,"25,4","11,2","2,1601442254"
15/5/2000,"26,6","15,3","2,4630864789"
16/5/2000,"27,6","9,6","2,1782127582"
17/5/2000,"27,9","10,3","2,2281349038"
18/5/2000,"26,6","12,9","2,295230479"
19/5/2000,"27,4",12,"2,2809098294"
20/5/2000,"27,4","12,4","2,2956755918"
21/5/2000,"26,2","11,4","2,1610506577"
22/5/2000,"26,6","13,1","2,2738017973"
