TMAX,TMIN,ETP
"27,2","17,3","3,3169808893"
"27,3","17,8","3,3497714266"
"27,2","14,8","3,1082734052"
"27,9",15,"3,163256984"
"28,6","17,4","3,3792368092"
"28,4",16,"3,2494071729"
"29,7","18,4","3,5067418768"
"27,7","15,4","3,1300494595"
28,"16,6","3,2262805402"
"27,2","16,8","3,1702384683"
"27,6","15,1","3,0642083987"
28,"16,2","3,1589562425"
"27,8","16,6","3,1602072757"
"27,8","16,3","3,1258159629"
"26,4","16,6","3,0350586775"
"26,3","15,8","2,9589445677"
"24,6","15,2","2,7853314141"
"24,1","15,8","2,7802859973"
"27,8","16,4","3,0665218848"
"27,8","15,6","2,9978229457"
28,"14,4","2,9158191856"
"28,6","13,6","2,8891662138"
"26,9",14,"2,7876384402"
"27,6","16,1","2,9650787324"
28,"16,2","2,9854391219"
"28,1","15,2","2,9113568106"
"29,4","16,2","3,0520058002"
29,"14,8","2,918098574"
27,17,"2,9179458215"
"25,6","16,8","2,7988749249"
"25,4","15,6","2,6939529884"
"27,8","15,7","2,8449879823"
28,12,"2,6039568615"
"28,2",13,"2,6696376935"
"28,3","13,8","2,7153033277"
"27,7",13,"2,6128398494"
"26,3","11,8","2,4346000671"
"27,4","11,2","2,4551473471"
"25,2",12,"2,3551866553"
"26,5","15,2","2,6279453582"
"26,2",13,"2,4590717875"
"26,9","14,9","2,6102043683"
"26,6",15,"2,5859143436"
"26,7","16,6","2,6794276126"
"25,8","15,6","2,5503502922"
"27,5","14,4","2,5696395162"
28,13,"2,5033140827"
"28,8","12,2","2,4923244319"
"28,7","14,3","2,6025293852"
"29,3","12,2","2,5009228885"
"28,6","15,6","2,6522799324"
27,"13,5","2,420015705"
"26,7",13,"2,362339127"
26,"11,4","2,2163366833"
"25,4","11,2","2,1601442254"
"26,6","15,3","2,4630864789"
"27,6","9,6","2,1782127582"
"27,9","10,3","2,2281349038"
"26,6","12,9","2,295230479"
"27,4",12,"2,2809098294"
"27,4","12,4","2,2956755918"
"26,2","11,4","2,1610506577"
"26,6","13,1","2,2738017973"
"26,7","10,8","2,1404984275"
"24,8","13,1","2,1561657598"
"25,7","8,8","1,9564116212"
27,"8,3","1,9955109239"
"27,6","8,6","2,0401750143"
"27,6","9,8","2,1016102922"
27,"11,7","2,1684860288"
28,12,"2,2351934699"
"28,4",11,"2,195867891"
"27,6","11,4","2,1680825641"
"27,8","12,9","2,2571173857"
"27,6","11,2","2,1467832335"
"25,8","13,9","2,1917588947"
"24,6","12,3","2,0329389316"
"24,8","8,6","1,8364994693"
"24,5","11,6","1,9812958768"
"25,6","10,9","1,9997923844"
"25,5","10,6","1,9747036638"
"25,6","11,1","2,0045498432"
26,"8,6","1,8872824515"
"26,2","8,9","1,9121959043"
"27,6","10,4","2,0678938894"
"27,5","13,8","2,245274421"
26,"13,2","2,1292951819"
"25,1",10,"1,9052122552"
"24,8","8,4","1,801013885"
"26,6",9,"1,9303150471"
"27,9","9,3","2,0164014984"
"28,3","10,1","2,0810280262"
"25,9","7,7","1,8207714251"
"27,8","16,6","3,3095269996"
"28,6","14,6","3,2086502356"
"28,8",15,"3,2414851226"
28,"16,8","3,3033546126"
"29,7","14,4","3,2396596367"
27,"15,1","3,0810820266"
"27,7","14,5","3,0766009813"
"27,2","14,1","2,9993281363"
28,"17,2","3,2696834174"
"26,2","16,5","3,0765723317"
"28,2","15,8","3,1574981158"
"28,2","15,4","3,1160744836"
28,"11,2","2,7900929101"
"27,9","15,6","3,0832878545"
"29,1",17,"3,2538652333"
"28,4","16,6","3,1627673527"
"28,2","17,3","3,1842356618"
29,"15,9","3,1286927638"
"28,2","15,6","3,0387705555"
"28,7","13,8","2,9356561104"
29,"13,8","2,9433269138"
"29,4",13,"2,9028589447"
"28,9","17,4","3,1556885032"
30,"17,6","3,2296967428"
24,"17,8","2,8233338302"
"25,8","14,9","2,7365409282"
"26,8",15,"2,7976719835"
"27,6","14,4","2,7981767148"
"28,6","14,1","2,8317337859"
"28,2","13,8","2,7724704444"
29,"14,4","2,8516477974"
"27,9",17,"2,9365508139"
"27,8","15,6","2,8252931947"
"28,3","17,6","2,9741837411"
"28,2",17,"2,9152425276"
"27,1","14,8","2,6898768966"
"27,6","16,2","2,7988315732"
"27,3",16,"2,7540901588"
27,"13,6","2,5704456507"
"27,2",12,"2,4703946773"
"26,8",15,"2,6221734876"
"27,8","15,8","2,7226055134"
"27,4","16,8","2,74753399"
"27,7","16,2","2,7165559398"
"24,6","14,8","2,4271449641"
"26,1",16,"2,5819050986"
"27,6","10,8","2,344567336"
27,"11,2","2,3221169097"
"28,4","13,4","2,5299006581"
28,"11,1","2,3562912034"
"29,4","12,1","2,4902628325"
"29,7","13,8","2,5992761276"
"29,6","13,8","2,5825067535"
"28,3","16,4","2,648937159"
"26,5","15,8","2,4965601294"
"28,4","14,3","2,510114383"
"28,4","14,6","2,5178265753"
"24,4","14,5","2,2689646009"
"27,4","17,2","2,5915766928"
"26,8",14,"2,3619573867"
25,"11,8","2,1226347181"
"26,2","12,5","2,2242728844"
"27,2",11,"2,1878898906"
"26,8","12,1","2,2204103688"
"24,6","13,8","2,1846112184"
"25,6","15,6","2,3363524288"
"27,4","15,8","2,4420983544"
"22,2","15,1","2,1021692827"
"25,2","16,2","2,3263814465"
"28,1",15,"2,415032244"
"27,8","16,8","2,492240719"
"27,3","14,8","2,3463461474"
"26,8","13,6","2,2459111689"
"26,6","13,4","2,218297185"
"26,4","9,2","1,9697289462"
"25,8","15,4","2,2745709436"
25,"11,8","2,027429612"
"27,9","11,8","2,1829050578"
27,"13,2","2,2063184002"
"26,1","12,2","2,0984122828"
"25,2","12,2","2,045814876"
"25,4","15,8","2,2503393335"
25,10,"1,9091007458"
"24,4","11,8","1,9721222716"
"24,8","12,3","2,0189174552"
26,"15,3","2,245274421"
26,"10,8","1,9989301708"
"25,8","16,5","2,2960250255"
"27,2","10,8","2,0614014347"
"27,2","10,4","2,0387597127"
"26,4","11,9","2,0760262739"
"25,9",11,"1,9997378689"
23,"11,6","1,8749610508"
"26,9",17,"3,2722575514"
"26,2","18,4","3,3126342711"
25,"17,2","3,1230747071"
"27,3","18,6","3,3844637661"
"27,2","17,3","3,2690443046"
"28,4","16,5","3,2859995961"
"25,6","17,8","3,1640872652"
"28,9","15,8","3,2462461911"
28,16,"3,182877663"
"28,2","16,1","3,1918537305"
"27,9",15,"3,0785606629"
"28,4",14,"3,0303109657"
"29,6","15,3","3,1957951955"
"28,8","15,1","3,1116399268"
"28,6","15,4","3,1056414374"
"28,5","14,4","3,0151715429"
"29,4","14,2","3,0512675792"
"28,8","14,8","3,0381070045"
"27,3","16,6","3,0457083878"
"27,3","14,8","2,9080264058"
"27,2","14,7","2,8814345254"
"27,8","18,5","3,1698671967"
"27,6","18,6","3,1488727613"
28,"19,4","3,2161265884"
29,"17,2","3,120526865"
"27,8","16,7","2,992041064"
"27,9","15,4","2,8980669111"
29,"15,3","2,9514102016"
"28,9","16,1","2,984262772"
"28,6",15,"2,8780883661"
"28,4","15,2","2,8647890315"
"28,6","11,8","2,6422417123"
27,"17,8","2,9164316849"
"27,4","14,9","2,740914428"
"27,6","16,1","2,8184977534"
"27,4","14,3","2,6770373887"
28,"15,4","2,7732714675"
"27,6","17,2","2,8494974391"
"28,6",14,"2,6970685891"
"27,3","12,7","2,5208108952"
29,"13,5","2,6660854838"
30,"13,6","2,7226055134"
"29,5","15,4","2,7910469718"
"30,2","13,8","2,7227439943"
"30,7","14,8","2,8029212149"
"29,8","14,6","2,7229592964"
29,"17,2","2,8208075761"
"27,8",16,"2,6625319541"
"28,1",15,"2,6085817791"
"24,6","16,8","2,4948965683"
"27,8","16,6","2,6642811991"
"26,8","16,2","2,5693993905"
"27,5",15,"2,528952466"
"27,8","16,2","2,6074549216"
26,"14,4","2,3844214947"
"26,8","12,4","2,3043673024"
"28,6","13,7","2,4768387008"
29,"10,8","2,3214599259"
"29,7","13,2","2,4927946215"
"30,4","15,6","2,6629911713"
"30,2","14,5","2,578309019"
"27,6","15,4","2,471414316"
"26,4","13,4","2,2795292577"
"24,8",15,"2,2717823311"
"22,6","15,2","2,1504766681"
"23,8","11,8","2,0187899627"
"24,4","11,6","2,035081962"
"23,8",9,"1,8485563665"
"24,2","12,6","2,0678946191"
"26,4","10,6","2,0732295366"
27,"9,2","2,0228500903"
"27,2","11,2","2,1401352034"
"27,1","11,6","2,1514050059"
"25,8","11,8","2,0851993539"
26,"9,8","1,9807948391"
"26,9","9,8","2,0261347968"
"27,2","11,3","2,1210880451"
"26,7","10,8","2,0619380269"
"26,8","13,2","2,1953416918"
"26,6","11,6","2,0929333995"
25,"14,2","2,1442765546"
"27,2","13,6","2,2284913788"
"26,8","13,2","2,1818294237"
27,8,"1,9067480527"
"27,9","9,5","2,0352429332"
28,"14,8","2,3268219182"
"27,9",17,"3,030986509"
"25,2","12,6","2,0517670441"
"25,6","12,2","2,0505519534"
"25,7","13,2","2,1092487453"
"25,7","12,5","2,0706058398"
"24,7","12,6","2,0214152442"
26,"10,2","1,961664452"
"28,2","16,6","3,3393425582"
"25,1","17,6","3,1715130801"
"24,6","16,2","3,0194655936"
"25,2","16,9","3,1042685087"
"26,7","16,6","3,1808903008"
"24,9","17,7","3,1176744497"
26,"17,4","3,1640872652"
"27,8","17,8","3,3116068527"
"28,2",17,"3,2696834174"
"26,1","16,3","3,0549570694"
"27,8","16,4","3,17185038"
"29,3","15,8","3,2232788809"
"29,4","15,6","3,2029127794"
"28,2",16,"3,1329039809"
"27,6","17,2","3,1621076454"
"27,8","16,8","3,1346538651"
"26,2","17,6","3,0652642195"
28,"16,3","3,0868839519"
"28,6","17,6","3,2052785311"
"28,3","19,1","3,2741199913"
"29,4","18,6","3,3009273799"
"29,4",16,"3,1082499077"
"27,8","17,4","3,0807153422"
"28,2","18,4","3,1618459709"
"25,9","18,6","3,0057022834"
"24,8","16,2","2,7567119916"
"25,3","16,2","2,777592998"
27,"16,5","2,8981115975"
"28,2","15,8","2,9179458215"
"28,2","15,8","2,9044928466"
"27,7","14,6","2,7793710099"
"28,5","14,1","2,786126162"
"27,1","16,4","2,8318030869"
"27,2","14,8","2,7214753186"
"27,4","14,5","2,7024040245"
"27,4","16,4","2,8118522212"
"28,8","15,2","2,811611626"
"29,4",14,"2,7604506441"
"28,4","14,5","2,7160620299"
"28,8","11,5","2,5397169769"
"29,2","11,7","2,5657152068"
"29,6","13,4","2,685138465"
"30,4","13,8","2,74753399"
"26,9","13,4","2,4937859766"
"26,6","13,8","2,4887476281"
"27,8","15,3","2,6432330107"
"25,4","15,1","2,4727858622"
"23,9","15,8","2,4132995109"
"23,5","10,6","2,0638663264"
"25,2",17,"3,0372653874"
"25,2","8,6","2,028214066"
"25,2","13,2","2,2945334092"
"24,2","10,2","2,0469638783"
"24,1",12,"2,1392982425"
"26,2","12,4","2,2781848935"
"26,3","13,8","2,3572736946"
"25,2","15,7","2,3948629519"
"25,2",13,"2,2281349038"
"26,2",9,"2,0453699459"
"26,8","11,8","2,2345969394"
27,"14,6","2,3995001161"
"26,7","11,5","2,1955355087"
"27,7",12,"2,2738017973"
"30,6",15,"2,6028460879"
"28,9","12,8","2,3723512449"
"25,4","16,2","2,359035462"
"25,8","11,1","2,0859590111"
"25,6","14,4","2,2543370323"
"23,1","13,8","2,0735138979"
"23,1","13,8","2,0676262135"
25,"14,2","2,1904896005"
"24,2","14,2","2,1401352034"
"25,7",14,"2,2069968665"
"26,8","14,1","2,2682088716"
"28,4",15,"2,4012987715"
"27,6","14,3","2,3132165664"
"27,4","13,7","2,2643303547"
"26,3","13,6","2,1939020606"
"25,8","13,2","2,1404581495"
"26,3",12,"2,0984122828"
"25,7","12,8","2,1059859018"
25,"14,1","2,1356375714"
26,"12,3","2,0891016732"
"27,2","11,1","2,0865271548"
"27,1","11,8","2,1168703236"
"26,6","11,5","2,0713064272"
"26,8",12,"2,1075676801"
"26,2","9,5","1,9377799861"
"26,2","13,6","2,1590467658"
"26,4",10,"1,9736929133"
"26,2","9,8","1,9513562888"
26,13,"2,1135440891"
27,"8,6","1,9291506766"
"27,2","15,8","3,2164072244"
"27,6","15,4","3,2051725447"
"25,8",16,"3,1046662002"
27,"15,5","3,14527666"
"27,5","14,7","3,1116420681"
"27,1",15,"3,0927362971"
"23,6",17,"2,9713047572"
27,"16,8","3,1932493598"
"25,6",17,"3,7182954135"
"27,8","15,9","3,1611762244"
"28,7","13,5","3,0405468946"
"27,4","13,8","2,9565664175"
"24,4",16,"2,8873717692"
"28,4","17,6","3,274088619"
"27,6","15,4","3,0478477642"
"26,9","15,6","2,9997672975"
"25,3","16,2","2,9167743364"
28,"15,8","3,0652642195"
24,"16,4","2,8151266739"
"28,6","15,2","3,0387705555"
"25,2",16,"2,8458595705"
"25,2",15,"2,7645266807"
23,"16,5","2,704314347"
"23,3","18,4","2,8421643754"
"24,8","17,8","2,8904428833"
"24,6","17,8","2,8638601531"
"27,2","18,6","3,0794490052"
"27,6",17,"2,9850758484"
"27,3","15,9","2,8781246209"
"27,5","12,5","2,6526780195"
"27,9","13,5","2,7328637238"
"27,9","12,2","2,634817435"
"26,6","14,1","2,6618623191"
"27,4","13,5","2,6625458909"
28,13,"2,6566782872"
"28,2",15,"2,7862494954"
"28,8","16,4","2,9017287762"
"26,8",17,"2,7988315732"
"24,8","17,7","2,7032062759"
"24,9",17,"2,6527505607"
"25,4",13,"2,4199784593"
"29,5","11,8","2,5908077761"
"27,8","13,2","2,5602483039"
"27,4","13,5","2,5424013618"
27,"14,6","2,5742306855"
27,"14,2","2,5380297594"
"27,3","13,3","2,4899132305"
"27,8","14,9","2,6071100324"
27,"15,6","2,5895858731"
"27,1","15,6","2,5843722034"
27,16,"2,5913176917"
28,"16,1","2,6462792991"
29,"15,6","2,6650049492"
"28,2","15,5","2,6003581827"
"26,4",14,"2,3941177007"
"27,4","15,2","2,5142662296"
"21,8","17,6","2,3161242785"
"25,3","14,5","2,3304534348"
"28,3","13,8","2,4556146452"
"26,8","16,6","2,5218481719"
"26,8","13,8","2,3503791643"
"26,6","15,2","2,4110361743"
"24,6","15,4","2,2989900614"
"25,4","14,2","2,2680743368"
26,"13,8","2,2717823311"
"27,8","14,2","2,3894185201"
25,"15,1","2,2739740872"
"23,1","10,1","1,8767978094"
"27,4",11,"2,1641635511"
27,"13,6","2,2814272156"
"25,4","16,2","2,3309823979"
"26,4","13,7","2,2407814536"
"26,2","11,2","2,0844025158"
"26,3","11,6","2,1069315174"
"25,5","11,4","2,0463791531"
"26,1","12,9","2,1578491264"
"23,4",11,"1,8991563218"
"26,6","8,6","1,9392804984"
"26,3","9,6","1,9739620044"
"26,8","9,8","2,008737648"
"25,8","12,2","2,0819756331"
"25,6","14,2","2,1770971141"
"26,4","10,8","2,0318597866"
"26,2","10,3","1,9909193492"
"24,2","13,8","2,0701836001"
"24,2",12,"1,9699410209"
"23,7","12,6","1,9734494306"
23,"12,1","1,9065882879"
25,"10,5","1,9269240758"
"24,8",9,"1,8335623287"
"22,8","11,8","1,8760927143"
"24,1","11,8","1,9459358547"
23,"10,4","1,8100608353"
"27,2","17,4","3,3589330017"
23,"18,4","3,1074025304"
"28,4","17,8","3,455767762"
"27,6","17,2","3,3393425582"
29,"15,6","3,3126342711"
"27,4","16,6","3,2562864245"
"24,6","17,6","3,1116420681"
"26,6","16,6","3,1735441339"
"27,4","17,2","3,2640441422"
"26,2","17,8","3,2078304071"
"27,9","16,5","3,2244593039"
"28,6",16,"3,2262805402"
"27,2","18,6","3,299930042"
"28,4","15,6","3,1574981158"
"29,6","16,3","3,2804545595"
"29,4","14,4","3,117501772"
"29,2","17,3","3,2959283962"
"28,6","16,4","3,1762241974"
"29,1",16,"3,1697957246"
"28,2",14,"2,9532910973"
"27,8",14,"2,9126805686"
"28,3","15,2","3,0179570585"
"28,4","16,1","3,0738046332"
"28,5","16,6","3,1014963507"
"27,8","15,6","2,971322599"
28,"15,2","2,944400504"
"28,8","14,5","2,9379384236"
"29,1","16,4","3,0732461549"
"27,8","13,2","2,7567119916"
"28,6","14,3","2,8712949304"
"25,6","17,8","2,891449272"
"28,4",14,"2,8118387007"
"28,4","15,6","2,9044928466"
"28,2","15,8","2,8910714997"
"28,8","15,4","2,8907693981"
"28,8","16,1","2,9229415771"
"25,8","16,9","2,7668332406"
"26,2","17,8","2,8378467083"
"26,8","18,6","2,9145682841"
"25,8","16,6","2,7093712032"
27,"16,6","2,7731716148"
"26,2","16,8","2,7223931768"
"24,8","14,8","2,4956027862"
"25,1",12,"2,3273357988"
"24,2","13,2","2,3354460138"
25,"9,4","2,1383522456"
26,"13,4","2,4380934858"
"25,9","9,8","2,199215107"
"26,8","11,4","2,3427262415"
27,"14,8","2,5521592355"
"26,9","15,1","2,5531128327"
26,"15,7","2,5238482642"
"26,6",14,"2,4466860066"
26,14,"2,4002533325"
"25,4",14,"2,3542868833"
"19,3","13,6","1,9577067325"
"27,4","14,1","2,4593040738"
"26,8","10,8","2,2191645594"
"26,8","11,2","2,2338254462"
"26,5","11,3","2,213345222"
"28,2","14,2","2,4731130869"
27,"13,8","2,37076971"
