@relation RONCADOR-DF-ENVIADO-CHIQUITTO-outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

27.2,17.3,3.316981
27.3,17.8,3.349771
27.2,14.8,3.108273
27.9,15,3.163257
28.6,17.4,3.379237
28.4,16,3.249407
29.7,18.4,3.506742
27.7,15.4,3.130049
28,16.6,3.226281
27.2,16.8,3.170238
27.6,15.1,3.064208
28,16.2,3.158956
27.8,16.6,3.160207
27.8,16.3,3.125816
26.4,16.6,3.035059
26.3,15.8,2.958945
24.6,15.2,2.785331
24.1,15.8,2.780286
27.8,16.4,3.066522
27.8,15.6,2.997823
28,14.4,2.915819
28.6,13.6,2.889166
26.9,14,2.787638
27.6,16.1,2.965079
28,16.2,2.985439
28.1,15.2,2.911357
29.4,16.2,3.052006
29,14.8,2.918099
27,17,2.917946
25.6,16.8,2.798875
25.4,15.6,2.693953
27.8,15.7,2.844988
28,12,2.603957
28.2,13,2.669638
28.3,13.8,2.715303
27.7,13,2.61284
26.3,11.8,2.4346
27.4,11.2,2.455147
25.2,12,2.355187
26.5,15.2,2.627945
26.2,13,2.459072
26.9,14.9,2.610204
26.6,15,2.585914
26.7,16.6,2.679428
25.8,15.6,2.55035
27.5,14.4,2.56964
28,13,2.503314
28.8,12.2,2.492324
28.7,14.3,2.602529
29.3,12.2,2.500923
28.6,15.6,2.65228
27,13.5,2.420016
26.7,13,2.362339
26,11.4,2.216337
25.4,11.2,2.160144
26.6,15.3,2.463086
27.6,9.6,2.178213
27.9,10.3,2.228135
26.6,12.9,2.29523
27.4,12,2.28091
27.4,12.4,2.295676
26.2,11.4,2.161051
26.6,13.1,2.273802
26.7,10.8,2.140498
24.8,13.1,2.156166
25.7,8.8,1.956412
27,8.3,1.995511
27.6,8.6,2.040175
27.6,9.8,2.10161
27,11.7,2.168486
28,12,2.235193
28.4,11,2.195868
27.6,11.4,2.168083
27.8,12.9,2.257117
27.6,11.2,2.146783
25.8,13.9,2.191759
24.6,12.3,2.032939
24.8,8.6,1.836499
24.5,11.6,1.981296
25.6,10.9,1.999792
25.5,10.6,1.974704
25.6,11.1,2.00455
26,8.6,1.887282
26.2,8.9,1.912196
27.6,10.4,2.067894
27.5,13.8,2.245274
26,13.2,2.129295
25.1,10,1.905212
24.8,8.4,1.801014
26.6,9,1.930315
27.9,9.3,2.016401
28.3,10.1,2.081028
25.9,7.7,1.820771
27.8,16.6,3.309527
28.6,14.6,3.20865
28.8,15,3.241485
28,16.8,3.303355
29.7,14.4,3.23966
27,15.1,3.081082
27.7,14.5,3.076601
27.2,14.1,2.999328
28,17.2,3.269683
26.2,16.5,3.076572
28.2,15.8,3.157498
28.2,15.4,3.116074
28,11.2,2.790093
27.9,15.6,3.083288
29.1,17,3.253865
28.4,16.6,3.162767
28.2,17.3,3.184236
29,15.9,3.128693
28.2,15.6,3.038771
28.7,13.8,2.935656
29,13.8,2.943327
29.4,13,2.902859
28.9,17.4,3.155689
30,17.6,3.229697
24,17.8,2.823334
25.8,14.9,2.736541
26.8,15,2.797672
27.6,14.4,2.798177
28.6,14.1,2.831734
28.2,13.8,2.77247
29,14.4,2.851648
27.9,17,2.936551
27.8,15.6,2.825293
28.3,17.6,2.974184
28.2,17,2.915243
27.1,14.8,2.689877
27.6,16.2,2.798832
27.3,16,2.75409
27,13.6,2.570446
27.2,12,2.470395
26.8,15,2.622173
27.8,15.8,2.722606
27.4,16.8,2.747534
27.7,16.2,2.716556
24.6,14.8,2.427145
26.1,16,2.581905
27.6,10.8,2.344567
27,11.2,2.322117
28.4,13.4,2.529901
28,11.1,2.356291
29.4,12.1,2.490263
29.7,13.8,2.599276
29.6,13.8,2.582507
28.3,16.4,2.648937
26.5,15.8,2.49656
28.4,14.3,2.510114
28.4,14.6,2.517827
24.4,14.5,2.268965
27.4,17.2,2.591577
26.8,14,2.361957
25,11.8,2.122635
26.2,12.5,2.224273
27.2,11,2.18789
26.8,12.1,2.22041
24.6,13.8,2.184611
25.6,15.6,2.336352
27.4,15.8,2.442098
22.2,15.1,2.102169
25.2,16.2,2.326381
28.1,15,2.415032
27.8,16.8,2.492241
27.3,14.8,2.346346
26.8,13.6,2.245911
26.6,13.4,2.218297
26.4,9.2,1.969729
25.8,15.4,2.274571
25,11.8,2.02743
27.9,11.8,2.182905
27,13.2,2.206318
26.1,12.2,2.098412
25.2,12.2,2.045815
25.4,15.8,2.250339
25,10,1.909101
24.4,11.8,1.972122
24.8,12.3,2.018917
26,15.3,2.245274
26,10.8,1.99893
25.8,16.5,2.296025
27.2,10.8,2.061401
27.2,10.4,2.03876
26.4,11.9,2.076026
25.9,11,1.999738
23,11.6,1.874961
26.9,17,3.272258
26.2,18.4,3.312634
