TMAX,TMIN,ETP
"29,4","12,1","3,094761693"
"29,9",11,"3,0601454055"
"31,6","12,8","3,3328591163"
"30,2","15,9","3,4715668905"
"23,2","14,6","2,8555006378"
25,"14,8","3,0158827739"
27,"14,1","3,1238421231"
28,"13,9","3,1941256191"
"28,1","13,9","3,2110919121"
"26,7","14,8","3,1819380792"
32,"12,4","3,4138264965"
"30,2","17,4","3,6699058723"
29,"17,1","3,5637977658"
"29,8","15,8","3,5344008441"
"27,4","15,2","3,3103515597"
29,"11,8","3,1784327934"
"29,8",17,"3,6547859651"
"30,6",16,"3,6478772468"
"31,1","15,6","3,6642448161"
"31,4","13,2","3,5074460597"
32,"14,8","3,688637099"
"31,8","13,5","3,5781437221"
"31,7","14,3","3,6411005203"
"30,5",19,"3,9261894862"
"29,4","13,8","3,4333430978"
"30,4","17,4","3,8063189149"
"32,1","13,8","3,6619334389"
"31,5","14,8","3,7006342515"
"33,1","14,3","3,7953176638"
"33,1","18,9","4,1708564529"
31,"17,3","3,8806004736"
"30,6","16,1","3,7581723098"
"31,6","14,8","3,7399364336"
"31,3","17,5","3,9394106347"
32,"16,4","3,9129210345"
"28,4","16,6","3,6432752002"
"29,1","12,4","3,36458196"
"23,5","17,4","3,320397293"
"25,2","16,6","3,3978742523"
"26,2","16,8","3,4998117421"
"26,2","17,6","3,5692491269"
"25,6","15,1","3,3205145707"
"25,7","17,8","3,5529620565"
"21,6","16,4","3,1071179629"
"24,8",12,"3,0121576614"
"25,2","12,8","3,1135261833"
"25,4","12,1","3,0755511433"
"25,4",13,"3,1523163419"
"28,2",17,"3,7138847262"
"28,6","15,5","3,6266440431"
"26,8","17,3","3,6296657877"
"27,6","18,4","3,7890762321"
"28,4",19,"3,9073964444"
"25,6","18,6","3,646293242"
28,"11,8","3,285636741"
"24,3","12,5","3,0400365326"
"28,2","16,5","3,6950538057"
28,"16,5","3,6808121219"
"25,6","16,2","3,4595438054"
"27,2","15,4","3,5277675062"
"28,8","15,8","3,695407015"
"29,2","15,6","3,7139163498"
"28,7","14,4","3,5747693866"
"28,8","14,8","3,617963845"
"28,2","14,8","3,569799422"
"28,1",12,"3,330491555"
25,17,"3,489740667"
"26,2","17,2","3,6074896555"
27,"17,6","3,7086309681"
29,"17,6","3,8763256506"
"29,1",19,"4,0024640804"
"29,3","18,5","3,9787898678"
"29,4","17,6","3,913403811"
"28,8","18,4","3,9312050464"
"28,4","17,3","3,8073272298"
27,"17,4","3,6999930112"
"27,6","19,2","3,9009603045"
"24,8",19,"3,6517541172"
25,"17,3","3,5274728773"
"26,6","19,2","3,8201375618"
"26,8","18,8","3,80419718"
26,"19,4","3,7882030228"
"25,2","18,9","3,6803563236"
"26,4","17,7","3,6809380668"
"27,4","19,1","3,881828515"
25,"17,6","3,5567337117"
"25,2",15,"3,3567661918"
"27,8","14,6","3,5408631015"
"26,8",17,"3,6581422742"
"24,2","17,6","3,4914105541"
"30,9","17,4","3,6018551752"
"30,1","16,8","3,5090664919"
"28,9","17,8","3,5055072236"
"29,2","17,6","3,5242804875"
"25,2","17,2","3,2029954244"
"30,1","16,2","3,508426443"
"26,8","15,2","3,1922474251"
"28,4",15,"3,3084737916"
"24,2","18,7","3,2799010245"
"30,4","14,9","3,4732962647"
"28,4","16,9","3,4830256822"
"30,4","16,3","3,6005168957"
"30,6",16,"3,60245067"
31,"15,6","3,6119096345"
"31,5","18,8","3,9087014895"
"26,1","18,5","3,4744632987"
"25,4",17,"3,3111736094"
"28,1","14,3","3,3190986108"
"27,8","16,5","3,4759324487"
"27,2","17,8","3,538902975"
