DATA,TMAX,TMIN,ETP
1/1/2000,"22,4","17,4","3,3250542301"
2/1/2000,"24,1","15,7","3,3248828383"
3/1/2000,"21,2","15,8","3,0907668406"
4/1/2000,"26,2","17,8","3,67520752"
5/1/2000,"24,2","17,4","3,4744046023"
6/1/2000,"26,2","15,8","3,5074152602"
7/1/2000,"27,4","15,6","3,5904584322"
8/1/2000,"27,6","15,4","3,5899293858"
9/1/2000,"26,8","16,6","3,6227249283"
10/1/2000,"25,8","15,2","3,4217600785"
11/1/2000,"27,8","15,2","3,587945285"
12/1/2000,"28,8","15,8","3,7206185794"
13/1/2000,"28,8","15,5","3,6946891889"
14/1/2000,"30,6","15,1","3,8104379951"
15/1/2000,"30,2","15,1","3,7759974929"
16/1/2000,"31,6","16,6","4,0164767619"
17/1/2000,"25,2",16,"3,4320193609"
18/1/2000,"30,4","17,6","3,9970284657"
19/1/2000,"30,8","16,5","3,9372179421"
20/1/2000,"26,3","17,4","3,6360554531"
21/1/2000,"26,2","17,3","3,6178212676"
22/1/2000,"28,5","18,6","3,9153914865"
23/1/2000,"26,2","17,6","3,6392515127"
24/1/2000,27,"18,7","3,795112623"
25/1/2000,"27,4","16,6","3,651893225"
26/1/2000,"26,3","18,5","3,7160909587"
27/1/2000,"25,8","17,7","3,6060030185"
28/1/2000,"28,8","16,4","3,7444576907"
29/1/2000,"29,6","14,6","3,6590737041"
30/1/2000,"28,3","16,4","3,6977633245"
31/1/2000,"26,2","18,3","3,6783933979"
1/2/2000,"26,8","15,9","3,5267612717"
2/2/2000,"27,8","17,4","3,7300930751"
3/2/2000,"26,7","16,7","3,5783812063"
4/2/2000,"28,4","16,2","3,6739187285"
5/2/2000,"27,2","17,8","3,7032817945"
6/2/2000,28,"17,8","3,7653089296"
7/2/2000,"26,2","18,4","3,6627881407"
8/2/2000,"25,4","18,4","3,5931335494"
9/2/2000,"27,3","16,6","3,597213174"
10/2/2000,"25,6","17,6","3,5356356635"
11/2/2000,"26,4","17,4","3,5802988402"
12/2/2000,"26,8","17,2","3,5920152293"
13/2/2000,"25,9","17,1","3,5056843665"
14/2/2000,28,15,"3,5008204916"
15/2/2000,"28,4","14,8","3,5120441671"
16/2/2000,"28,8",14,"3,4743396958"
17/2/2000,"28,9","13,8","3,4608739418"
18/2/2000,27,16,"3,4796257441"
19/2/2000,"26,8","16,2","3,4738828266"
20/2/2000,27,"16,6","3,5163490392"
21/2/2000,"27,3","17,6","3,6148181849"
22/2/2000,"27,6","14,2","3,3591283349"
23/2/2000,"28,6","14,5","3,4571090572"
24/2/2000,29,"14,4","3,4744500861"
25/2/2000,"29,7",15,"3,5714058854"
26/2/2000,"28,2","16,4","3,5561204365"
27/2/2000,"28,1","15,8","3,4929341978"
28/2/2000,"26,2","17,6","3,4774304203"
29/2/2000,"24,6","17,6","3,3429450681"
1/3/2000,"25,7","17,6","3,4222440219"
2/3/2000,25,"17,2","3,3274804439"
3/3/2000,27,"17,8","3,5239897063"
4/3/2000,"26,1","17,2","3,3975944496"
5/3/2000,27,"17,6","3,4907513097"
6/3/2000,"27,8",16,"3,4192581352"
7/3/2000,"28,2","15,4","3,3946208072"
8/3/2000,"26,2","14,6","3,1680001501"
9/3/2000,"25,2","17,2","3,2831020638"
10/3/2000,"24,8","16,4","3,1811379688"
11/3/2000,"26,3",17,"3,3335981927"
12/3/2000,"25,7","17,4","3,3083851232"
13/3/2000,"25,2","18,5","3,344314498"
14/3/2000,"25,8","18,8","3,4026789839"
15/3/2000,"26,6","15,7","3,2170708389"
16/3/2000,"25,2",19,"3,3508154461"
17/3/2000,"24,2","17,1","3,1207594815"
18/3/2000,"26,7","16,4","3,245964403"
19/3/2000,"24,4","17,6","3,1524373497"
20/3/2000,"25,4","17,2","3,1864871572"
22/12/2000,28,"16,6","3,7255687799"
23/12/2000,"28,3","17,7","3,8427624534"
24/12/2000,29,"16,4","3,7928387238"
25/12/2000,"29,2","18,4","3,9767936582"
26/12/2000,"29,2","16,9","3,8515832467"
27/12/2000,"31,1","16,3","3,9602585309"
28/12/2000,"30,8",14,"3,7430402624"
29/12/2000,"28,4",17,"3,7931319154"
30/12/2000,"29,2","17,4","3,8932992916"
31/12/2000,"27,9","17,4","3,7845466488"
1/1/2001,"28,2","17,6","3,8261214571"
2/1/2001,"25,8","17,6","3,6253859698"
3/1/2001,"26,6","17,4","3,67520752"
4/1/2001,"26,8","16,4","3,6080355485"
5/1/2001,"28,2","17,6","3,8247528313"
6/1/2001,"27,9","14,3","3,5236592056"
7/1/2001,29,"15,8","3,7402054996"
8/1/2001,"29,7","17,4","3,9315747494"
9/1/2001,"28,6","16,9","3,7973191116"
10/1/2001,"27,7",17,"3,7297942846"
11/1/2001,26,"16,2","3,5204059204"
12/1/2001,"28,2",16,"3,6863490328"
13/1/2001,"28,6","13,4","3,5019342625"
14/1/2001,28,"14,8","3,5676091103"
15/1/2001,"28,3","14,4","3,5581650982"
16/1/2001,"27,6","14,8","3,5319810899"
17/1/2001,"27,2","17,4","3,713905616"
18/1/2001,"27,9","13,8","3,4710779743"
19/1/2001,"28,8","15,9","3,7192603834"
20/1/2001,27,"14,6","3,4598014881"
21/1/2001,"27,4","11,8","3,2586697722"
22/1/2001,26,"16,1","3,4980020248"
23/1/2001,"26,9","16,4","3,5958069273"
24/1/2001,"27,4","17,1","3,6933920117"
25/1/2001,"26,4","12,2","3,2018105135"
26/1/2001,"29,6",16,"3,7800859229"
27/1/2001,"30,2",17,"5,0036558522"
28/1/2001,"30,4",15,"3,7584150716"
29/1/2001,"30,6","15,8","3,8383941445"
30/1/2001,"29,4",15,"3,6701273454"
31/1/2001,"30,7",14,"3,6919491533"
1/2/2001,"30,4","16,6","3,8786366046"
2/2/2001,"27,6",12,"3,2650667228"
