@relation dadosClimaticos

@attribute data date yyyy-MM-dd
@attribute tmax numeric
@attribute tmin numeric
@attribute tmed numeric
@attribute etp numeric

@data
2008-01-01,33.8,22.2,28,6.8
2008-01-02,29.6,21.5,25.55,3.1
2008-01-03,30.4,21.5,25.95,3.8
2008-01-04,32.4,19.4,25.9,7.7
2008-01-05,31.1,21.4,26.25,6
2008-01-06,26.8,20.6,23.7,1.9
2008-01-07,30.8,19.5,25.15,6.7
2008-01-08,31.4,18.9,25.15,7.8
2008-01-09,32.4,19,25.7,7.8
2008-01-10,33,20.2,26.6,7.6
2008-01-11,32,20.6,26.3,6.7
2008-01-12,31.8,21.6,26.7,9.2
2008-01-13,29.2,21,25.1,3.6
2008-01-14,25.5,20.6,23.05,2.8
2008-01-15,28,19.8,23.9,4.6
2008-01-16,30.4,18.6,24.5,8.2
2008-01-17,30.3,19.7,25,7.1
2008-01-18,30.6,22,26.3,5.1
2008-01-19,29.8,19.7,24.75,4.4
2008-01-20,26.3,19.9,23.1,2.9
2008-01-21,27,20.7,23.85,1.8
2008-01-22,26.4,18.2,22.3,1.5
2008-01-23,28.6,18.4,23.5,3.5
2008-01-24,28.8,20.5,24.65,3.5
2008-01-25,27.4,20.1,23.75,2.5
2008-01-26,26.8,20.6,23.7,3.3
2008-01-27,24.9,19.1,22,1.5
2008-01-28,22.6,18.7,20.65,0.9
2008-01-29,26.4,19.5,22.95,2.9
2008-01-30,28.8,18.4,23.6,1.3
2008-01-31,30.4,20.7,25.55,6.2
2008-02-01,32.3,19.5,25.9,7
2008-02-02,33.4,21.1,27.25,8.5
2008-02-03,27.6,20.3,23.95,2.4
2008-02-04,29.9,21.2,25.55,4
2008-02-05,26.4,19.1,22.75,3.8
2008-02-06,26.4,18.4,22.4,4.8
2008-02-07,29.3,20,24.65,5.6
2008-02-08,30.8,17.3,24.05,5.4
2008-02-09,31.8,20,25.9,6.5
2008-02-10,31.5,20.5,26,8
2008-02-11,32.6,20.4,26.5,6.8
2008-02-12,33,20.4,26.7,8.1
2008-02-13,28.7,19.4,24.05,3.4
2008-02-14,33,18.8,25.9,7
2008-02-15,30.2,18.8,24.5,4.7
2008-02-16,30.4,20.8,25.6,3.8
2008-02-17,32,20,26,7.9
2008-02-18,31.7,19.6,25.65,5.1
2008-02-19,30.2,18.2,24.2,3.7
2008-02-20,30.4,19.9,25.15,7
2008-02-21,27.5,19.8,23.65,4.5
2008-02-22,29.9,20.2,25.05,1.7
2008-02-23,29.8,21,25.4,5.5
2008-02-24,25.5,21.2,23.35,2.9
2008-02-25,29.4,20.5,24.95,4.2
2008-02-26,31.6,18.8,25.2,6.5
2008-02-27,31.9,19.3,25.6,8.5
2008-02-28,32.3,19.5,25.9,8.3
2008-02-29,27.8,20.7,24.25,6.15
2008-03-01,29.6,20.7,25.15,4
2008-03-02,30.8,18.7,24.75,8.1
2008-03-03,31.4,18.7,25.05,7.8
2008-03-04,31.4,18.9,25.15,7.9
2008-03-05,31.8,18.4,25.1,7.4
2008-03-06,32.2,18.2,25.2,6
2008-03-07,31.3,20.4,25.85,4.7
2008-03-08,31.1,20.2,25.65,7.4
2008-03-09,31.6,20.3,25.95,6.4
2008-03-10,31.8,20.2,26,7.1
2008-03-11,28.1,21.8,24.95,0.8
2008-03-12,25.4,20.9,23.15,2.1
2008-03-13,27.8,19.9,23.85,2.8
2008-03-14,22,18.7,20.35,1.5
